"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5928153","SRR28323390","SRR14766438","NDSU16","SRR5000227","SRR10037225","SRR5905291","SRR10963338","SRR1501680","SRR5928609","SRR2911774","SRR2962651","SRR14766386","SRR11043408","SRR2096614"
"nlpI","","Lipoprotein NlpI",581,581,1,1,2618,NA,NA,"",884,884,884,"BMGCDLMI_00599","OILBKPLO_04300","EJBBKOOG_01686","PJHKJHDN_01342","FKHFPJNE_03939","KILFPKNN_00073","FGPKPDMB_00073","HJPBANPH_01167","BPMCEJLP_02090","MAMFPLAJ_03873","PFMPIDLH_00073","MAOMFHLF_02097","OKEMFKGG_00073","OBBHNEFO_00073","NJPCONAJ_03070"
"syd","","Protein Syd",581,581,1,1,2939,NA,NA,"",545,545,545,"BMGCDLMI_00285","OILBKPLO_02331","EJBBKOOG_00283","PJHKJHDN_01028","FKHFPJNE_02729","KILFPKNN_00386","FGPKPDMB_00386","HJPBANPH_01406","BPMCEJLP_02559","MAMFPLAJ_02072","PFMPIDLH_00387","MAOMFHLF_03626","OKEMFKGG_00387","OBBHNEFO_00386","NJPCONAJ_03395"
"mcbA","","putative protein McbA",581,581,1,1,4252,NA,NA,"",260,260,260,"BMGCDLMI_04304","OILBKPLO_00431","EJBBKOOG_03172","PJHKJHDN_04242","FKHFPJNE_01176","KILFPKNN_04188","FGPKPDMB_04392","HJPBANPH_03437","BPMCEJLP_01193","MAMFPLAJ_02703","PFMPIDLH_04329","MAOMFHLF_04049","OKEMFKGG_01262","OBBHNEFO_01142","NJPCONAJ_03971"
"nagR_2","","HTH-type transcriptional repressor NagR",581,581,1,1,4217,NA,NA,"",725,725,725,"BMGCDLMI_04270","OILBKPLO_00465","EJBBKOOG_03206","PJHKJHDN_04208","FKHFPJNE_01210","KILFPKNN_04154","FGPKPDMB_04358","HJPBANPH_03471","BPMCEJLP_01159","MAMFPLAJ_02737","PFMPIDLH_04295","MAOMFHLF_04083","OKEMFKGG_01228","OBBHNEFO_04582","NJPCONAJ_03937"
"group_5555","","hypothetical protein",581,581,1,1,6071,NA,NA,"",329,329,329,"BMGCDLMI_02957","OILBKPLO_02819","EJBBKOOG_01963","PJHKJHDN_02682","FKHFPJNE_01461","KILFPKNN_01544","FGPKPDMB_00884","HJPBANPH_00160","BPMCEJLP_00215","MAMFPLAJ_04149","PFMPIDLH_00900","MAOMFHLF_02201","OKEMFKGG_01907","OBBHNEFO_00885","NJPCONAJ_01537"
"hxpB","","Hexitol phosphatase B",581,581,1,1,5323,NA,NA,"",668,668,668,"BMGCDLMI_02030","OILBKPLO_02137","EJBBKOOG_00590","PJHKJHDN_00200","FKHFPJNE_00200","KILFPKNN_01215","FGPKPDMB_03265","HJPBANPH_00943","BPMCEJLP_02302","MAMFPLAJ_00140","PFMPIDLH_03548","MAOMFHLF_01732","OKEMFKGG_03803","OBBHNEFO_03231","NJPCONAJ_00528"
"rbsC","","Ribose import permease protein RbsC",581,581,1,1,1367,NA,NA,"",965,965,965,"BMGCDLMI_04243","OILBKPLO_04457","EJBBKOOG_03013","PJHKJHDN_04182","FKHFPJNE_04301","KILFPKNN_04127","FGPKPDMB_04240","HJPBANPH_03267","BPMCEJLP_04004","MAMFPLAJ_04469","PFMPIDLH_04268","MAOMFHLF_03937","OKEMFKGG_04193","OBBHNEFO_04301","NJPCONAJ_03764"
"nanE2","","Putative N-acetylmannosamine-6-phosphate 2-epimerase 2",581,581,1,1,2559,NA,NA,"",689,689,689,"BMGCDLMI_00657","OILBKPLO_03817","EJBBKOOG_01744","PJHKJHDN_01399","FKHFPJNE_03996","KILFPKNN_00015","FGPKPDMB_00015","HJPBANPH_01225","BPMCEJLP_02148","MAMFPLAJ_02995","PFMPIDLH_00015","MAOMFHLF_02155","OKEMFKGG_00015","OBBHNEFO_00015","NJPCONAJ_03012"
"csgF","","Curli production assembly/transport component CsgF",581,581,1,1,5522,NA,NA,"",416,416,416,"BMGCDLMI_01840","OILBKPLO_01947","EJBBKOOG_04600","PJHKJHDN_00010","FKHFPJNE_00010","KILFPKNN_04209","FGPKPDMB_03075","HJPBANPH_04588","BPMCEJLP_02492","MAMFPLAJ_04636","PFMPIDLH_03358","MAOMFHLF_04663","OKEMFKGG_03613","OBBHNEFO_03041","NJPCONAJ_00338"
"atpG","","ATP synthase gamma chain",581,581,1,1,1384,NA,NA,"",863,863,863,"BMGCDLMI_04226","OILBKPLO_03903","EJBBKOOG_02996","PJHKJHDN_04165","FKHFPJNE_04284","KILFPKNN_04110","FGPKPDMB_04223","HJPBANPH_03250","BPMCEJLP_04021","MAMFPLAJ_03016","PFMPIDLH_04251","MAOMFHLF_03920","OKEMFKGG_04210","OBBHNEFO_04318","NJPCONAJ_03781"
"polA","","DNA polymerase I",581,581,1,1,2213,NA,NA,"",2786,2786,2786,"BMGCDLMI_04002","OILBKPLO_04422","EJBBKOOG_03627","PJHKJHDN_03763","FKHFPJNE_04147","KILFPKNN_03839","FGPKPDMB_03816","HJPBANPH_04382","BPMCEJLP_03580","MAMFPLAJ_02941","PFMPIDLH_04027","MAOMFHLF_03455","OKEMFKGG_03818","OBBHNEFO_04072","NJPCONAJ_04285"
"fimF_2","","Protein FimF",581,581,1,1,37,NA,NA,"",518,518,518,"BMGCDLMI_03420","OILBKPLO_02607","EJBBKOOG_02287","PJHKJHDN_03253","FKHFPJNE_01261","KILFPKNN_01743","FGPKPDMB_01083","HJPBANPH_04040","BPMCEJLP_00415","MAMFPLAJ_01650","PFMPIDLH_00700","MAOMFHLF_03289","OKEMFKGG_02106","OBBHNEFO_01084","NJPCONAJ_01931"
"greA","","Transcription elongation factor GreA",581,581,1,1,2600,NA,NA,"",476,476,476,"BMGCDLMI_00617","OILBKPLO_03777","EJBBKOOG_01704","PJHKJHDN_01360","FKHFPJNE_03957","KILFPKNN_00055","FGPKPDMB_00055","HJPBANPH_01185","BPMCEJLP_02108","MAMFPLAJ_02956","PFMPIDLH_00055","MAOMFHLF_02115","OKEMFKGG_00055","OBBHNEFO_00055","NJPCONAJ_03052"
"clsB","","Cardiolipin synthase B",581,581,1,1,4241,NA,NA,"",1241,1241,1241,"BMGCDLMI_04293","OILBKPLO_00442","EJBBKOOG_03183","PJHKJHDN_04231","FKHFPJNE_01187","KILFPKNN_04177","FGPKPDMB_04381","HJPBANPH_03448","BPMCEJLP_01182","MAMFPLAJ_02714","PFMPIDLH_04318","MAOMFHLF_04060","OKEMFKGG_01251","OBBHNEFO_01131","NJPCONAJ_03960"
"lrp_1","","Leucine-responsive regulatory protein",581,581,1,1,4362,NA,NA,"",494,494,494,"BMGCDLMI_01415","OILBKPLO_00332","EJBBKOOG_02755","PJHKJHDN_03950","FKHFPJNE_01077","KILFPKNN_03929","FGPKPDMB_01856","HJPBANPH_02160","BPMCEJLP_01292","MAMFPLAJ_01977","PFMPIDLH_01446","MAOMFHLF_00084","OKEMFKGG_01361","OBBHNEFO_01241","NJPCONAJ_02983"
"ydgJ","","putative oxidoreductase YdgJ",581,581,1,1,5172,NA,NA,"",1040,1040,1040,"BMGCDLMI_02984","OILBKPLO_03439","EJBBKOOG_00450","PJHKJHDN_00341","FKHFPJNE_00341","KILFPKNN_01074","FGPKPDMB_02345","HJPBANPH_03937","BPMCEJLP_04362","MAMFPLAJ_04573","PFMPIDLH_03216","MAOMFHLF_00415","OKEMFKGG_00802","OBBHNEFO_01979","NJPCONAJ_04588"
"cca","","Multifunctional CCA protein",581,581,1,1,2693,NA,NA,"",1241,1241,1241,"BMGCDLMI_00527","OILBKPLO_03529","EJBBKOOG_01614","PJHKJHDN_01270","FKHFPJNE_03867","KILFPKNN_00145","FGPKPDMB_00145","HJPBANPH_01095","BPMCEJLP_02019","MAMFPLAJ_01300","PFMPIDLH_00145","MAOMFHLF_02025","OKEMFKGG_00146","OBBHNEFO_00145","NJPCONAJ_01747"
"group_5568","","hypothetical protein",581,581,1,1,6146,NA,NA,"",257,257,257,"BMGCDLMI_03547","OILBKPLO_02480","EJBBKOOG_04014","PJHKJHDN_03378","FKHFPJNE_01389","KILFPKNN_01616","FGPKPDMB_00956","HJPBANPH_02545","BPMCEJLP_00287","MAMFPLAJ_03931","PFMPIDLH_00828","MAOMFHLF_03162","OKEMFKGG_01979","OBBHNEFO_00957","NJPCONAJ_01804"
"ygdG","","Flap endonuclease Xni",581,581,1,1,2934,NA,NA,"",755,755,755,"BMGCDLMI_00290","OILBKPLO_02326","EJBBKOOG_00288","PJHKJHDN_01033","FKHFPJNE_02734","KILFPKNN_00381","FGPKPDMB_00381","HJPBANPH_01401","BPMCEJLP_02554","MAMFPLAJ_02077","PFMPIDLH_00382","MAOMFHLF_03631","OKEMFKGG_00382","OBBHNEFO_00381","NJPCONAJ_03400"
"hutI","","Imidazolonepropionase",581,581,1,1,4215,NA,NA,"",1169,1169,1169,"BMGCDLMI_04268","OILBKPLO_00467","EJBBKOOG_03208","PJHKJHDN_04206","FKHFPJNE_01212","KILFPKNN_04152","FGPKPDMB_04356","HJPBANPH_03473","BPMCEJLP_01157","MAMFPLAJ_02739","PFMPIDLH_04293","MAOMFHLF_04085","OKEMFKGG_01226","OBBHNEFO_04584","NJPCONAJ_03935"
"licR","","putative licABCH operon regulator",581,581,1,1,6079,NA,NA,"",1913,1913,1913,"BMGCDLMI_02965","OILBKPLO_02827","EJBBKOOG_01955","PJHKJHDN_02690","FKHFPJNE_01453","KILFPKNN_01552","FGPKPDMB_00892","HJPBANPH_00168","BPMCEJLP_00223","MAMFPLAJ_04141","PFMPIDLH_00892","MAOMFHLF_02193","OKEMFKGG_01915","OBBHNEFO_00893","NJPCONAJ_01545"
"fliP","","Flagellar biosynthetic protein FliP",581,581,1,1,4616,NA,NA,"",737,737,737,"BMGCDLMI_01187","OILBKPLO_00103","EJBBKOOG_02331","PJHKJHDN_02816","FKHFPJNE_00848","KILFPKNN_03600","FGPKPDMB_01628","HJPBANPH_01449","BPMCEJLP_03689","MAMFPLAJ_01923","PFMPIDLH_01218","MAOMFHLF_00312","OKEMFKGG_01589","OBBHNEFO_01471","NJPCONAJ_02488"
"sdhB","","Succinate dehydrogenase iron-sulfur subunit",581,581,1,1,281,NA,NA,"",716,716,716,"BMGCDLMI_03226","OILBKPLO_01284","EJBBKOOG_01413","PJHKJHDN_03577","FKHFPJNE_03653","KILFPKNN_03479","FGPKPDMB_04655","HJPBANPH_04232","BPMCEJLP_03279","MAMFPLAJ_03241","PFMPIDLH_03588","MAOMFHLF_04321","OKEMFKGG_04368","OBBHNEFO_04034","NJPCONAJ_04212"
"mprA","","Transcriptional repressor MprA",581,581,1,1,3145,NA,NA,"",530,530,530,"BMGCDLMI_00124","OILBKPLO_03543","EJBBKOOG_00123","PJHKJHDN_00868","FKHFPJNE_02569","KILFPKNN_00546","FGPKPDMB_00546","HJPBANPH_01772","BPMCEJLP_02719","MAMFPLAJ_01126","PFMPIDLH_00547","MAOMFHLF_02816","OKEMFKGG_00547","OBBHNEFO_00546","NJPCONAJ_01044"
"group_5575","","hypothetical protein",581,581,1,1,5784,NA,NA,"",911,911,911,"BMGCDLMI_02616","OILBKPLO_01452","EJBBKOOG_02164","PJHKJHDN_03121","FKHFPJNE_03302","KILFPKNN_02948","FGPKPDMB_03600","HJPBANPH_02121","BPMCEJLP_03123","MAMFPLAJ_02648","PFMPIDLH_02353","MAOMFHLF_02550","OKEMFKGG_02986","OBBHNEFO_03497","NJPCONAJ_01989"
"dnaG","","DNA primase",581,581,1,1,2687,NA,NA,"",1745,1745,1745,"BMGCDLMI_00533","OILBKPLO_03535","EJBBKOOG_01620","PJHKJHDN_01276","FKHFPJNE_03873","KILFPKNN_00139","FGPKPDMB_00139","HJPBANPH_01101","BPMCEJLP_02025","MAMFPLAJ_01294","PFMPIDLH_00139","MAOMFHLF_02031","OKEMFKGG_00140","OBBHNEFO_00139","NJPCONAJ_01753"
"cvrA","","K(+)/H(+) antiporter NhaP2",581,581,1,1,4795,NA,NA,"",1733,1733,1733,"BMGCDLMI_03692","OILBKPLO_03203","EJBBKOOG_01311","PJHKJHDN_00675","FKHFPJNE_00676","KILFPKNN_00739","FGPKPDMB_02010","HJPBANPH_01624","BPMCEJLP_01564","MAMFPLAJ_03290","PFMPIDLH_03014","MAOMFHLF_00750","OKEMFKGG_01137","OBBHNEFO_01644","NJPCONAJ_04041"
"bdcR","","HTH-type transcriptional repressor BdcR",581,581,1,1,4929,NA,NA,"",590,590,590,"BMGCDLMI_03191","OILBKPLO_01835","EJBBKOOG_01182","PJHKJHDN_00547","FKHFPJNE_00548","KILFPKNN_00867","FGPKPDMB_02138","HJPBANPH_04151","BPMCEJLP_01693","MAMFPLAJ_00401","PFMPIDLH_02886","MAOMFHLF_00622","OKEMFKGG_01009","OBBHNEFO_01772","NJPCONAJ_01271"
"pflA","","Pyruvate formate-lyase 1-activating enzyme",581,581,1,1,4372,NA,NA,"",797,797,797,"BMGCDLMI_01405","OILBKPLO_00322","EJBBKOOG_02765","PJHKJHDN_03940","FKHFPJNE_01067","KILFPKNN_03939","FGPKPDMB_01846","HJPBANPH_02150","BPMCEJLP_01302","MAMFPLAJ_01967","PFMPIDLH_01436","MAOMFHLF_00094","OKEMFKGG_01371","OBBHNEFO_01251","NJPCONAJ_02993"
"lptD","","LPS-assembly protein LptD",581,581,1,1,2508,NA,NA,"",2360,2360,2360,"BMGCDLMI_03833","OILBKPLO_01587","EJBBKOOG_03323","PJHKJHDN_04342","FKHFPJNE_03459","KILFPKNN_03156","FGPKPDMB_03777","HJPBANPH_00779","BPMCEJLP_03879","MAMFPLAJ_03724","PFMPIDLH_03858","MAOMFHLF_04257","OKEMFKGG_03571","OBBHNEFO_03705","NJPCONAJ_02278"
"rsmA","","Ribosomal RNA small subunit methyltransferase A",581,581,1,1,2511,NA,NA,"",821,821,821,"BMGCDLMI_03836","OILBKPLO_01584","EJBBKOOG_03326","PJHKJHDN_04345","FKHFPJNE_03456","KILFPKNN_03153","FGPKPDMB_03780","HJPBANPH_00782","BPMCEJLP_03882","MAMFPLAJ_03721","PFMPIDLH_03861","MAOMFHLF_04260","OKEMFKGG_03574","OBBHNEFO_03702","NJPCONAJ_02275"
"rimJ","","[Ribosomal protein S5]-alanine N-acetyltransferase",581,581,1,1,5492,NA,NA,"",584,584,584,"BMGCDLMI_01867","OILBKPLO_01974","EJBBKOOG_02608","PJHKJHDN_00037","FKHFPJNE_00037","KILFPKNN_04236","FGPKPDMB_03102","HJPBANPH_02944","BPMCEJLP_02465","MAMFPLAJ_00303","PFMPIDLH_03385","MAOMFHLF_01569","OKEMFKGG_03640","OBBHNEFO_03068","NJPCONAJ_00365"
"lhgD","","L-2-hydroxyglutarate dehydrogenase",581,581,1,1,3121,NA,NA,"",1268,1268,1268,"BMGCDLMI_00100","OILBKPLO_03567","EJBBKOOG_00099","PJHKJHDN_00844","FKHFPJNE_02545","KILFPKNN_00570","FGPKPDMB_00570","HJPBANPH_01796","BPMCEJLP_02743","MAMFPLAJ_01102","PFMPIDLH_00571","MAOMFHLF_02840","OKEMFKGG_00571","OBBHNEFO_00570","NJPCONAJ_01068"
"idnD","","L-idonate 5-dehydrogenase (NAD(P)(+))",581,581,1,1,6114,NA,NA,"",1031,1031,1031,"BMGCDLMI_04587","OILBKPLO_02862","EJBBKOOG_01920","PJHKJHDN_03407","FKHFPJNE_01418","KILFPKNN_01587","FGPKPDMB_00927","HJPBANPH_00203","BPMCEJLP_00258","MAMFPLAJ_04353","PFMPIDLH_00857","MAOMFHLF_03133","OKEMFKGG_01950","OBBHNEFO_00928","NJPCONAJ_01580"
"ybhL_2","","Inner membrane protein YbhL",581,581,1,1,4235,NA,NA,"",521,521,521,"BMGCDLMI_04288","OILBKPLO_00447","EJBBKOOG_03188","PJHKJHDN_04226","FKHFPJNE_01192","KILFPKNN_04172","FGPKPDMB_04376","HJPBANPH_03453","BPMCEJLP_01177","MAMFPLAJ_02719","PFMPIDLH_04313","MAOMFHLF_04065","OKEMFKGG_01246","OBBHNEFO_01126","NJPCONAJ_03955"
"pflD","","Trans-4-hydroxy-L-proline dehydratase",581,581,1,1,4274,NA,NA,"",2432,2432,2432,"BMGCDLMI_01493","OILBKPLO_00410","EJBBKOOG_04499","PJHKJHDN_04028","FKHFPJNE_01155","KILFPKNN_03851","FGPKPDMB_01934","HJPBANPH_02238","BPMCEJLP_01214","MAMFPLAJ_04434","PFMPIDLH_01524","MAOMFHLF_00006","OKEMFKGG_01283","OBBHNEFO_01163","NJPCONAJ_02905"
"ttrB","","Tetrathionate reductase subunit B",581,581,1,1,5255,NA,NA,"",734,734,734,"BMGCDLMI_02091","OILBKPLO_02937","EJBBKOOG_00530","PJHKJHDN_00261","FKHFPJNE_00261","KILFPKNN_01154","FGPKPDMB_03326","HJPBANPH_00882","BPMCEJLP_02241","MAMFPLAJ_00080","PFMPIDLH_03136","MAOMFHLF_01793","OKEMFKGG_00722","OBBHNEFO_03292","NJPCONAJ_00589"
"moaE","","Molybdopterin synthase catalytic subunit",581,581,1,1,4233,NA,NA,"",452,452,452,"BMGCDLMI_04286","OILBKPLO_00449","EJBBKOOG_03190","PJHKJHDN_04224","FKHFPJNE_01194","KILFPKNN_04170","FGPKPDMB_04374","HJPBANPH_03455","BPMCEJLP_01175","MAMFPLAJ_02721","PFMPIDLH_04311","MAOMFHLF_04067","OKEMFKGG_01244","OBBHNEFO_01124","NJPCONAJ_03953"
"kefC_1","","Glutathione-regulated potassium-efflux system protein KefC",581,581,1,1,1617,NA,NA,"",1805,1805,1805,"BMGCDLMI_01026","OILBKPLO_03257","EJBBKOOG_04190","PJHKJHDN_01424","FKHFPJNE_01734","KILFPKNN_01784","FGPKPDMB_01467","HJPBANPH_00228","BPMCEJLP_04576","MAMFPLAJ_00781","PFMPIDLH_01885","MAOMFHLF_00831","OKEMFKGG_02147","OBBHNEFO_01991","NJPCONAJ_04173"
"cysE_1","","Serine acetyltransferase",581,581,1,1,1874,NA,NA,"",821,821,821,"BMGCDLMI_00783","OILBKPLO_00969","EJBBKOOG_04160","PJHKJHDN_01667","FKHFPJNE_01977","KILFPKNN_02027","FGPKPDMB_01224","HJPBANPH_02812","BPMCEJLP_00916","MAMFPLAJ_02428","PFMPIDLH_01641","MAOMFHLF_01075","OKEMFKGG_02391","OBBHNEFO_02234","NJPCONAJ_00690"
"macB","","Macrolide export ATP-binding/permease protein MacB",581,581,1,1,4346,NA,NA,"",1946,1946,1946,"BMGCDLMI_01429","OILBKPLO_00346","EJBBKOOG_02741","PJHKJHDN_03964","FKHFPJNE_01091","KILFPKNN_03915","FGPKPDMB_01870","HJPBANPH_02174","BPMCEJLP_01278","MAMFPLAJ_01991","PFMPIDLH_01460","MAOMFHLF_00070","OKEMFKGG_01347","OBBHNEFO_01227","NJPCONAJ_02969"
"glpX","","Fructose-1,6-bisphosphatase 1 class 2",581,581,1,1,2198,NA,NA,"",1010,1010,1010,"BMGCDLMI_03915","OILBKPLO_03718","EJBBKOOG_03847","PJHKJHDN_03850","FKHFPJNE_04060","KILFPKNN_03752","FGPKPDMB_03903","HJPBANPH_02609","BPMCEJLP_03493","MAMFPLAJ_02360","PFMPIDLH_03940","MAOMFHLF_03368","OKEMFKGG_03905","OBBHNEFO_04159","NJPCONAJ_04325"
"group_5593","","hypothetical protein",581,581,1,1,4799,NA,NA,"",254,254,254,"BMGCDLMI_03688","OILBKPLO_03207","EJBBKOOG_01307","PJHKJHDN_00671","FKHFPJNE_00672","KILFPKNN_00743","FGPKPDMB_02014","HJPBANPH_01628","BPMCEJLP_01568","MAMFPLAJ_03294","PFMPIDLH_03010","MAOMFHLF_00746","OKEMFKGG_01133","OBBHNEFO_01648","NJPCONAJ_04045"
"nth","","Endonuclease III",581,581,1,1,5183,NA,NA,"",635,635,635,"BMGCDLMI_02162","OILBKPLO_03007","EJBBKOOG_00459","PJHKJHDN_00332","FKHFPJNE_00332","KILFPKNN_01083","FGPKPDMB_03397","HJPBANPH_00811","BPMCEJLP_02170","MAMFPLAJ_00009","PFMPIDLH_03207","MAOMFHLF_01864","OKEMFKGG_00793","OBBHNEFO_03363","NJPCONAJ_00660"
"group_5595","","hypothetical protein",581,581,1,1,5158,NA,NA,"Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits",203,203,203,"BMGCDLMI_02998","OILBKPLO_03425","EJBBKOOG_00436","PJHKJHDN_00355","FKHFPJNE_00355","KILFPKNN_01060","FGPKPDMB_02331","HJPBANPH_03923","BPMCEJLP_04348","MAMFPLAJ_00593","PFMPIDLH_03230","MAOMFHLF_00429","OKEMFKGG_00816","OBBHNEFO_01965","NJPCONAJ_03285"
"group_5596","","hypothetical protein",581,581,1,1,6172,NA,NA,"Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits",467,467,467,"BMGCDLMI_03521","OILBKPLO_02506","EJBBKOOG_03988","PJHKJHDN_03352","FKHFPJNE_01363","KILFPKNN_01642","FGPKPDMB_00982","HJPBANPH_02519","BPMCEJLP_00313","MAMFPLAJ_03905","PFMPIDLH_00802","MAOMFHLF_03188","OKEMFKGG_02005","OBBHNEFO_00983","NJPCONAJ_01830"
"group_5597","","hypothetical protein",581,581,1,1,3650,NA,NA,"",566,566,566,"BMGCDLMI_04438","OILBKPLO_04073","EJBBKOOG_04126","PJHKJHDN_04437","FKHFPJNE_04442","KILFPKNN_04391","FGPKPDMB_04587","HJPBANPH_04195","BPMCEJLP_04494","MAMFPLAJ_03464","PFMPIDLH_04508","MAOMFHLF_04443","OKEMFKGG_04462","OBBHNEFO_04528","NJPCONAJ_04407"
"pheA","","Bifunctional chorismate mutase/prephenate dehydratase",581,581,1,1,3012,NA,NA,"",1160,1160,1160,"BMGCDLMI_00006","OILBKPLO_04245","EJBBKOOG_00006","PJHKJHDN_00750","FKHFPJNE_02452","KILFPKNN_00663","FGPKPDMB_00663","HJPBANPH_03776","BPMCEJLP_04293","MAMFPLAJ_03118","PFMPIDLH_00665","MAOMFHLF_04497","OKEMFKGG_00665","OBBHNEFO_00664","NJPCONAJ_01161"
"mtr","","Tryptophan-specific transport protein",581,581,1,1,2620,NA,NA,"",1244,1244,1244,"BMGCDLMI_00597","OILBKPLO_04298","EJBBKOOG_01684","PJHKJHDN_01340","FKHFPJNE_03937","KILFPKNN_00075","FGPKPDMB_00075","HJPBANPH_01165","BPMCEJLP_02088","MAMFPLAJ_03875","PFMPIDLH_00075","MAOMFHLF_02095","OKEMFKGG_00075","OBBHNEFO_00075","NJPCONAJ_03072"
"cvpA","","Colicin V production protein",581,581,1,1,3921,NA,NA,"",488,488,488,"BMGCDLMI_02278","OILBKPLO_02253","EJBBKOOG_03929","PJHKJHDN_02028","FKHFPJNE_02196","KILFPKNN_02246","FGPKPDMB_02596","HJPBANPH_03738","BPMCEJLP_00552","MAMFPLAJ_01715","PFMPIDLH_02647","MAOMFHLF_01437","OKEMFKGG_02753","OBBHNEFO_02595","NJPCONAJ_02221"
"group_5601","","hypothetical protein",581,581,1,1,3113,NA,NA,"",431,431,431,"BMGCDLMI_00095","OILBKPLO_03572","EJBBKOOG_00094","PJHKJHDN_00839","FKHFPJNE_02540","KILFPKNN_00575","FGPKPDMB_00575","HJPBANPH_01801","BPMCEJLP_02748","MAMFPLAJ_01097","PFMPIDLH_00576","MAOMFHLF_02845","OKEMFKGG_00576","OBBHNEFO_00575","NJPCONAJ_01073"
"yrfG","","GMP/IMP nucleotidase YrfG",581,581,1,1,1657,NA,NA,"",668,668,668,"BMGCDLMI_00988","OILBKPLO_03295","EJBBKOOG_00982","PJHKJHDN_01462","FKHFPJNE_01772","KILFPKNN_01822","FGPKPDMB_01429","HJPBANPH_00266","BPMCEJLP_01121","MAMFPLAJ_00743","PFMPIDLH_01847","MAOMFHLF_00869","OKEMFKGG_02185","OBBHNEFO_02029","NJPCONAJ_00895"
"lptF","","Lipopolysaccharide export system permease protein LptF",581,581,1,1,6109,NA,NA,"",1100,1100,1100,"BMGCDLMI_04592","OILBKPLO_02857","EJBBKOOG_01925","PJHKJHDN_03412","FKHFPJNE_01423","KILFPKNN_01582","FGPKPDMB_00922","HJPBANPH_00198","BPMCEJLP_00253","MAMFPLAJ_04358","PFMPIDLH_00862","MAOMFHLF_03128","OKEMFKGG_01945","OBBHNEFO_00923","NJPCONAJ_01575"
"pncB","","Nicotinate phosphoribosyltransferase",581,581,1,1,4410,NA,NA,"",1202,1202,1202,"BMGCDLMI_01371","OILBKPLO_00287","EJBBKOOG_03699","PJHKJHDN_03906","FKHFPJNE_01033","KILFPKNN_03973","FGPKPDMB_01812","HJPBANPH_01862","BPMCEJLP_01336","MAMFPLAJ_03642","PFMPIDLH_01402","MAOMFHLF_00128","OKEMFKGG_01405","OBBHNEFO_01286","NJPCONAJ_03710"
"group_5605","","hypothetical protein",581,581,1,1,5797,NA,NA,"",197,197,197,"BMGCDLMI_02629","OILBKPLO_01439","EJBBKOOG_02151","PJHKJHDN_03108","FKHFPJNE_03315","KILFPKNN_02935","FGPKPDMB_03613","HJPBANPH_02108","BPMCEJLP_03136","MAMFPLAJ_02661","PFMPIDLH_02340","MAOMFHLF_02563","OKEMFKGG_02973","OBBHNEFO_03484","NJPCONAJ_02002"
"dauR","","Transcriptional regulator DauR",581,581,1,1,1612,NA,NA,"",722,722,722,"BMGCDLMI_01031","OILBKPLO_03252","EJBBKOOG_04195","PJHKJHDN_01419","FKHFPJNE_01729","KILFPKNN_01779","FGPKPDMB_01472","HJPBANPH_00223","BPMCEJLP_04581","MAMFPLAJ_00786","PFMPIDLH_01890","MAOMFHLF_00826","OKEMFKGG_02142","OBBHNEFO_01986","NJPCONAJ_04168"
"group_5607","","hypothetical protein",581,581,1,1,4042,NA,NA,"",230,230,230,"BMGCDLMI_02398","OILBKPLO_01211","EJBBKOOG_01802","PJHKJHDN_01909","FKHFPJNE_02316","KILFPKNN_02366","FGPKPDMB_02476","HJPBANPH_03052","BPMCEJLP_00673","MAMFPLAJ_01468","PFMPIDLH_02767","MAOMFHLF_01317","OKEMFKGG_02633","OBBHNEFO_02476","NJPCONAJ_02812"
"group_5608","","hypothetical protein",581,581,1,1,2971,NA,NA,"",560,560,560,"BMGCDLMI_00253","OILBKPLO_02363","EJBBKOOG_00251","PJHKJHDN_00996","FKHFPJNE_02697","KILFPKNN_00418","FGPKPDMB_00418","HJPBANPH_01644","BPMCEJLP_02591","MAMFPLAJ_01254","PFMPIDLH_00419","MAOMFHLF_02688","OKEMFKGG_00419","OBBHNEFO_00418","NJPCONAJ_00916"
"ybiS","","putative L,D-transpeptidase YbiS",581,581,1,1,4267,NA,NA,"",920,920,920,"BMGCDLMI_04318","OILBKPLO_00417","EJBBKOOG_03158","PJHKJHDN_04256","FKHFPJNE_01162","KILFPKNN_04202","FGPKPDMB_04406","HJPBANPH_03423","BPMCEJLP_01207","MAMFPLAJ_02689","PFMPIDLH_04343","MAOMFHLF_04035","OKEMFKGG_01276","OBBHNEFO_01156","NJPCONAJ_03985"
"aroB","","3-dehydroquinate synthase",581,581,1,1,1646,NA,NA,"",1088,1088,1088,"BMGCDLMI_00998","OILBKPLO_03285","EJBBKOOG_00972","PJHKJHDN_01452","FKHFPJNE_01762","KILFPKNN_01812","FGPKPDMB_01439","HJPBANPH_00256","BPMCEJLP_01131","MAMFPLAJ_00753","PFMPIDLH_01857","MAOMFHLF_00859","OKEMFKGG_02175","OBBHNEFO_02019","NJPCONAJ_00905"
