"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3037434","SRR2994384","NDSU1","SRR11101167","SRR12075372","SRR14766444","SRR5928153","SRR15712222","NDSU6","SRR14766361","SRR5985919","SRR14766386","SRR8041750","SRR28412153","SRR4292616"
"group_5147","","hypothetical protein",581,581,1,1,6149,NA,NA,"",461,461,461,"ENBCENPF_03603","KKCBMJKJ_00558","GEPIEMCB_02130","ELELPFCC_00154","OHGDDBEJ_00827","PJHKONLG_04294","BMGCDLMI_03544","JIDNIGFB_02052","LBKLGAEM_01930","MGNDMLEC_01128","CNEOHEEB_00822","OKEMFKGG_01982","EJCMFNNE_04359","IKEDIMNK_03037","OOMOJDPP_04036"
"ygdR_4","","putative lipoprotein YgdR",581,581,1,1,2517,NA,NA,"",230,230,230,"ENBCENPF_03202","KKCBMJKJ_02650","GEPIEMCB_04511","ELELPFCC_02755","OHGDDBEJ_03029","PJHKONLG_03973","BMGCDLMI_03842","JIDNIGFB_03870","LBKLGAEM_03574","MGNDMLEC_03572","CNEOHEEB_03196","OKEMFKGG_03580","EJCMFNNE_01966","IKEDIMNK_04285","OOMOJDPP_03939"
"ymiA","","Protein YmiA",581,581,1,1,4887,NA,NA,"",128,128,128,"ENBCENPF_01243","KKCBMJKJ_02167","GEPIEMCB_00160","ELELPFCC_00690","OHGDDBEJ_01363","PJHKONLG_01885","BMGCDLMI_03603","JIDNIGFB_00161","LBKLGAEM_01313","MGNDMLEC_00646","CNEOHEEB_01359","OKEMFKGG_01048","EJCMFNNE_00247","IKEDIMNK_00582","OOMOJDPP_01250"
"group_5150","","hypothetical protein",581,581,1,1,3085,NA,NA,"",233,233,233,"ENBCENPF_00601","KKCBMJKJ_02281","GEPIEMCB_00811","ELELPFCC_03307","OHGDDBEJ_00069","PJHKONLG_01524","BMGCDLMI_00068","JIDNIGFB_00812","LBKLGAEM_00068","MGNDMLEC_02073","CNEOHEEB_00068","OKEMFKGG_00603","EJCMFNNE_00937","IKEDIMNK_00769","OOMOJDPP_01518"
"elfA","","Laminin-binding fimbrial subunit ElfA",581,581,1,1,42,NA,NA,"",542,542,542,"ENBCENPF_03484","KKCBMJKJ_00439","GEPIEMCB_02011","ELELPFCC_00035","OHGDDBEJ_00707","PJHKONLG_02013","BMGCDLMI_03425","JIDNIGFB_01933","LBKLGAEM_02049","MGNDMLEC_01247","CNEOHEEB_00703","OKEMFKGG_02101","EJCMFNNE_03715","IKEDIMNK_03156","OOMOJDPP_01879"
"ligB","","DNA ligase B",581,581,1,1,1919,NA,NA,"",1685,1685,1685,"ENBCENPF_01560","KKCBMJKJ_01052","GEPIEMCB_02490","ELELPFCC_04201","OHGDDBEJ_01819","PJHKONLG_04207","BMGCDLMI_00742","JIDNIGFB_02639","LBKLGAEM_02154","MGNDMLEC_01352","CNEOHEEB_01588","OKEMFKGG_02432","EJCMFNNE_00477","IKEDIMNK_01925","OOMOJDPP_04223"
"group_5153","","hypothetical protein",581,581,1,1,1453,NA,NA,"",98,98,98,"ENBCENPF_01505","KKCBMJKJ_01107","GEPIEMCB_02435","ELELPFCC_04146","OHGDDBEJ_01874","PJHKONLG_03890","BMGCDLMI_00687","JIDNIGFB_02694","LBKLGAEM_02099","MGNDMLEC_01297","CNEOHEEB_01533","OKEMFKGG_02487","EJCMFNNE_00422","IKEDIMNK_01870","OOMOJDPP_03312"
"group_5154","","hypothetical protein",581,581,1,1,5708,NA,NA,"",350,350,350,"ENBCENPF_03340","KKCBMJKJ_03578","GEPIEMCB_03423","ELELPFCC_02153","OHGDDBEJ_03687","PJHKONLG_02632","BMGCDLMI_02544","JIDNIGFB_03499","LBKLGAEM_03372","MGNDMLEC_03199","CNEOHEEB_03069","OKEMFKGG_03058","EJCMFNNE_03272","IKEDIMNK_03388","OOMOJDPP_02105"
"thiH","","2-iminoacetate synthase",581,581,1,1,1538,NA,NA,"",1133,1133,1133,"ENBCENPF_04555","KKCBMJKJ_04452","GEPIEMCB_04734","ELELPFCC_04603","OHGDDBEJ_04512","PJHKONLG_04531","BMGCDLMI_04490","JIDNIGFB_04572","LBKLGAEM_04628","MGNDMLEC_04522","CNEOHEEB_04555","OKEMFKGG_04582","EJCMFNNE_04514","IKEDIMNK_04525","OOMOJDPP_04502"
"dnaN","","Beta sliding clamp",581,581,1,1,1410,NA,NA,"",1100,1100,1100,"ENBCENPF_04251","KKCBMJKJ_03846","GEPIEMCB_04378","ELELPFCC_04112","OHGDDBEJ_04132","PJHKONLG_03173","BMGCDLMI_04201","JIDNIGFB_04361","LBKLGAEM_04280","MGNDMLEC_03971","CNEOHEEB_04259","OKEMFKGG_04235","EJCMFNNE_03522","IKEDIMNK_04214","OOMOJDPP_02628"
"pduD","","Propanediol dehydratase medium subunit",581,581,1,1,5705,NA,NA,"",674,674,674,"ENBCENPF_03343","KKCBMJKJ_03575","GEPIEMCB_03420","ELELPFCC_02150","OHGDDBEJ_03690","PJHKONLG_02629","BMGCDLMI_02541","JIDNIGFB_03496","LBKLGAEM_03375","MGNDMLEC_03202","CNEOHEEB_03072","OKEMFKGG_03061","EJCMFNNE_03275","IKEDIMNK_03391","OOMOJDPP_02108"
"cytR","","HTH-type transcriptional repressor CytR",581,581,1,1,2187,NA,NA,"",1025,1025,1025,"ENBCENPF_03661","KKCBMJKJ_04296","GEPIEMCB_04041","ELELPFCC_03415","OHGDDBEJ_03458","PJHKONLG_02448","BMGCDLMI_03906","JIDNIGFB_04186","LBKLGAEM_04042","MGNDMLEC_04237","CNEOHEEB_03915","OKEMFKGG_03914","EJCMFNNE_02825","IKEDIMNK_04006","OOMOJDPP_03837"
"yfgG","","Protein YfgG",581,581,1,1,4157,NA,NA,"",191,191,191,"ENBCENPF_02931","KKCBMJKJ_01463","GEPIEMCB_03046","ELELPFCC_02576","OHGDDBEJ_02888","PJHKONLG_01682","BMGCDLMI_02429","JIDNIGFB_02809","LBKLGAEM_02549","MGNDMLEC_01906","CNEOHEEB_02143","OKEMFKGG_02602","EJCMFNNE_01122","IKEDIMNK_02479","OOMOJDPP_00697"
"thiD","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase",581,581,1,1,5866,NA,NA,"",800,800,800,"ENBCENPF_03235","KKCBMJKJ_02922","GEPIEMCB_03528","ELELPFCC_02258","OHGDDBEJ_03293","PJHKONLG_01398","BMGCDLMI_02649","JIDNIGFB_03604","LBKLGAEM_03267","MGNDMLEC_03094","CNEOHEEB_02964","OKEMFKGG_02953","EJCMFNNE_01882","IKEDIMNK_03283","OOMOJDPP_00927"
"livF","","High-affinity branched-chain amino acid transport ATP-binding protein LivF",581,581,1,1,1724,NA,NA,"",713,713,713,"ENBCENPF_01742","KKCBMJKJ_00870","GEPIEMCB_02673","ELELPFCC_01030","OHGDDBEJ_01636","PJHKONLG_00081","BMGCDLMI_00924","JIDNIGFB_02456","LBKLGAEM_02336","MGNDMLEC_01534","CNEOHEEB_01771","OKEMFKGG_02249","EJCMFNNE_00659","IKEDIMNK_02107","OOMOJDPP_00786"
"group_5162","","hypothetical protein",581,581,1,1,3635,NA,NA,"",242,242,242,"ENBCENPF_04539","KKCBMJKJ_04352","GEPIEMCB_04623","ELELPFCC_04464","OHGDDBEJ_04327","PJHKONLG_00878","BMGCDLMI_04423","JIDNIGFB_04556","LBKLGAEM_04479","MGNDMLEC_04390","CNEOHEEB_04490","OKEMFKGG_04477","EJCMFNNE_04203","IKEDIMNK_04460","OOMOJDPP_04004"
"yhbU","","putative protease YhbU",581,581,1,1,2625,NA,NA,"",995,995,995,"ENBCENPF_00080","KKCBMJKJ_00325","GEPIEMCB_01332","ELELPFCC_03109","OHGDDBEJ_00593","PJHKONLG_02047","BMGCDLMI_00592","JIDNIGFB_01334","LBKLGAEM_00589","MGNDMLEC_02425","CNEOHEEB_00589","OKEMFKGG_00080","EJCMFNNE_02161","IKEDIMNK_01290","OOMOJDPP_01096"
"yiiM","","Protein YiiM",581,581,1,1,2275,NA,NA,"",689,689,689,"ENBCENPF_03698","KKCBMJKJ_04259","GEPIEMCB_04078","ELELPFCC_03452","OHGDDBEJ_03421","PJHKONLG_02411","BMGCDLMI_03943","JIDNIGFB_04149","LBKLGAEM_04079","MGNDMLEC_04200","CNEOHEEB_03952","OKEMFKGG_03877","EJCMFNNE_02788","IKEDIMNK_04043","OOMOJDPP_03874"
"group_5165","","hypothetical protein",581,581,1,1,3654,NA,NA,"",1547,1547,1547,"ENBCENPF_04520","KKCBMJKJ_04333","GEPIEMCB_04604","ELELPFCC_04445","OHGDDBEJ_04346","PJHKONLG_00859","BMGCDLMI_04442","JIDNIGFB_04537","LBKLGAEM_04498","MGNDMLEC_04371","CNEOHEEB_04509","OKEMFKGG_04458","EJCMFNNE_04222","IKEDIMNK_04441","OOMOJDPP_03985"
"gmhB","","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",581,581,1,1,2340,NA,NA,"",566,566,566,"ENBCENPF_03031","KKCBMJKJ_02478","GEPIEMCB_03851","ELELPFCC_02584","OHGDDBEJ_03200","PJHKONLG_03549","BMGCDLMI_04375","JIDNIGFB_03697","LBKLGAEM_03403","MGNDMLEC_04182","CNEOHEEB_03369","OKEMFKGG_03409","EJCMFNNE_03794","IKEDIMNK_03819","OOMOJDPP_03076"
"group_5167","","hypothetical protein",581,581,1,1,4859,NA,NA,"",173,173,173,"ENBCENPF_01216","KKCBMJKJ_02194","GEPIEMCB_00133","ELELPFCC_00717","OHGDDBEJ_01390","PJHKONLG_01912","BMGCDLMI_03630","JIDNIGFB_00134","LBKLGAEM_01286","MGNDMLEC_00619","CNEOHEEB_01386","OKEMFKGG_01075","EJCMFNNE_00274","IKEDIMNK_00609","OOMOJDPP_01277"
"bssS","","Biofilm regulator BssS",581,581,1,1,5498,NA,NA,"",254,254,254,"ENBCENPF_02215","KKCBMJKJ_03313","GEPIEMCB_00716","ELELPFCC_03947","OHGDDBEJ_02193","PJHKONLG_03124","BMGCDLMI_01861","JIDNIGFB_00718","LBKLGAEM_03775","MGNDMLEC_02692","CNEOHEEB_04097","OKEMFKGG_03634","EJCMFNNE_03030","IKEDIMNK_00027","OOMOJDPP_02965"
"csgA","","Major curlin subunit",581,581,1,1,5518,NA,NA,"",455,455,455,"ENBCENPF_02198","KKCBMJKJ_03296","GEPIEMCB_00733","ELELPFCC_03964","OHGDDBEJ_04646","PJHKONLG_03141","BMGCDLMI_01844","JIDNIGFB_00735","LBKLGAEM_03792","MGNDMLEC_02675","CNEOHEEB_04114","OKEMFKGG_03617","EJCMFNNE_03047","IKEDIMNK_00010","OOMOJDPP_02948"
"glyA_1","","Serine hydroxymethyltransferase",581,581,1,1,4100,NA,NA,"",1253,1253,1253,"ENBCENPF_02984","KKCBMJKJ_03480","GEPIEMCB_03100","ELELPFCC_03705","OHGDDBEJ_02835","PJHKONLG_01629","BMGCDLMI_04055","JIDNIGFB_02756","LBKLGAEM_02496","MGNDMLEC_01959","CNEOHEEB_02197","OKEMFKGG_02549","EJCMFNNE_01175","IKEDIMNK_02532","OOMOJDPP_03830"
"fkpB","","FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase",581,581,1,1,13,NA,NA,"",449,449,449,"ENBCENPF_03456","KKCBMJKJ_00411","GEPIEMCB_01983","ELELPFCC_00007","OHGDDBEJ_00679","PJHKONLG_04337","BMGCDLMI_03397","JIDNIGFB_01905","LBKLGAEM_02077","MGNDMLEC_01275","CNEOHEEB_00675","OKEMFKGG_02129","EJCMFNNE_03687","IKEDIMNK_03184","OOMOJDPP_04252"
"group_5172","","hypothetical protein",581,581,1,1,272,NA,NA,"",293,293,293,"ENBCENPF_04368","KKCBMJKJ_04178","GEPIEMCB_01955","ELELPFCC_04391","OHGDDBEJ_04244","PJHKONLG_04510","BMGCDLMI_03217","JIDNIGFB_03916","LBKLGAEM_03828","MGNDMLEC_04269","CNEOHEEB_03621","OKEMFKGG_04359","EJCMFNNE_04171","IKEDIMNK_03484","OOMOJDPP_03762"
"qorA","","Quinone oxidoreductase 1",581,581,1,1,2051,NA,NA,"",983,983,983,"ENBCENPF_02752","KKCBMJKJ_04147","GEPIEMCB_02376","ELELPFCC_00400","OHGDDBEJ_01072","PJHKONLG_02869","BMGCDLMI_02786","JIDNIGFB_02298","LBKLGAEM_01684","MGNDMLEC_04116","CNEOHEEB_01068","OKEMFKGG_01736","EJCMFNNE_03749","IKEDIMNK_03702","OOMOJDPP_03179"
"ldcA","","Murein tetrapeptide carboxypeptidase",581,581,1,1,4796,NA,NA,"",914,914,914,"ENBCENPF_01154","KKCBMJKJ_03972","GEPIEMCB_00072","ELELPFCC_00778","OHGDDBEJ_01451","PJHKONLG_03784","BMGCDLMI_03691","JIDNIGFB_00072","LBKLGAEM_01225","MGNDMLEC_00558","CNEOHEEB_01447","OKEMFKGG_01136","EJCMFNNE_00335","IKEDIMNK_00671","OOMOJDPP_03729"
"ycgR","","Flagellar brake protein YcgR",581,581,1,1,4798,NA,NA,"",680,680,680,"ENBCENPF_01156","KKCBMJKJ_03970","GEPIEMCB_00074","ELELPFCC_00776","OHGDDBEJ_01449","PJHKONLG_03786","BMGCDLMI_03689","JIDNIGFB_00074","LBKLGAEM_01227","MGNDMLEC_00560","CNEOHEEB_01445","OKEMFKGG_01134","EJCMFNNE_00333","IKEDIMNK_00669","OOMOJDPP_03731"
"ipdC_2","","Indole-3-pyruvate decarboxylase",581,581,1,1,3976,NA,NA,"",1157,1157,1157,"ENBCENPF_02829","KKCBMJKJ_01565","GEPIEMCB_02943","ELELPFCC_02474","OHGDDBEJ_02990","PJHKONLG_01784","BMGCDLMI_02327","JIDNIGFB_02911","LBKLGAEM_02651","MGNDMLEC_01804","CNEOHEEB_02041","OKEMFKGG_02704","EJCMFNNE_01020","IKEDIMNK_02377","OOMOJDPP_02348"
"group_5177","","hypothetical protein",581,581,1,1,161,NA,NA,"",386,386,386,"ENBCENPF_02153","KKCBMJKJ_01423","GEPIEMCB_01442","ELELPFCC_01464","OHGDDBEJ_04387","PJHKONLG_04080","BMGCDLMI_01530","JIDNIGFB_03365","LBKLGAEM_03143","MGNDMLEC_03334","CNEOHEEB_02276","OKEMFKGG_03377","EJCMFNNE_03182","IKEDIMNK_02610","OOMOJDPP_00032"
"group_5178","","hypothetical protein",581,581,1,1,1465,NA,NA,"",323,323,323,"ENBCENPF_01517","KKCBMJKJ_01095","GEPIEMCB_02447","ELELPFCC_04158","OHGDDBEJ_01862","PJHKONLG_03878","BMGCDLMI_00699","JIDNIGFB_02682","LBKLGAEM_02111","MGNDMLEC_01309","CNEOHEEB_01545","OKEMFKGG_02475","EJCMFNNE_00434","IKEDIMNK_01882","OOMOJDPP_03324"
"nrdG","","Anaerobic ribonucleoside-triphosphate reductase-activating protein",581,581,1,1,6082,NA,NA,"",464,464,464,"ENBCENPF_02571","KKCBMJKJ_00622","GEPIEMCB_02194","ELELPFCC_00218","OHGDDBEJ_00891","PJHKONLG_02709","BMGCDLMI_02968","JIDNIGFB_02116","LBKLGAEM_01866","MGNDMLEC_01064","CNEOHEEB_00886","OKEMFKGG_01918","EJCMFNNE_01623","IKEDIMNK_02973","OOMOJDPP_01363"
"yedF","","Putative sulfur carrier protein YedF",581,581,1,1,4629,NA,NA,"",233,233,233,"ENBCENPF_00758","KKCBMJKJ_01915","GEPIEMCB_03761","ELELPFCC_03840","OHGDDBEJ_03880","PJHKONLG_00737","BMGCDLMI_01174","JIDNIGFB_01809","LBKLGAEM_01064","MGNDMLEC_00396","CNEOHEEB_03822","OKEMFKGG_01602","EJCMFNNE_04014","IKEDIMNK_01765","OOMOJDPP_02183"
"pxpB","","5-oxoprolinase subunit B",581,581,1,1,290,NA,NA,"",656,656,656,"ENBCENPF_04350","KKCBMJKJ_04196","GEPIEMCB_01937","ELELPFCC_04373","OHGDDBEJ_04262","PJHKONLG_02205","BMGCDLMI_03235","JIDNIGFB_03934","LBKLGAEM_03846","MGNDMLEC_04251","CNEOHEEB_03639","OKEMFKGG_04377","EJCMFNNE_04189","IKEDIMNK_03502","OOMOJDPP_03780"
"csgE","","Curli production assembly/transport component CsgE",581,581,1,1,5521,NA,NA,"",395,395,395,"ENBCENPF_02195","KKCBMJKJ_03293","GEPIEMCB_00736","ELELPFCC_03967","OHGDDBEJ_04669","PJHKONLG_03144","BMGCDLMI_01841","JIDNIGFB_00738","LBKLGAEM_03795","MGNDMLEC_04654","CNEOHEEB_04117","OKEMFKGG_03614","EJCMFNNE_04646","IKEDIMNK_00007","OOMOJDPP_04552"
"group_5183","","hypothetical protein",581,581,1,1,3649,NA,NA,"",401,401,401,"ENBCENPF_04525","KKCBMJKJ_04338","GEPIEMCB_04609","ELELPFCC_04450","OHGDDBEJ_04341","PJHKONLG_00864","BMGCDLMI_04437","JIDNIGFB_04542","LBKLGAEM_04493","MGNDMLEC_04376","CNEOHEEB_04504","OKEMFKGG_04463","EJCMFNNE_04217","IKEDIMNK_04446","OOMOJDPP_03990"
"group_5184","","hypothetical protein",581,581,1,1,6150,NA,NA,"",527,527,527,"ENBCENPF_03602","KKCBMJKJ_00557","GEPIEMCB_02129","ELELPFCC_00153","OHGDDBEJ_00826","PJHKONLG_04295","BMGCDLMI_03543","JIDNIGFB_02051","LBKLGAEM_01931","MGNDMLEC_01129","CNEOHEEB_00821","OKEMFKGG_01983","EJCMFNNE_04358","IKEDIMNK_03038","OOMOJDPP_04035"
"group_5185","","hypothetical protein",581,581,1,1,3115,NA,NA,"",134,134,134,"ENBCENPF_00573","KKCBMJKJ_02309","GEPIEMCB_00839","ELELPFCC_03279","OHGDDBEJ_00098","PJHKONLG_01552","BMGCDLMI_00097","JIDNIGFB_00841","LBKLGAEM_00096","MGNDMLEC_02101","CNEOHEEB_00096","OKEMFKGG_00574","EJCMFNNE_00909","IKEDIMNK_00797","OOMOJDPP_01546"
"trxB","","Thioredoxin reductase",581,581,1,1,4360,NA,NA,"",968,968,968,"ENBCENPF_01000","KKCBMJKJ_03200","GEPIEMCB_03240","ELELPFCC_02011","OHGDDBEJ_02105","PJHKONLG_01250","BMGCDLMI_01416","JIDNIGFB_01566","LBKLGAEM_00822","MGNDMLEC_00154","CNEOHEEB_02657","OKEMFKGG_01360","EJCMFNNE_01507","IKEDIMNK_01523","OOMOJDPP_00587"
"sucD","","Succinate--CoA ligase [ADP-forming] subunit alpha",581,581,1,1,277,NA,NA,"",869,869,869,"ENBCENPF_04363","KKCBMJKJ_04183","GEPIEMCB_01950","ELELPFCC_04386","OHGDDBEJ_04249","PJHKONLG_02218","BMGCDLMI_03222","JIDNIGFB_03921","LBKLGAEM_03833","MGNDMLEC_04264","CNEOHEEB_03626","OKEMFKGG_04364","EJCMFNNE_04176","IKEDIMNK_03489","OOMOJDPP_03767"
"rfbB","","dTDP-glucose 4,6-dehydratase",581,581,1,1,5766,NA,NA,"",1085,1085,1085,"ENBCENPF_03286","KKCBMJKJ_02871","GEPIEMCB_03477","ELELPFCC_02207","OHGDDBEJ_03344","PJHKONLG_01449","BMGCDLMI_02598","JIDNIGFB_03553","LBKLGAEM_03318","MGNDMLEC_03145","CNEOHEEB_03015","OKEMFKGG_03004","EJCMFNNE_01933","IKEDIMNK_03334","OOMOJDPP_00876"
"group_5189","","hypothetical protein",581,581,1,1,759,NA,NA,"",275,275,275,"ENBCENPF_02069","KKCBMJKJ_01338","GEPIEMCB_01527","ELELPFCC_01379","OHGDDBEJ_02576","PJHKONLG_00566","BMGCDLMI_01616","JIDNIGFB_03281","LBKLGAEM_03058","MGNDMLEC_03418","CNEOHEEB_02361","OKEMFKGG_03292","EJCMFNNE_04261","IKEDIMNK_02694","OOMOJDPP_00116"
"ugd","","UDP-glucose 6-dehydrogenase",581,581,1,1,5745,NA,NA,"",1166,1166,1166,"ENBCENPF_03304","KKCBMJKJ_03614","GEPIEMCB_03459","ELELPFCC_02189","OHGDDBEJ_03651","PJHKONLG_02668","BMGCDLMI_02580","JIDNIGFB_03535","LBKLGAEM_03336","MGNDMLEC_03163","CNEOHEEB_03033","OKEMFKGG_03022","EJCMFNNE_03236","IKEDIMNK_03352","OOMOJDPP_02069"
"recA","","Protein RecA",581,581,1,1,3156,NA,NA,"",1061,1061,1061,"ENBCENPF_00530","KKCBMJKJ_02352","GEPIEMCB_00882","ELELPFCC_03236","OHGDDBEJ_00141","PJHKONLG_00254","BMGCDLMI_00140","JIDNIGFB_00884","LBKLGAEM_00139","MGNDMLEC_02144","CNEOHEEB_00139","OKEMFKGG_00531","EJCMFNNE_00866","IKEDIMNK_00840","OOMOJDPP_01589"
"elbB","","Glyoxalase ElbB",581,581,1,1,2569,NA,NA,"",653,653,653,"ENBCENPF_00025","KKCBMJKJ_00380","GEPIEMCB_01387","ELELPFCC_03164","OHGDDBEJ_00648","PJHKONLG_02102","BMGCDLMI_00647","JIDNIGFB_01388","LBKLGAEM_00644","MGNDMLEC_02370","CNEOHEEB_00644","OKEMFKGG_00025","EJCMFNNE_02107","IKEDIMNK_01345","OOMOJDPP_01151"
"metJ","","Met repressor",581,581,1,1,2182,NA,NA,"",317,317,317,"ENBCENPF_03656","KKCBMJKJ_04301","GEPIEMCB_04036","ELELPFCC_03410","OHGDDBEJ_03463","PJHKONLG_02453","BMGCDLMI_03901","JIDNIGFB_04191","LBKLGAEM_04037","MGNDMLEC_04430","CNEOHEEB_04384","OKEMFKGG_03919","EJCMFNNE_02830","IKEDIMNK_04001","OOMOJDPP_03915"
"yfcP_2","","putative fimbrial-like protein YfcP",581,581,1,1,2391,NA,NA,"",530,530,530,"ENBCENPF_03081","KKCBMJKJ_02528","GEPIEMCB_03901","ELELPFCC_02634","OHGDDBEJ_03150","PJHKONLG_03499","BMGCDLMI_04325","JIDNIGFB_03747","LBKLGAEM_03453","MGNDMLEC_04132","CNEOHEEB_03319","OKEMFKGG_03459","EJCMFNNE_03844","IKEDIMNK_03869","OOMOJDPP_03026"
"wzb","","Low molecular weight protein-tyrosine-phosphatase Wzb",581,581,1,1,5786,NA,NA,"",449,449,449,"ENBCENPF_03266","KKCBMJKJ_02891","GEPIEMCB_03497","ELELPFCC_02227","OHGDDBEJ_03324","PJHKONLG_01429","BMGCDLMI_02618","JIDNIGFB_03573","LBKLGAEM_03298","MGNDMLEC_03125","CNEOHEEB_02995","OKEMFKGG_02984","EJCMFNNE_01913","IKEDIMNK_03314","OOMOJDPP_00896"
"dnaT_1","","Primosomal protein 1",581,581,1,1,6199,NA,NA,"",539,539,539,"ENBCENPF_03558","KKCBMJKJ_00513","GEPIEMCB_02085","ELELPFCC_00109","OHGDDBEJ_00781","PJHKONLG_01939","BMGCDLMI_03499","JIDNIGFB_02007","LBKLGAEM_01975","MGNDMLEC_01173","CNEOHEEB_00777","OKEMFKGG_02027","EJCMFNNE_03630","IKEDIMNK_03082","OOMOJDPP_01953"
"flgG","","Flagellar basal-body rod protein FlgG",581,581,1,1,5480,NA,NA,"",782,782,782,"ENBCENPF_02233","KKCBMJKJ_03331","GEPIEMCB_00698","ELELPFCC_03929","OHGDDBEJ_02211","PJHKONLG_03106","BMGCDLMI_01879","JIDNIGFB_00700","LBKLGAEM_03757","MGNDMLEC_02710","CNEOHEEB_04079","OKEMFKGG_03652","EJCMFNNE_03012","IKEDIMNK_00045","OOMOJDPP_02983"
"group_5198","","hypothetical protein",581,581,1,1,6092,NA,NA,"",101,101,101,"ENBCENPF_02561","KKCBMJKJ_00612","GEPIEMCB_02184","ELELPFCC_00208","OHGDDBEJ_00881","PJHKONLG_02719","BMGCDLMI_02978","JIDNIGFB_02106","LBKLGAEM_01876","MGNDMLEC_01074","CNEOHEEB_00876","OKEMFKGG_01928","EJCMFNNE_01613","IKEDIMNK_02983","OOMOJDPP_01353"
"group_5199","","hypothetical protein",581,581,1,1,54,NA,NA,"",713,713,713,"ENBCENPF_03496","KKCBMJKJ_00451","GEPIEMCB_02023","ELELPFCC_00047","OHGDDBEJ_00719","PJHKONLG_02001","BMGCDLMI_03437","JIDNIGFB_01945","LBKLGAEM_02037","MGNDMLEC_01235","CNEOHEEB_00715","OKEMFKGG_02089","EJCMFNNE_03727","IKEDIMNK_03144","OOMOJDPP_01891"
"emrE","","Multidrug transporter EmrE",581,581,1,1,4955,NA,NA,"",338,338,338,"ENBCENPF_01303","KKCBMJKJ_02107","GEPIEMCB_00220","ELELPFCC_00630","OHGDDBEJ_01303","PJHKONLG_01825","BMGCDLMI_03170","JIDNIGFB_00222","LBKLGAEM_01373","MGNDMLEC_00706","CNEOHEEB_01299","OKEMFKGG_00988","EJCMFNNE_00187","IKEDIMNK_00522","OOMOJDPP_01190"
"group_5201","","hypothetical protein",581,581,1,1,4121,NA,NA,"",776,776,776,"ENBCENPF_02963","KKCBMJKJ_03459","GEPIEMCB_03079","ELELPFCC_03726","OHGDDBEJ_02856","PJHKONLG_01650","BMGCDLMI_04076","JIDNIGFB_02777","LBKLGAEM_02517","MGNDMLEC_01938","CNEOHEEB_02176","OKEMFKGG_02570","EJCMFNNE_01154","IKEDIMNK_02511","OOMOJDPP_03809"
"araB_2","","Ribulokinase",581,581,1,1,2497,NA,NA,"",533,533,533,"ENBCENPF_03184","KKCBMJKJ_02631","GEPIEMCB_04529","ELELPFCC_02737","OHGDDBEJ_03047","PJHKONLG_02301","BMGCDLMI_03824","JIDNIGFB_03852","LBKLGAEM_03556","MGNDMLEC_03590","CNEOHEEB_03214","OKEMFKGG_03562","EJCMFNNE_01985","IKEDIMNK_04267","OOMOJDPP_03293"
"cysL","","HTH-type transcriptional regulator CysL",581,581,1,1,4295,NA,NA,"",890,890,890,"ENBCENPF_01059","KKCBMJKJ_03259","GEPIEMCB_03299","ELELPFCC_02070","OHGDDBEJ_02164","PJHKONLG_01309","BMGCDLMI_01475","JIDNIGFB_01507","LBKLGAEM_00763","MGNDMLEC_00095","CNEOHEEB_02598","OKEMFKGG_01301","EJCMFNNE_01448","IKEDIMNK_01464","OOMOJDPP_00646"
"manZ_3","","PTS system mannose-specific EIID component",581,581,1,1,1475,NA,NA,"",857,857,857,"ENBCENPF_01527","KKCBMJKJ_01085","GEPIEMCB_02457","ELELPFCC_04168","OHGDDBEJ_01852","PJHKONLG_03868","BMGCDLMI_00709","JIDNIGFB_02672","LBKLGAEM_02121","MGNDMLEC_01319","CNEOHEEB_01555","OKEMFKGG_02465","EJCMFNNE_00444","IKEDIMNK_01892","OOMOJDPP_03334"
"dppB_2","","Dipeptide transport system permease protein DppB",581,581,1,1,5399,NA,NA,"",974,974,974,"ENBCENPF_02310","KKCBMJKJ_03408","GEPIEMCB_00621","ELELPFCC_02993","OHGDDBEJ_02288","PJHKONLG_04354","BMGCDLMI_01956","JIDNIGFB_00623","LBKLGAEM_03680","MGNDMLEC_02787","CNEOHEEB_03384","OKEMFKGG_03729","EJCMFNNE_04482","IKEDIMNK_00122","OOMOJDPP_03641"
"group_5206","","hypothetical protein",581,581,1,1,4817,NA,NA,"",278,278,278,"ENBCENPF_01174","KKCBMJKJ_02236","GEPIEMCB_00091","ELELPFCC_00759","OHGDDBEJ_01432","PJHKONLG_04042","BMGCDLMI_03672","JIDNIGFB_00092","LBKLGAEM_01244","MGNDMLEC_00577","CNEOHEEB_01428","OKEMFKGG_01117","EJCMFNNE_00316","IKEDIMNK_00651","OOMOJDPP_01319"
