"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR16297816","SRR7010475","SRR12075372","SRR5905519","SRR28412124","SRR14766397","SRR27714943","SRR8728075","SRR14766394","SRR5883582","NDSU24","SRR14766350","NDSU10","SRR18233386","SRR27708439"
"proB","","Glutamate 5-kinase",581,581,1,1,806,NA,NA,"",1103,1103,1103,"IIHPGJAB_03137","IMMEOONP_03035","OHGDDBEJ_02530","OAAFEBHG_04018","NGHPPALG_03137","CDEANNNL_02496","APJAPAOH_03136","EDHNKBAJ_02597","AHAJJFKC_01042","HGPPELBO_02551","DFEIMHLH_02005","KNJLKBEO_01323","PGKCJFEA_00299","OKDIKGGJ_02991","JJJDFGFB_03138"
"group_5250","","putative acyl-CoA thioester hydrolase",581,581,1,1,4862,NA,NA,"",401,401,401,"IIHPGJAB_00136","IMMEOONP_02281","OHGDDBEJ_01387","OAAFEBHG_01662","NGHPPALG_00136","CDEANNNL_01947","APJAPAOH_00611","EDHNKBAJ_00243","AHAJJFKC_00914","HGPPELBO_01662","DFEIMHLH_00708","KNJLKBEO_00271","PGKCJFEA_00723","OKDIKGGJ_01869","JJJDFGFB_00136"
"exbD","","Biopolymer transport protein ExbD",581,581,1,1,2743,NA,NA,"",425,425,425,"IIHPGJAB_01220","IMMEOONP_00477","OHGDDBEJ_00480","OAAFEBHG_00476","NGHPPALG_01221","CDEANNNL_01485","APJAPAOH_00938","EDHNKBAJ_01934","AHAJJFKC_01250","HGPPELBO_00477","DFEIMHLH_01034","KNJLKBEO_02887","PGKCJFEA_00748","OKDIKGGJ_00477","JJJDFGFB_00936"
"yhhS","","putative MFS-type transporter YhhS",581,581,1,1,1744,NA,NA,"",1259,1259,1259,"IIHPGJAB_02476","IMMEOONP_01778","OHGDDBEJ_01656","OAAFEBHG_01292","NGHPPALG_02576","CDEANNNL_00624","APJAPAOH_02477","EDHNKBAJ_00630","AHAJJFKC_00102","HGPPELBO_01293","DFEIMHLH_02652","KNJLKBEO_00632","PGKCJFEA_04105","OKDIKGGJ_02139","JJJDFGFB_02474"
"group_5253","","hypothetical protein",581,581,1,1,4865,NA,NA,"",404,404,404,"IIHPGJAB_00139","IMMEOONP_02278","OHGDDBEJ_01384","OAAFEBHG_01665","NGHPPALG_00139","CDEANNNL_01944","APJAPAOH_00608","EDHNKBAJ_00240","AHAJJFKC_00911","HGPPELBO_01665","DFEIMHLH_00705","KNJLKBEO_00268","PGKCJFEA_00720","OKDIKGGJ_01866","JJJDFGFB_00139"
"argE","","Acetylornithine deacetylase",581,581,1,1,2156,NA,NA,"",1151,1151,1151,"IIHPGJAB_04072","IMMEOONP_04170","OHGDDBEJ_03488","OAAFEBHG_03691","NGHPPALG_04222","CDEANNNL_04063","APJAPAOH_04065","EDHNKBAJ_03074","AHAJJFKC_00998","HGPPELBO_04239","DFEIMHLH_04010","KNJLKBEO_02398","PGKCJFEA_01934","OKDIKGGJ_04102","JJJDFGFB_04038"
"agaC_2","","N-acetylgalactosamine permease IIC component 1",581,581,1,1,1474,NA,NA,"",749,749,749,"IIHPGJAB_02673","IMMEOONP_01974","OHGDDBEJ_01853","OAAFEBHG_01489","NGHPPALG_02380","CDEANNNL_00820","APJAPAOH_02673","EDHNKBAJ_00827","AHAJJFKC_02543","HGPPELBO_01490","DFEIMHLH_02849","KNJLKBEO_00436","PGKCJFEA_01324","OKDIKGGJ_02336","JJJDFGFB_02672"
"yfeW","","Putative D-alanyl-D-alanine carboxypeptidase",581,581,1,1,4045,NA,NA,"",1298,1298,1298,"IIHPGJAB_02837","IMMEOONP_02544","OHGDDBEJ_02916","OAAFEBHG_02163","NGHPPALG_02836","CDEANNNL_02196","APJAPAOH_02837","EDHNKBAJ_02239","AHAJJFKC_01727","HGPPELBO_02061","DFEIMHLH_03013","KNJLKBEO_01889","PGKCJFEA_01506","OKDIKGGJ_02603","JJJDFGFB_02939"
"group_5257","","hypothetical protein",581,581,1,1,782,NA,NA,"",743,743,743,"IIHPGJAB_03162","IMMEOONP_03010","OHGDDBEJ_02555","OAAFEBHG_03993","NGHPPALG_03162","CDEANNNL_02521","APJAPAOH_03161","EDHNKBAJ_02622","AHAJJFKC_01067","HGPPELBO_02526","DFEIMHLH_01980","KNJLKBEO_01298","PGKCJFEA_00274","OKDIKGGJ_02966","JJJDFGFB_03163"
"group_5258","","hypothetical protein",581,581,1,1,3652,NA,NA,"",323,323,323,"IIHPGJAB_04485","IMMEOONP_04469","OHGDDBEJ_04344","OAAFEBHG_04580","NGHPPALG_04543","CDEANNNL_04530","APJAPAOH_04471","EDHNKBAJ_04273","AHAJJFKC_03626","HGPPELBO_04622","DFEIMHLH_04587","KNJLKBEO_04109","PGKCJFEA_03931","OKDIKGGJ_04466","JJJDFGFB_04466"
"group_5259","","hypothetical protein",581,581,1,1,3941,NA,NA,"",275,275,275,"IIHPGJAB_02942","IMMEOONP_02649","OHGDDBEJ_04286","OAAFEBHG_02058","NGHPPALG_02941","CDEANNNL_02301","APJAPAOH_02941","EDHNKBAJ_02344","AHAJJFKC_00462","HGPPELBO_02166","DFEIMHLH_03118","KNJLKBEO_02423","PGKCJFEA_03787","OKDIKGGJ_02498","JJJDFGFB_02834"
"ybjP","","putative lipoprotein YbjP",581,581,1,1,4331,NA,NA,"",515,515,515,"IIHPGJAB_01771","IMMEOONP_01026","OHGDDBEJ_02131","OAAFEBHG_03473","NGHPPALG_01770","CDEANNNL_00913","APJAPAOH_01542","EDHNKBAJ_01260","AHAJJFKC_02268","HGPPELBO_03705","DFEIMHLH_03322","KNJLKBEO_00822","PGKCJFEA_03885","OKDIKGGJ_00796","JJJDFGFB_01769"
"hpf","","Ribosome hibernation promoting factor",581,581,1,1,2576,NA,NA,"",287,287,287,"IIHPGJAB_01380","IMMEOONP_00637","OHGDDBEJ_00641","OAAFEBHG_00636","NGHPPALG_01381","CDEANNNL_01645","APJAPAOH_00778","EDHNKBAJ_01774","AHAJJFKC_02307","HGPPELBO_00637","DFEIMHLH_00874","KNJLKBEO_02996","PGKCJFEA_00908","OKDIKGGJ_00637","JJJDFGFB_00776"
"yjjG","","Pyrimidine 5'-nucleotidase YjjG",581,581,1,1,6211,NA,NA,"",680,680,680,"IIHPGJAB_01992","IMMEOONP_01504","OHGDDBEJ_00766","OAAFEBHG_01018","NGHPPALG_02250","CDEANNNL_00094","APJAPAOH_02250","EDHNKBAJ_02848","AHAJJFKC_02986","HGPPELBO_01019","DFEIMHLH_02425","KNJLKBEO_02752","PGKCJFEA_03169","OKDIKGGJ_01248","JJJDFGFB_02247"
"ptsH","","Phosphocarrier protein HPr",581,581,1,1,3999,NA,NA,"",257,257,257,"IIHPGJAB_02883","IMMEOONP_02590","OHGDDBEJ_02962","OAAFEBHG_02117","NGHPPALG_02882","CDEANNNL_02242","APJAPAOH_02883","EDHNKBAJ_02285","AHAJJFKC_01681","HGPPELBO_02107","DFEIMHLH_03059","KNJLKBEO_01843","PGKCJFEA_01460","OKDIKGGJ_02557","JJJDFGFB_02893"
"rpsU","","30S ribosomal protein S21",581,581,1,1,2688,NA,NA,"",215,215,215,"IIHPGJAB_01272","IMMEOONP_00529","OHGDDBEJ_00532","OAAFEBHG_00528","NGHPPALG_01273","CDEANNNL_01537","APJAPAOH_00886","EDHNKBAJ_01882","AHAJJFKC_02209","HGPPELBO_00529","DFEIMHLH_00982","KNJLKBEO_02835","PGKCJFEA_00800","OKDIKGGJ_00529","JJJDFGFB_00884"
"frr","","Ribosome-recycling factor",581,581,1,1,2370,NA,NA,"",557,557,557,"IIHPGJAB_03700","IMMEOONP_04360","OHGDDBEJ_03171","OAAFEBHG_03124","NGHPPALG_03727","CDEANNNL_04479","APJAPAOH_03829","EDHNKBAJ_04163","AHAJJFKC_02142","HGPPELBO_04519","DFEIMHLH_03479","KNJLKBEO_02155","PGKCJFEA_02586","OKDIKGGJ_03866","JJJDFGFB_03740"
"group_5266","","hypothetical protein",581,581,1,1,6088,NA,NA,"",446,446,446,"IIHPGJAB_02110","IMMEOONP_01386","OHGDDBEJ_00885","OAAFEBHG_00900","NGHPPALG_02131","CDEANNNL_00212","APJAPAOH_02132","EDHNKBAJ_01733","AHAJJFKC_02593","HGPPELBO_00901","DFEIMHLH_02307","KNJLKBEO_03108","PGKCJFEA_02249","OKDIKGGJ_01366","JJJDFGFB_02129"
"group_5267","","hypothetical protein",581,581,1,1,1633,NA,NA,"Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits",269,269,269,"IIHPGJAB_02370","IMMEOONP_01672","OHGDDBEJ_01550","OAAFEBHG_01186","NGHPPALG_02681","CDEANNNL_00518","APJAPAOH_02371","EDHNKBAJ_00524","AHAJJFKC_03529","HGPPELBO_01187","DFEIMHLH_02546","KNJLKBEO_00738","PGKCJFEA_04231","OKDIKGGJ_02033","JJJDFGFB_02368"
"nfo","","Endonuclease 4",581,581,1,1,5930,NA,NA,"",857,857,857,"IIHPGJAB_03433","IMMEOONP_03479","OHGDDBEJ_03234","OAAFEBHG_02924","NGHPPALG_03430","CDEANNNL_03363","APJAPAOH_03630","EDHNKBAJ_02427","AHAJJFKC_00197","HGPPELBO_02994","DFEIMHLH_04489","KNJLKBEO_03767","PGKCJFEA_01081","OKDIKGGJ_03668","JJJDFGFB_03431"
"dsdC","","HTH-type transcriptional regulator DsdC",581,581,1,1,1448,NA,NA,"",923,923,923,"IIHPGJAB_02699","IMMEOONP_02000","OHGDDBEJ_01879","OAAFEBHG_01515","NGHPPALG_02354","CDEANNNL_00846","APJAPAOH_02699","EDHNKBAJ_00853","AHAJJFKC_02517","HGPPELBO_01516","DFEIMHLH_02875","KNJLKBEO_00410","PGKCJFEA_01298","OKDIKGGJ_02362","JJJDFGFB_02698"
"gph","","Phosphoglycolate phosphatase",581,581,1,1,1642,NA,NA,"",758,758,758,"IIHPGJAB_02378","IMMEOONP_01680","OHGDDBEJ_01558","OAAFEBHG_01194","NGHPPALG_02673","CDEANNNL_00526","APJAPAOH_02379","EDHNKBAJ_00532","AHAJJFKC_00004","HGPPELBO_01195","DFEIMHLH_02554","KNJLKBEO_00730","PGKCJFEA_02494","OKDIKGGJ_02041","JJJDFGFB_02376"
"ispU","","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",581,581,1,1,2368,NA,NA,"",689,689,689,"IIHPGJAB_03698","IMMEOONP_04362","OHGDDBEJ_03173","OAAFEBHG_03126","NGHPPALG_03725","CDEANNNL_04481","APJAPAOH_03831","EDHNKBAJ_04161","AHAJJFKC_02144","HGPPELBO_04521","DFEIMHLH_03477","KNJLKBEO_02153","PGKCJFEA_02584","OKDIKGGJ_03868","JJJDFGFB_03738"
"btuD_5","","Vitamin B12 import ATP-binding protein BtuD",581,581,1,1,4211,NA,NA,"",1058,1058,1058,"IIHPGJAB_01883","IMMEOONP_01138","OHGDDBEJ_04166","OAAFEBHG_03361","NGHPPALG_01882","CDEANNNL_04372","APJAPAOH_01430","EDHNKBAJ_04078","AHAJJFKC_01916","HGPPELBO_03593","DFEIMHLH_03434","KNJLKBEO_03720","PGKCJFEA_01562","OKDIKGGJ_00684","JJJDFGFB_01881"
"group_5273","","hypothetical protein",581,581,1,1,4536,NA,NA,"",623,623,623,"IIHPGJAB_01587","IMMEOONP_00843","OHGDDBEJ_01947","OAAFEBHG_03328","NGHPPALG_01587","CDEANNNL_01096","APJAPAOH_01725","EDHNKBAJ_01443","AHAJJFKC_03377","HGPPELBO_03461","DFEIMHLH_03662","KNJLKBEO_01006","PGKCJFEA_01751","OKDIKGGJ_00980","JJJDFGFB_01586"
"rimK","","Ribosomal protein S6--L-glutamate ligase",581,581,1,1,4313,NA,NA,"",902,902,902,"IIHPGJAB_01787","IMMEOONP_01042","OHGDDBEJ_02147","OAAFEBHG_03457","NGHPPALG_01786","CDEANNNL_00897","APJAPAOH_01526","EDHNKBAJ_01244","AHAJJFKC_03643","HGPPELBO_03689","DFEIMHLH_03338","KNJLKBEO_00806","PGKCJFEA_00378","OKDIKGGJ_00780","JJJDFGFB_01785"
"deoB","","Phosphopentomutase",581,581,1,1,6221,NA,NA,"",1223,1223,1223,"IIHPGJAB_01982","IMMEOONP_01514","OHGDDBEJ_00756","OAAFEBHG_01028","NGHPPALG_02260","CDEANNNL_00084","APJAPAOH_02260","EDHNKBAJ_02838","AHAJJFKC_02976","HGPPELBO_01029","DFEIMHLH_02435","KNJLKBEO_02742","PGKCJFEA_03179","OKDIKGGJ_01238","JJJDFGFB_02257"
"hyaC_2","","putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit",581,581,1,1,4808,NA,NA,"",731,731,731,"IIHPGJAB_00084","IMMEOONP_02333","OHGDDBEJ_01439","OAAFEBHG_01609","NGHPPALG_00084","CDEANNNL_01999","APJAPAOH_00663","EDHNKBAJ_00295","AHAJJFKC_02039","HGPPELBO_01610","DFEIMHLH_00760","KNJLKBEO_00323","PGKCJFEA_01841","OKDIKGGJ_01922","JJJDFGFB_00084"
"gntK_1","","Thermoresistant gluconokinase",581,581,1,1,1705,NA,NA,"",533,533,533,"IIHPGJAB_02437","IMMEOONP_01739","OHGDDBEJ_01617","OAAFEBHG_01253","NGHPPALG_02614","CDEANNNL_00585","APJAPAOH_02438","EDHNKBAJ_00591","AHAJJFKC_00063","HGPPELBO_01254","DFEIMHLH_02613","KNJLKBEO_00671","PGKCJFEA_02553","OKDIKGGJ_02100","JJJDFGFB_02435"
"yhhQ","","Queuosine precursor transporter",581,581,1,1,1742,NA,NA,"",665,665,665,"IIHPGJAB_02474","IMMEOONP_01776","OHGDDBEJ_01654","OAAFEBHG_01290","NGHPPALG_02578","CDEANNNL_00622","APJAPAOH_02475","EDHNKBAJ_00628","AHAJJFKC_00100","HGPPELBO_01291","DFEIMHLH_02650","KNJLKBEO_00634","PGKCJFEA_04103","OKDIKGGJ_02137","JJJDFGFB_02472"
"thi4","","Thiamine thiazole synthase",581,581,1,1,2520,NA,NA,"",1286,1286,1286,"IIHPGJAB_03845","IMMEOONP_04017","OHGDDBEJ_03026","OAAFEBHG_02978","NGHPPALG_03872","CDEANNNL_03910","APJAPAOH_03683","EDHNKBAJ_03043","AHAJJFKC_02434","HGPPELBO_03988","DFEIMHLH_03624","KNJLKBEO_03873","PGKCJFEA_04441","OKDIKGGJ_03721","JJJDFGFB_03885"
"ispG","","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)",581,581,1,1,4136,NA,NA,"",1118,1118,1118,"IIHPGJAB_02791","IMMEOONP_02498","OHGDDBEJ_02870","OAAFEBHG_02210","NGHPPALG_02790","CDEANNNL_02150","APJAPAOH_02791","EDHNKBAJ_03465","AHAJJFKC_00823","HGPPELBO_02015","DFEIMHLH_02967","KNJLKBEO_01935","PGKCJFEA_00465","OKDIKGGJ_02649","JJJDFGFB_02986"
"tamA","","Translocation and assembly module subunit TamA",581,581,1,1,6059,NA,NA,"",1733,1733,1733,"IIHPGJAB_02138","IMMEOONP_01358","OHGDDBEJ_00913","OAAFEBHG_00872","NGHPPALG_02103","CDEANNNL_00240","APJAPAOH_02104","EDHNKBAJ_01705","AHAJJFKC_02565","HGPPELBO_00873","DFEIMHLH_02279","KNJLKBEO_03136","PGKCJFEA_02277","OKDIKGGJ_01394","JJJDFGFB_02101"
"dinF","","DNA damage-inducible protein F",581,581,1,1,2043,NA,NA,"",1325,1325,1325,"IIHPGJAB_02305","IMMEOONP_01191","OHGDDBEJ_01079","OAAFEBHG_00705","NGHPPALG_01935","CDEANNNL_00406","APJAPAOH_01937","EDHNKBAJ_01538","AHAJJFKC_03126","HGPPELBO_00706","DFEIMHLH_02112","KNJLKBEO_03837","PGKCJFEA_03556","OKDIKGGJ_01561","JJJDFGFB_01934"
"tpx_1","","Thiol peroxidase",581,581,1,1,4921,NA,NA,"",506,506,506,"IIHPGJAB_00191","IMMEOONP_02226","OHGDDBEJ_01332","OAAFEBHG_01717","NGHPPALG_00191","CDEANNNL_01892","APJAPAOH_00556","EDHNKBAJ_00188","AHAJJFKC_00859","HGPPELBO_01717","DFEIMHLH_00653","KNJLKBEO_00216","PGKCJFEA_00668","OKDIKGGJ_01814","JJJDFGFB_00192"
"eutC","","Ethanolamine ammonia-lyase light chain",581,581,1,1,4025,NA,NA,"",896,896,896,"IIHPGJAB_02857","IMMEOONP_02564","OHGDDBEJ_02936","OAAFEBHG_02143","NGHPPALG_02856","CDEANNNL_02216","APJAPAOH_02857","EDHNKBAJ_02259","AHAJJFKC_01707","HGPPELBO_02081","DFEIMHLH_03033","KNJLKBEO_01869","PGKCJFEA_01486","OKDIKGGJ_02583","JJJDFGFB_02919"
"rdoA","","Serine/threonine protein kinase RdoA",581,581,1,1,2210,NA,NA,"",986,986,986,"IIHPGJAB_04201","IMMEOONP_04041","OHGDDBEJ_03359","OAAFEBHG_03820","NGHPPALG_04093","CDEANNNL_03934","APJAPAOH_04194","EDHNKBAJ_03203","AHAJJFKC_02762","HGPPELBO_04110","DFEIMHLH_04140","KNJLKBEO_02269","PGKCJFEA_03837","OKDIKGGJ_04231","JJJDFGFB_03909"
"pxpC","","5-oxoprolinase subunit C",581,581,1,1,289,NA,NA,"",932,932,932,"IIHPGJAB_03905","IMMEOONP_03859","OHGDDBEJ_04261","OAAFEBHG_04452","NGHPPALG_03933","CDEANNNL_03435","APJAPAOH_04015","EDHNKBAJ_04229","AHAJJFKC_03514","HGPPELBO_03928","DFEIMHLH_01550","KNJLKBEO_01975","PGKCJFEA_03460","OKDIKGGJ_03935","JJJDFGFB_04353"
"cysT","","Sulfate transport system permease protein CysT",581,581,1,1,4011,NA,NA,"",833,833,833,"IIHPGJAB_02871","IMMEOONP_02578","OHGDDBEJ_02950","OAAFEBHG_02129","NGHPPALG_02870","CDEANNNL_02230","APJAPAOH_02871","EDHNKBAJ_02273","AHAJJFKC_01693","HGPPELBO_02095","DFEIMHLH_03047","KNJLKBEO_01855","PGKCJFEA_01472","OKDIKGGJ_02569","JJJDFGFB_02905"
"yfeO","","Putative ion-transport protein YfeO",581,581,1,1,3975,NA,NA,"",1235,1235,1235,"IIHPGJAB_02912","IMMEOONP_02619","OHGDDBEJ_02991","OAAFEBHG_02088","NGHPPALG_02911","CDEANNNL_02271","APJAPAOH_02912","EDHNKBAJ_02314","AHAJJFKC_03833","HGPPELBO_02136","DFEIMHLH_03088","KNJLKBEO_01814","PGKCJFEA_04465","OKDIKGGJ_02528","JJJDFGFB_02864"
"priB","","Primosomal replication protein N",581,581,1,1,6038,NA,NA,"",314,314,314,"IIHPGJAB_02157","IMMEOONP_01339","OHGDDBEJ_00932","OAAFEBHG_00853","NGHPPALG_02084","CDEANNNL_00259","APJAPAOH_02085","EDHNKBAJ_01686","AHAJJFKC_01828","HGPPELBO_00854","DFEIMHLH_02260","KNJLKBEO_03155","PGKCJFEA_02296","OKDIKGGJ_01413","JJJDFGFB_02082"
"sbmC","","DNA gyrase inhibitor",581,581,1,1,5725,NA,NA,"",467,467,467,"IIHPGJAB_03580","IMMEOONP_03626","OHGDDBEJ_03670","OAAFEBHG_02777","NGHPPALG_03577","CDEANNNL_03216","APJAPAOH_03483","EDHNKBAJ_04383","AHAJJFKC_03718","HGPPELBO_03141","DFEIMHLH_03952","KNJLKBEO_03294","PGKCJFEA_04000","OKDIKGGJ_03521","JJJDFGFB_03578"
"gstA","","Glutathione S-transferase GstA",581,581,1,1,5185,NA,NA,"",605,605,605,"IIHPGJAB_00417","IMMEOONP_03435","OHGDDBEJ_02492","OAAFEBHG_02621","NGHPPALG_00416","CDEANNNL_03086","APJAPAOH_00330","EDHNKBAJ_01980","AHAJJFKC_03306","HGPPELBO_02631","DFEIMHLH_00427","KNJLKBEO_01606","PGKCJFEA_03146","OKDIKGGJ_03072","JJJDFGFB_00418"
"group_5292","","hypothetical protein",581,581,1,1,2629,NA,NA,"",443,443,443,"IIHPGJAB_01328","IMMEOONP_00585","OHGDDBEJ_00589","OAAFEBHG_00584","NGHPPALG_01329","CDEANNNL_01593","APJAPAOH_00830","EDHNKBAJ_01826","AHAJJFKC_03088","HGPPELBO_00585","DFEIMHLH_00926","KNJLKBEO_03048","PGKCJFEA_00856","OKDIKGGJ_00585","JJJDFGFB_00828"
"ompW","","Outer membrane protein W",581,581,1,1,4866,NA,NA,"",638,638,638,"IIHPGJAB_00140","IMMEOONP_02277","OHGDDBEJ_01383","OAAFEBHG_01666","NGHPPALG_00140","CDEANNNL_01943","APJAPAOH_00607","EDHNKBAJ_00239","AHAJJFKC_00910","HGPPELBO_01666","DFEIMHLH_00704","KNJLKBEO_00267","PGKCJFEA_00719","OKDIKGGJ_01865","JJJDFGFB_00140"
"setB","","Sugar efflux transporter B",581,581,1,1,5936,NA,NA,"",1181,1181,1181,"IIHPGJAB_03427","IMMEOONP_03474","OHGDDBEJ_03229","OAAFEBHG_02929","NGHPPALG_03425","CDEANNNL_03367","APJAPAOH_03634","EDHNKBAJ_02422","AHAJJFKC_00192","HGPPELBO_02989","DFEIMHLH_04494","KNJLKBEO_03771","PGKCJFEA_01086","OKDIKGGJ_03672","JJJDFGFB_03426"
"anmK","","Anhydro-N-acetylmuramic acid kinase",581,581,1,1,5191,NA,NA,"",1121,1121,1121,"IIHPGJAB_00423","IMMEOONP_03429","OHGDDBEJ_02486","OAAFEBHG_02615","NGHPPALG_00422","CDEANNNL_03080","APJAPAOH_00324","EDHNKBAJ_01986","AHAJJFKC_03312","HGPPELBO_02637","DFEIMHLH_00421","KNJLKBEO_01612","PGKCJFEA_03152","OKDIKGGJ_03078","JJJDFGFB_00424"
"iscA","","Iron-binding protein IscA",581,581,1,1,4114,NA,NA,"",323,323,323,"IIHPGJAB_02770","IMMEOONP_02477","OHGDDBEJ_02849","OAAFEBHG_02231","NGHPPALG_02769","CDEANNNL_02129","APJAPAOH_02770","EDHNKBAJ_03486","AHAJJFKC_00802","HGPPELBO_01994","DFEIMHLH_02946","KNJLKBEO_01956","PGKCJFEA_00486","OKDIKGGJ_02670","JJJDFGFB_03007"
"rpoE","","ECF RNA polymerase sigma-E factor",581,581,1,1,4068,NA,NA,"",575,575,575,"IIHPGJAB_02725","IMMEOONP_02432","OHGDDBEJ_02804","OAAFEBHG_02276","NGHPPALG_02724","CDEANNNL_02084","APJAPAOH_02725","EDHNKBAJ_03531","AHAJJFKC_00757","HGPPELBO_01949","DFEIMHLH_02901","KNJLKBEO_03925","PGKCJFEA_00531","OKDIKGGJ_02715","JJJDFGFB_03052"
"group_5298","","hypothetical protein",581,581,1,1,2073,NA,NA,"",668,668,668,"IIHPGJAB_02277","IMMEOONP_01219","OHGDDBEJ_01051","OAAFEBHG_00733","NGHPPALG_01963","CDEANNNL_00379","APJAPAOH_01965","EDHNKBAJ_01566","AHAJJFKC_02694","HGPPELBO_00734","DFEIMHLH_02140","KNJLKBEO_03591","PGKCJFEA_02133","OKDIKGGJ_01533","JJJDFGFB_01962"
"ychQ","","Protein YchQ",581,581,1,1,4825,NA,NA,"",389,389,389,"IIHPGJAB_00099","IMMEOONP_02318","OHGDDBEJ_01424","OAAFEBHG_01625","NGHPPALG_00099","CDEANNNL_01984","APJAPAOH_00648","EDHNKBAJ_00280","AHAJJFKC_03010","HGPPELBO_01625","DFEIMHLH_00745","KNJLKBEO_00308","PGKCJFEA_01826","OKDIKGGJ_01906","JJJDFGFB_00099"
"group_5300","","hypothetical protein",581,581,1,1,2886,NA,NA,"",455,455,455,"IIHPGJAB_01081","IMMEOONP_00338","OHGDDBEJ_00341","OAAFEBHG_00337","NGHPPALG_01082","CDEANNNL_01346","APJAPAOH_01077","EDHNKBAJ_00866","AHAJJFKC_01163","HGPPELBO_00338","DFEIMHLH_01173","KNJLKBEO_02622","PGKCJFEA_04268","OKDIKGGJ_00338","JJJDFGFB_01075"
"group_5301","","hypothetical protein",581,581,1,1,5469,NA,NA,"",224,224,224,"IIHPGJAB_00688","IMMEOONP_03164","OHGDDBEJ_02221","OAAFEBHG_02350","NGHPPALG_00687","CDEANNNL_02815","APJAPAOH_00059","EDHNKBAJ_03408","AHAJJFKC_02089","HGPPELBO_02902","DFEIMHLH_00156","KNJLKBEO_03481","PGKCJFEA_01233","OKDIKGGJ_03343","JJJDFGFB_00689"
"rspR","","HTH-type transcriptional repressor RspR",581,581,1,1,5118,NA,NA,"",686,686,686,"IIHPGJAB_00358","IMMEOONP_02059","OHGDDBEJ_01165","OAAFEBHG_01884","NGHPPALG_00357","CDEANNNL_01725","APJAPAOH_00389","EDHNKBAJ_00022","AHAJJFKC_01482","HGPPELBO_01885","DFEIMHLH_00486","KNJLKBEO_00049","PGKCJFEA_03322","OKDIKGGJ_01647","JJJDFGFB_00359"
"group_5303","","hypothetical protein",581,581,1,1,3089,NA,NA,"",239,239,239,"IIHPGJAB_00815","IMMEOONP_00072","OHGDDBEJ_00073","OAAFEBHG_00072","NGHPPALG_00813","CDEANNNL_03599","APJAPAOH_01343","EDHNKBAJ_01132","AHAJJFKC_01766","HGPPELBO_00072","DFEIMHLH_01439","KNJLKBEO_01549","PGKCJFEA_02839","OKDIKGGJ_00072","JJJDFGFB_01340"
"yfcJ_2","","putative MFS-type transporter YfcJ",581,581,1,1,3930,NA,NA,"",869,869,869,"IIHPGJAB_02951","IMMEOONP_02658","OHGDDBEJ_04295","OAAFEBHG_02049","NGHPPALG_02950","CDEANNNL_02310","APJAPAOH_02950","EDHNKBAJ_02353","AHAJJFKC_00471","HGPPELBO_02175","DFEIMHLH_03127","KNJLKBEO_02432","PGKCJFEA_03778","OKDIKGGJ_02489","JJJDFGFB_02825"
"rsmF","","Ribosomal RNA small subunit methyltransferase F",581,581,1,1,4745,NA,NA,"",1541,1541,1541,"IIHPGJAB_00023","IMMEOONP_02393","OHGDDBEJ_01499","OAAFEBHG_01548","NGHPPALG_00023","CDEANNNL_02045","APJAPAOH_00723","EDHNKBAJ_00355","AHAJJFKC_01978","HGPPELBO_01549","DFEIMHLH_00820","KNJLKBEO_00383","PGKCJFEA_01901","OKDIKGGJ_01982","JJJDFGFB_00023"
"group_5306","","hypothetical protein",581,581,1,1,1472,NA,NA,"",425,425,425,"IIHPGJAB_02675","IMMEOONP_01976","OHGDDBEJ_01855","OAAFEBHG_01491","NGHPPALG_02378","CDEANNNL_00822","APJAPAOH_02675","EDHNKBAJ_00829","AHAJJFKC_02541","HGPPELBO_01492","DFEIMHLH_02851","KNJLKBEO_00434","PGKCJFEA_01322","OKDIKGGJ_02338","JJJDFGFB_02674"
"group_5307","","hypothetical protein",581,581,1,1,4610,NA,NA,"",227,227,227,"IIHPGJAB_01519","IMMEOONP_00776","OHGDDBEJ_03898","OAAFEBHG_03261","NGHPPALG_01520","CDEANNNL_01164","APJAPAOH_01792","EDHNKBAJ_00487","AHAJJFKC_02709","HGPPELBO_03394","DFEIMHLH_03729","KNJLKBEO_03425","PGKCJFEA_01598","OKDIKGGJ_01047","JJJDFGFB_01519"
"group_5308","","hypothetical protein",581,581,1,1,1489,NA,NA,"",173,173,173,"IIHPGJAB_02658","IMMEOONP_01959","OHGDDBEJ_01838","OAAFEBHG_01474","NGHPPALG_02395","CDEANNNL_00805","APJAPAOH_02658","EDHNKBAJ_00812","AHAJJFKC_01524","HGPPELBO_01475","DFEIMHLH_02834","KNJLKBEO_00451","PGKCJFEA_01339","OKDIKGGJ_02321","JJJDFGFB_02657"
