"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR9016885","SRR14766373","SRR1363292","SRR3037518","SRR5877168","SRR3000887","SRR3037434","SRR3000888","SRR1300738","SRR9016907","SRR14766363","SRR14766398","SRR14766349","NDSU6","NDSU13"
"kdpA","","Potassium-transporting ATPase potassium-binding subunit",581,581,1,1,295,NA,NA,"",1679,1679,1679,"OMEBOICM_01539","OCHGHCBG_04009","HECGGPDK_03157","OIEPJHKP_04467","ABGDGJIO_03846","HEJLPIII_03492","ENBCENPF_04345","HAJGLMEJ_04628","BGBDHPIL_03885","BONMBINM_03108","HDHIBFGB_04001","POCPDFCE_02743","FMNDBGIB_04010","LBKLGAEM_03851","GBFFMACB_00046"
"yfeX","","Dye-decolorizing peroxidase YfeX",581,581,1,1,4014,NA,NA,"",899,899,899,"OMEBOICM_01270","OCHGHCBG_03239","HECGGPDK_02604","OIEPJHKP_03129","ABGDGJIO_02616","HEJLPIII_01374","ENBCENPF_02872","HAJGLMEJ_00858","BGBDHPIL_01289","BONMBINM_01186","HDHIBFGB_00159","POCPDFCE_01375","FMNDBGIB_00381","LBKLGAEM_02608","GBFFMACB_01123"
"yihX","","Alpha-D-glucose 1-phosphate phosphatase YihX",581,581,1,1,2240,NA,NA,"",599,599,599,"OMEBOICM_01900","OCHGHCBG_04192","HECGGPDK_03698","OIEPJHKP_03674","ABGDGJIO_04167","HEJLPIII_03947","ENBCENPF_03731","HAJGLMEJ_02184","BGBDHPIL_02700","BONMBINM_04294","HDHIBFGB_04038","POCPDFCE_01830","FMNDBGIB_03389","LBKLGAEM_04112","GBFFMACB_04531"
"sufS","","Cysteine desulfurase",581,581,1,1,5269,NA,NA,"",1220,1220,1220,"OMEBOICM_01120","OCHGHCBG_00760","HECGGPDK_00237","OIEPJHKP_03886","ABGDGJIO_03228","HEJLPIII_02847","ENBCENPF_02433","HAJGLMEJ_03082","BGBDHPIL_00250","BONMBINM_00825","HDHIBFGB_01148","POCPDFCE_01419","FMNDBGIB_01295","LBKLGAEM_04392","GBFFMACB_02804"
"group_5707","","hypothetical protein",581,581,1,1,340,NA,NA,"",695,695,695,"OMEBOICM_01489","OCHGHCBG_04059","HECGGPDK_03107","OIEPJHKP_03801","ABGDGJIO_03896","HEJLPIII_03542","ENBCENPF_03864","HAJGLMEJ_02340","BGBDHPIL_03036","BONMBINM_03158","HDHIBFGB_02564","POCPDFCE_00184","FMNDBGIB_01641","LBKLGAEM_03901","GBFFMACB_00096"
"group_5708","","hypothetical protein",581,581,1,1,2553,NA,NA,"",794,794,794,"OMEBOICM_04523","OCHGHCBG_00660","HECGGPDK_00743","OIEPJHKP_00009","ABGDGJIO_00009","HEJLPIII_03650","ENBCENPF_00009","HAJGLMEJ_00406","BGBDHPIL_00636","BONMBINM_00422","HDHIBFGB_02737","POCPDFCE_00246","FMNDBGIB_02375","LBKLGAEM_00660","GBFFMACB_00724"
"group_5709","","hypothetical protein",581,581,1,1,1483,NA,NA,"",479,479,479,"OMEBOICM_03897","OCHGHCBG_02631","HECGGPDK_04415","OIEPJHKP_01975","ABGDGJIO_01644","HEJLPIII_01170","ENBCENPF_01535","HAJGLMEJ_04080","BGBDHPIL_02484","BONMBINM_00368","HDHIBFGB_04055","POCPDFCE_01163","FMNDBGIB_03498","LBKLGAEM_02129","GBFFMACB_02646"
"yghA","","putative oxidoreductase YghA",581,581,1,1,2744,NA,NA,"",884,884,884,"OMEBOICM_00322","OCHGHCBG_00476","HECGGPDK_00927","OIEPJHKP_00193","ABGDGJIO_00193","HEJLPIII_03834","ENBCENPF_00193","HAJGLMEJ_00222","BGBDHPIL_00453","BONMBINM_00605","HDHIBFGB_03798","POCPDFCE_01884","FMNDBGIB_02559","LBKLGAEM_00476","GBFFMACB_00540"
"group_5711","","hypothetical protein",581,581,1,1,3073,NA,NA,"",1031,1031,1031,"OMEBOICM_02465","OCHGHCBG_00058","HECGGPDK_01344","OIEPJHKP_00611","ABGDGJIO_00611","HEJLPIII_02211","ENBCENPF_00611","HAJGLMEJ_01757","BGBDHPIL_04550","BONMBINM_03393","HDHIBFGB_01590","POCPDFCE_04257","FMNDBGIB_01744","LBKLGAEM_00058","GBFFMACB_03284"
"holA","","DNA polymerase III subunit delta",581,581,1,1,352,NA,NA,"",1031,1031,1031,"OMEBOICM_01477","OCHGHCBG_04071","HECGGPDK_03095","OIEPJHKP_03789","ABGDGJIO_03908","HEJLPIII_03554","ENBCENPF_03852","HAJGLMEJ_02352","BGBDHPIL_03024","BONMBINM_03170","HDHIBFGB_02552","POCPDFCE_00196","FMNDBGIB_01629","LBKLGAEM_03913","GBFFMACB_00108"
"chaA","","Sodium-potassium/proton antiporter ChaA",581,581,1,1,4828,NA,NA,"",1100,1100,1100,"OMEBOICM_01726","OCHGHCBG_02980","HECGGPDK_00634","OIEPJHKP_01625","ABGDGJIO_02316","HEJLPIII_00546","ENBCENPF_01185","HAJGLMEJ_02833","BGBDHPIL_01369","BONMBINM_02507","HDHIBFGB_00663","POCPDFCE_03408","FMNDBGIB_01526","LBKLGAEM_01255","GBFFMACB_01495"
"rimO","","Ribosomal protein S12 methylthiotransferase RimO",581,581,1,1,4286,NA,NA,"",1325,1325,1325,"OMEBOICM_02025","OCHGHCBG_01734","HECGGPDK_03287","OIEPJHKP_01253","ABGDGJIO_00754","HEJLPIII_01844","ENBCENPF_01068","HAJGLMEJ_01312","BGBDHPIL_02653","BONMBINM_02391","HDHIBFGB_02302","POCPDFCE_03618","FMNDBGIB_04423","LBKLGAEM_00754","GBFFMACB_04414"
"lipB","","Octanoyltransferase",581,581,1,1,363,NA,NA,"",641,641,641,"OMEBOICM_01466","OCHGHCBG_04082","HECGGPDK_03084","OIEPJHKP_03778","ABGDGJIO_03919","HEJLPIII_03565","ENBCENPF_03841","HAJGLMEJ_02363","BGBDHPIL_03013","BONMBINM_03181","HDHIBFGB_02541","POCPDFCE_00207","FMNDBGIB_01618","LBKLGAEM_03924","GBFFMACB_00119"
"lpxD","","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase",581,581,1,1,2363,NA,NA,"",1025,1025,1025,"OMEBOICM_03821","OCHGHCBG_03791","HECGGPDK_04283","OIEPJHKP_03333","ABGDGJIO_04464","HEJLPIII_03424","ENBCENPF_03053","HAJGLMEJ_03410","BGBDHPIL_04017","BONMBINM_04239","HDHIBFGB_02265","POCPDFCE_00512","FMNDBGIB_03066","LBKLGAEM_03425","GBFFMACB_03366"
"fabD","","Malonyl CoA-acyl carrier protein transacylase",581,581,1,1,5463,NA,NA,"",929,929,929,"OMEBOICM_03345","OCHGHCBG_00944","HECGGPDK_00053","OIEPJHKP_03420","ABGDGJIO_03412","HEJLPIII_02662","ENBCENPF_02249","HAJGLMEJ_02522","BGBDHPIL_00065","BONMBINM_01009","HDHIBFGB_01331","POCPDFCE_00445","FMNDBGIB_02006","LBKLGAEM_03741","GBFFMACB_01968"
"nhaB","","Na(+)/H(+) antiporter NhaB",581,581,1,1,4790,NA,NA,"",1544,1544,1544,"OMEBOICM_03656","OCHGHCBG_03016","HECGGPDK_00670","OIEPJHKP_01589","ABGDGJIO_02352","HEJLPIII_00510","ENBCENPF_01148","HAJGLMEJ_03880","BGBDHPIL_03946","BONMBINM_02471","HDHIBFGB_00699","POCPDFCE_01097","FMNDBGIB_03431","LBKLGAEM_01219","GBFFMACB_01531"
"yffB","","Protein YffB",581,581,1,1,4181,NA,NA,"",356,356,356,"OMEBOICM_01235","OCHGHCBG_03204","HECGGPDK_02639","OIEPJHKP_01235","ABGDGJIO_02651","HEJLPIII_01339","ENBCENPF_02907","HAJGLMEJ_00893","BGBDHPIL_01254","BONMBINM_01221","HDHIBFGB_00124","POCPDFCE_00730","FMNDBGIB_00346","LBKLGAEM_02573","GBFFMACB_01088"
"gapA","","Glyceraldehyde-3-phosphate dehydrogenase A",581,581,1,1,5366,NA,NA,"",995,995,995,"OMEBOICM_01031","OCHGHCBG_00850","HECGGPDK_00147","OIEPJHKP_03514","ABGDGJIO_03318","HEJLPIII_02756","ENBCENPF_02343","HAJGLMEJ_03172","BGBDHPIL_00160","BONMBINM_00915","HDHIBFGB_01237","POCPDFCE_02407","FMNDBGIB_01206","LBKLGAEM_03647","GBFFMACB_03488"
"ccmL","","Carbon dioxide concentrating mechanism protein CcmL",581,581,1,1,5713,NA,NA,"",275,275,275,"OMEBOICM_04415","OCHGHCBG_01143","HECGGPDK_03981","OIEPJHKP_02815","ABGDGJIO_03609","HEJLPIII_03131","ENBCENPF_03335","HAJGLMEJ_03964","BGBDHPIL_01798","BONMBINM_01397","HDHIBFGB_01840","POCPDFCE_03205","FMNDBGIB_03710","LBKLGAEM_03367","GBFFMACB_03894"
"araB_1","","Ribulokinase",581,581,1,1,2496,NA,NA,"",1229,1229,1229,"OMEBOICM_02849","OCHGHCBG_03921","HECGGPDK_03569","OIEPJHKP_03203","ABGDGJIO_04092","HEJLPIII_03294","ENBCENPF_03183","HAJGLMEJ_03229","BGBDHPIL_03336","BONMBINM_02793","HDHIBFGB_02135","POCPDFCE_03593","FMNDBGIB_02642","LBKLGAEM_03555","GBFFMACB_02469"
"fkpA","","FKBP-type peptidyl-prolyl cis-trans isomerase FkpA",581,581,1,1,1613,NA,NA,"",818,818,818,"OMEBOICM_00722","OCHGHCBG_02318","HECGGPDK_01902","OIEPJHKP_02287","ABGDGJIO_01957","HEJLPIII_00858","ENBCENPF_01848","HAJGLMEJ_00726","BGBDHPIL_00942","BONMBINM_00055","HDHIBFGB_01904","POCPDFCE_02029","FMNDBGIB_00008","LBKLGAEM_02442","GBFFMACB_01603"
"mazG","","Nucleoside triphosphate pyrophosphohydrolase",581,581,1,1,2958,NA,NA,"",800,800,800,"OMEBOICM_02134","OCHGHCBG_00264","HECGGPDK_01139","OIEPJHKP_00405","ABGDGJIO_00405","HEJLPIII_02006","ENBCENPF_00405","HAJGLMEJ_00010","BGBDHPIL_02183","BONMBINM_01672","HDHIBFGB_01384","POCPDFCE_04078","FMNDBGIB_04490","LBKLGAEM_00264","GBFFMACB_02160"
"ltaE","","Low specificity L-threonine aldolase",581,581,1,1,4337,NA,NA,"",1001,1001,1001,"OMEBOICM_02072","OCHGHCBG_01687","HECGGPDK_03239","OIEPJHKP_01300","ABGDGJIO_00801","HEJLPIII_01797","ENBCENPF_01021","HAJGLMEJ_01359","BGBDHPIL_02606","BONMBINM_02344","HDHIBFGB_02349","POCPDFCE_03228","FMNDBGIB_00774","LBKLGAEM_00801","GBFFMACB_02662"
"idnO","","5-keto-D-gluconate 5-reductase",581,581,1,1,6113,NA,NA,"",764,764,764,"OMEBOICM_00974","OCHGHCBG_02006","HECGGPDK_01660","OIEPJHKP_00855","ABGDGJIO_01342","HEJLPIII_00258","ENBCENPF_02540","HAJGLMEJ_04540","BGBDHPIL_01773","BONMBINM_01825","HDHIBFGB_00870","POCPDFCE_03608","FMNDBGIB_04255","LBKLGAEM_01897","GBFFMACB_01184"
"asrB","","Anaerobic sulfite reductase subunit B",581,581,1,1,4106,NA,NA,"",818,818,818,"OMEBOICM_02706","OCHGHCBG_03133","HECGGPDK_02711","OIEPJHKP_01164","ABGDGJIO_02722","HEJLPIII_01268","ENBCENPF_02978","HAJGLMEJ_00964","BGBDHPIL_01183","BONMBINM_01293","HDHIBFGB_00053","POCPDFCE_04087","FMNDBGIB_03004","LBKLGAEM_02502","GBFFMACB_01017"
"ubiA","","4-hydroxybenzoate octaprenyltransferase",581,581,1,1,2039,NA,NA,"",872,872,872,"OMEBOICM_03711","OCHGHCBG_02230","HECGGPDK_01435","OIEPJHKP_01078","ABGDGJIO_01565","HEJLPIII_00034","ENBCENPF_02763","HAJGLMEJ_04014","BGBDHPIL_04453","BONMBINM_03975","HDHIBFGB_04257","POCPDFCE_01629","FMNDBGIB_03833","LBKLGAEM_01673","GBFFMACB_03310"
"tusA","","Sulfur carrier protein TusA",581,581,1,1,1741,NA,NA,"",335,335,335,"OMEBOICM_00599","OCHGHCBG_02441","HECGGPDK_02025","OIEPJHKP_02165","ABGDGJIO_01834","HEJLPIII_00980","ENBCENPF_01725","HAJGLMEJ_00603","BGBDHPIL_01065","BONMBINM_00178","HDHIBFGB_02027","POCPDFCE_00073","FMNDBGIB_00130","LBKLGAEM_02319","GBFFMACB_01726"
"ybhQ","","Inner membrane protein YbhQ",581,581,1,1,4243,NA,NA,"",410,410,410,"OMEBOICM_03560","OCHGHCBG_01773","HECGGPDK_03326","OIEPJHKP_04397","ABGDGJIO_00715","HEJLPIII_01883","ENBCENPF_04316","HAJGLMEJ_03785","BGBDHPIL_04199","BONMBINM_04121","HDHIBFGB_03539","POCPDFCE_02475","FMNDBGIB_03746","LBKLGAEM_00715","GBFFMACB_03206"
"ispF","","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",581,581,1,1,2986,NA,NA,"",479,479,479,"OMEBOICM_02160","OCHGHCBG_00238","HECGGPDK_01165","OIEPJHKP_00431","ABGDGJIO_00431","HEJLPIII_02032","ENBCENPF_00431","HAJGLMEJ_01577","BGBDHPIL_02157","BONMBINM_01698","HDHIBFGB_01410","POCPDFCE_01776","FMNDBGIB_01830","LBKLGAEM_00238","GBFFMACB_02186"
"group_5732","","hypothetical protein",581,581,1,1,3935,NA,NA,"",518,518,518,"OMEBOICM_01348","OCHGHCBG_03317","HECGGPDK_03922","OIEPJHKP_03051","ABGDGJIO_02538","HEJLPIII_01452","ENBCENPF_03913","HAJGLMEJ_00780","BGBDHPIL_02932","BONMBINM_01108","HDHIBFGB_00237","POCPDFCE_03548","FMNDBGIB_00459","LBKLGAEM_02686","GBFFMACB_01801"
"pduV_2","","Propanediol utilization protein PduV",581,581,1,1,5720,NA,NA,"",452,452,452,"OMEBOICM_04422","OCHGHCBG_01150","HECGGPDK_03988","OIEPJHKP_02808","ABGDGJIO_03616","HEJLPIII_03124","ENBCENPF_03328","HAJGLMEJ_03971","BGBDHPIL_01805","BONMBINM_01404","HDHIBFGB_01833","POCPDFCE_03198","FMNDBGIB_03717","LBKLGAEM_03360","GBFFMACB_03901"
"ymdB","","O-acetyl-ADP-ribose deacetylase",581,581,1,1,5515,NA,NA,"",539,539,539,"OMEBOICM_04498","OCHGHCBG_00992","HECGGPDK_00005","OIEPJHKP_03372","ABGDGJIO_03460","HEJLPIII_02614","ENBCENPF_02201","HAJGLMEJ_02570","BGBDHPIL_00017","BONMBINM_01057","HDHIBFGB_01379","POCPDFCE_03731","FMNDBGIB_01958","LBKLGAEM_03789","GBFFMACB_02016"
"corC","","Magnesium and cobalt efflux protein CorC",581,581,1,1,330,NA,NA,"",878,878,878,"OMEBOICM_01499","OCHGHCBG_04049","HECGGPDK_03117","OIEPJHKP_03811","ABGDGJIO_03886","HEJLPIII_03532","ENBCENPF_03874","HAJGLMEJ_02330","BGBDHPIL_03046","BONMBINM_03148","HDHIBFGB_02574","POCPDFCE_00174","FMNDBGIB_01651","LBKLGAEM_03891","GBFFMACB_00086"
"yafJ","","Putative glutamine amidotransferase YafJ",581,581,1,1,818,NA,NA,"",767,767,767,"OMEBOICM_00269","OCHGHCBG_03499","HECGGPDK_02823","OIEPJHKP_02563","ABGDGJIO_03076","HEJLPIII_02328","ENBCENPF_02125","HAJGLMEJ_01286","BGBDHPIL_00704","BONMBINM_03272","HDHIBFGB_03374","POCPDFCE_01707","FMNDBGIB_00836","LBKLGAEM_03114","GBFFMACB_04295"
"ibaG","","Acid stress protein IbaG",581,581,1,1,2589,NA,NA,"",293,293,293,"OMEBOICM_04236","OCHGHCBG_00624","HECGGPDK_00779","OIEPJHKP_00045","ABGDGJIO_00045","HEJLPIII_03686","ENBCENPF_00045","HAJGLMEJ_00370","BGBDHPIL_00600","BONMBINM_00457","HDHIBFGB_02701","POCPDFCE_00282","FMNDBGIB_02411","LBKLGAEM_00624","GBFFMACB_00688"
"group_5738","","hypothetical protein",581,581,1,1,6121,NA,NA,"",158,158,158,"OMEBOICM_00983","OCHGHCBG_01997","HECGGPDK_01669","OIEPJHKP_00846","ABGDGJIO_01333","HEJLPIII_00267","ENBCENPF_02531","HAJGLMEJ_04531","BGBDHPIL_01782","BONMBINM_01816","HDHIBFGB_00879","POCPDFCE_03599","FMNDBGIB_04264","LBKLGAEM_01906","GBFFMACB_01175"
"group_5739","","hypothetical protein",581,581,1,1,5404,NA,NA,"",260,260,260,"OMEBOICM_00993","OCHGHCBG_00888","HECGGPDK_00109","OIEPJHKP_03476","ABGDGJIO_03356","HEJLPIII_02718","ENBCENPF_02305","HAJGLMEJ_02466","BGBDHPIL_00122","BONMBINM_00953","HDHIBFGB_01275","POCPDFCE_03710","FMNDBGIB_04076","LBKLGAEM_03685","GBFFMACB_03526"
"parE","","DNA topoisomerase 4 subunit B",581,581,1,1,2716,NA,NA,"",1892,1892,1892,"OMEBOICM_00297","OCHGHCBG_00501","HECGGPDK_00902","OIEPJHKP_00168","ABGDGJIO_00168","HEJLPIII_03809","ENBCENPF_00168","HAJGLMEJ_00247","BGBDHPIL_00478","BONMBINM_00580","HDHIBFGB_03773","POCPDFCE_03106","FMNDBGIB_02534","LBKLGAEM_00501","GBFFMACB_00565"
"occR","","Octopine catabolism/uptake operon regulatory protein OccR",581,581,1,1,2893,NA,NA,"",935,935,935,"OMEBOICM_00467","OCHGHCBG_00331","HECGGPDK_01072","OIEPJHKP_00338","ABGDGJIO_00338","HEJLPIII_01939","ENBCENPF_00338","HAJGLMEJ_00077","BGBDHPIL_03471","BONMBINM_01605","HDHIBFGB_03031","POCPDFCE_00397","FMNDBGIB_01133","LBKLGAEM_00331","GBFFMACB_02093"
"aroC","","Chorismate synthase",581,581,1,1,3945,NA,NA,"",1085,1085,1085,"OMEBOICM_01340","OCHGHCBG_03309","HECGGPDK_02535","OIEPJHKP_03059","ABGDGJIO_02546","HEJLPIII_01444","ENBCENPF_02802","HAJGLMEJ_00788","BGBDHPIL_04528","BONMBINM_01116","HDHIBFGB_00229","POCPDFCE_03556","FMNDBGIB_00451","LBKLGAEM_02678","GBFFMACB_01793"
"group_5743","ygdR_2","putative lipoprotein YgdR",581,581,1,1,2922,NA,NA,"",227,227,227,"OMEBOICM_00498","OCHGHCBG_00300","HECGGPDK_01103","OIEPJHKP_00369","ABGDGJIO_00369","HEJLPIII_01970","ENBCENPF_00369","HAJGLMEJ_00046","BGBDHPIL_03502","BONMBINM_01636","HDHIBFGB_03062","POCPDFCE_00366","FMNDBGIB_01164","LBKLGAEM_00300","GBFFMACB_02124"
"iadA","","Isoaspartyl dipeptidase",581,581,1,1,6156,NA,NA,"",1172,1172,1172,"OMEBOICM_04310","OCHGHCBG_01966","HECGGPDK_01700","OIEPJHKP_00815","ABGDGJIO_01302","HEJLPIII_00298","ENBCENPF_03596","HAJGLMEJ_04510","BGBDHPIL_02211","BONMBINM_02604","HDHIBFGB_00910","POCPDFCE_03687","FMNDBGIB_03799","LBKLGAEM_01937","GBFFMACB_03429"
"gudX_2","","Glucarate dehydratase-related protein",581,581,1,1,2945,NA,NA,"",1085,1085,1085,"OMEBOICM_00521","OCHGHCBG_00277","HECGGPDK_01126","OIEPJHKP_00392","ABGDGJIO_00392","HEJLPIII_01993","ENBCENPF_00392","HAJGLMEJ_00023","BGBDHPIL_03525","BONMBINM_01659","HDHIBFGB_03085","POCPDFCE_00343","FMNDBGIB_01187","LBKLGAEM_00277","GBFFMACB_02147"
"ydjI","","putative protein YdjI",581,581,1,1,5360,NA,NA,"",836,836,836,"OMEBOICM_01037","OCHGHCBG_00844","HECGGPDK_00153","OIEPJHKP_03520","ABGDGJIO_03312","HEJLPIII_02762","ENBCENPF_02349","HAJGLMEJ_03166","BGBDHPIL_00166","BONMBINM_00909","HDHIBFGB_01231","POCPDFCE_02413","FMNDBGIB_01212","LBKLGAEM_03641","GBFFMACB_03482"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase",581,581,1,1,4650,NA,NA,"",548,548,548,"OMEBOICM_02900","OCHGHCBG_01405","HECGGPDK_02284","OIEPJHKP_04048","ABGDGJIO_01085","HEJLPIII_04038","ENBCENPF_00739","HAJGLMEJ_02999","BGBDHPIL_03111","BONMBINM_02936","HDHIBFGB_03144","POCPDFCE_02322","FMNDBGIB_02209","LBKLGAEM_01083","GBFFMACB_02278"
"group_5748","","hypothetical protein",581,581,1,1,5127,NA,NA,"",341,341,341,"OMEBOICM_03494","OCHGHCBG_02717","HECGGPDK_00369","OIEPJHKP_01889","ABGDGJIO_02052","HEJLPIII_00810","ENBCENPF_01449","HAJGLMEJ_01855","BGBDHPIL_03432","BONMBINM_03730","HDHIBFGB_00399","POCPDFCE_00575","FMNDBGIB_02758","LBKLGAEM_01518","GBFFMACB_00882"
"group_5749","","hypothetical protein",581,581,1,1,4296,NA,NA,"",425,425,425,"OMEBOICM_02035","OCHGHCBG_01724","HECGGPDK_03277","OIEPJHKP_01263","ABGDGJIO_00764","HEJLPIII_01834","ENBCENPF_01058","HAJGLMEJ_01322","BGBDHPIL_02643","BONMBINM_02381","HDHIBFGB_02312","POCPDFCE_02929","FMNDBGIB_00811","LBKLGAEM_00764","GBFFMACB_04374"
"ucpA","","Oxidoreductase UcpA",581,581,1,1,4013,NA,NA,"",791,791,791,"OMEBOICM_01271","OCHGHCBG_03240","HECGGPDK_02603","OIEPJHKP_03128","ABGDGJIO_02615","HEJLPIII_01375","ENBCENPF_02871","HAJGLMEJ_00857","BGBDHPIL_01290","BONMBINM_01185","HDHIBFGB_00160","POCPDFCE_01376","FMNDBGIB_00382","LBKLGAEM_02609","GBFFMACB_01124"
"group_5751","","hypothetical protein",581,581,1,1,6068,NA,NA,"",551,551,551,"OMEBOICM_00929","OCHGHCBG_02051","HECGGPDK_01615","OIEPJHKP_00900","ABGDGJIO_01387","HEJLPIII_00213","ENBCENPF_02585","HAJGLMEJ_03481","BGBDHPIL_01728","BONMBINM_01870","HDHIBFGB_00825","POCPDFCE_02166","FMNDBGIB_02901","LBKLGAEM_01852","GBFFMACB_01229"
"kbp","","Potassium binding protein Kbp",581,581,1,1,3126,NA,NA,"",449,449,449,"OMEBOICM_02419","OCHGHCBG_00104","HECGGPDK_01298","OIEPJHKP_00565","ABGDGJIO_00565","HEJLPIII_02165","ENBCENPF_00565","HAJGLMEJ_01711","BGBDHPIL_02024","BONMBINM_03439","HDHIBFGB_01544","POCPDFCE_01911","FMNDBGIB_01791","LBKLGAEM_00104","GBFFMACB_02840"
"group_5753","","putative protein",581,581,1,1,2942,NA,NA,"",449,449,449,"OMEBOICM_00518","OCHGHCBG_00280","HECGGPDK_01123","OIEPJHKP_00389","ABGDGJIO_00389","HEJLPIII_01990","ENBCENPF_00389","HAJGLMEJ_00026","BGBDHPIL_03522","BONMBINM_01656","HDHIBFGB_03082","POCPDFCE_00346","FMNDBGIB_01184","LBKLGAEM_00280","GBFFMACB_02144"
"group_5754","","hypothetical protein",581,581,1,1,3951,NA,NA,"",284,284,284,"OMEBOICM_01334","OCHGHCBG_03303","HECGGPDK_02541","OIEPJHKP_03065","ABGDGJIO_02552","HEJLPIII_01438","ENBCENPF_02808","HAJGLMEJ_00794","BGBDHPIL_04522","BONMBINM_01122","HDHIBFGB_00223","POCPDFCE_03562","FMNDBGIB_00445","LBKLGAEM_02672","GBFFMACB_01787"
"prfB_2","","Peptide chain release factor RF2",581,581,1,1,813,NA,NA,"",614,614,614,"OMEBOICM_00265","OCHGHCBG_03503","HECGGPDK_02827","OIEPJHKP_02559","ABGDGJIO_03072","HEJLPIII_02332","ENBCENPF_02121","HAJGLMEJ_01282","BGBDHPIL_00708","BONMBINM_03276","HDHIBFGB_03370","POCPDFCE_01703","FMNDBGIB_00840","LBKLGAEM_03110","GBFFMACB_04291"
"envC","","Murein hydrolase activator EnvC",581,581,1,1,1881,NA,NA,"",1283,1283,1283,"OMEBOICM_03298","OCHGHCBG_02571","HECGGPDK_02155","OIEPJHKP_02035","ABGDGJIO_01704","HEJLPIII_01110","ENBCENPF_01595","HAJGLMEJ_00473","BGBDHPIL_02424","BONMBINM_00308","HDHIBFGB_02809","POCPDFCE_02723","FMNDBGIB_00260","LBKLGAEM_02189","GBFFMACB_02586"
"glpF","","Glycerol uptake facilitator protein",581,581,1,1,2196,NA,NA,"",845,845,845,"OMEBOICM_01963","OCHGHCBG_04255","HECGGPDK_03761","OIEPJHKP_03611","ABGDGJIO_04230","HEJLPIII_03884","ENBCENPF_03668","HAJGLMEJ_02247","BGBDHPIL_02763","BONMBINM_04170","HDHIBFGB_03263","POCPDFCE_01176","FMNDBGIB_03226","LBKLGAEM_04049","GBFFMACB_02396"
"livK","","Leucine-specific-binding protein",581,581,1,1,1728,NA,NA,"",1109,1109,1109,"OMEBOICM_00612","OCHGHCBG_02428","HECGGPDK_02012","OIEPJHKP_02178","ABGDGJIO_01847","HEJLPIII_00967","ENBCENPF_01738","HAJGLMEJ_00616","BGBDHPIL_01052","BONMBINM_00165","HDHIBFGB_02014","POCPDFCE_00060","FMNDBGIB_00117","LBKLGAEM_02332","GBFFMACB_01713"
"group_5759","","hypothetical protein",581,581,1,1,53,NA,NA,"",404,404,404,"OMEBOICM_02317","OCHGHCBG_01865","HECGGPDK_01802","OIEPJHKP_00714","ABGDGJIO_01201","HEJLPIII_00399","ENBCENPF_03495","HAJGLMEJ_02632","BGBDHPIL_02313","BONMBINM_02705","HDHIBFGB_01011","POCPDFCE_03975","FMNDBGIB_02117","LBKLGAEM_02038","GBFFMACB_04383"
"thiE","","Thiamine-phosphate synthase",581,581,1,1,1534,NA,NA,"",635,635,635,"OMEBOICM_04442","OCHGHCBG_04619","HECGGPDK_04576","OIEPJHKP_04582","ABGDGJIO_04675","HEJLPIII_04472","ENBCENPF_04559","HAJGLMEJ_04383","BGBDHPIL_04320","BONMBINM_04411","HDHIBFGB_04408","POCPDFCE_03764","FMNDBGIB_03977","LBKLGAEM_04632","GBFFMACB_04148"
"citG_1","","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase",581,581,1,1,2544,NA,NA,"",698,698,698,"OMEBOICM_04530","OCHGHCBG_00667","HECGGPDK_00736","OIEPJHKP_00002","ABGDGJIO_00002","HEJLPIII_03643","ENBCENPF_00002","HAJGLMEJ_00413","BGBDHPIL_00643","BONMBINM_00415","HDHIBFGB_02744","POCPDFCE_00239","FMNDBGIB_02368","LBKLGAEM_00667","GBFFMACB_00731"
"group_5762","","hypothetical protein",581,581,1,1,4002,NA,NA,"",239,239,239,"OMEBOICM_01282","OCHGHCBG_03251","HECGGPDK_02592","OIEPJHKP_03117","ABGDGJIO_02604","HEJLPIII_01386","ENBCENPF_02860","HAJGLMEJ_00846","BGBDHPIL_01301","BONMBINM_01174","HDHIBFGB_00171","POCPDFCE_01387","FMNDBGIB_00393","LBKLGAEM_02620","GBFFMACB_01135"
"chiQ","","putative lipoprotein ChiQ",581,581,1,1,315,NA,NA,"",332,332,332,"OMEBOICM_01520","OCHGHCBG_04028","HECGGPDK_03138","OIEPJHKP_03832","ABGDGJIO_03865","HEJLPIII_03511","ENBCENPF_03895","HAJGLMEJ_02309","BGBDHPIL_03866","BONMBINM_03127","HDHIBFGB_02595","POCPDFCE_00153","FMNDBGIB_01672","LBKLGAEM_03870","GBFFMACB_00065"
