"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3000893","SRR15357283","SRR5928619","SRR14766355","NDSU4","SRR2911780","SRR25926991","SRR3000890","SRR19572341","SRR14766443","SRR9016885","SRR8728075","SRR5000227","SRR16297815","SRR14272153"
"dctM_2","","C4-dicarboxylate TRAP transporter large permease protein DctM",581,581,1,1,2271,NA,NA,"",1307,1307,1307,"NNFNPJIH_03287","PDNNBANI_04155","JKCDLFCP_03234","KIGINCLF_01944","MLOHFGPA_02236","FENEHPHI_03733","MAFDEBPG_02843","GEFNPNKI_03081","PBAHMKCA_04026","BJFLHFPA_02576","OMEBOICM_01929","EDHNKBAJ_03145","FKHFPJNE_04092","DCCGOOHM_04002","HIMMJIDH_04219"
"group_4712","","hypothetical protein",581,581,1,1,313,NA,NA,"",1139,1139,1139,"NNFNPJIH_03361","PDNNBANI_03966","JKCDLFCP_02349","KIGINCLF_02018","MLOHFGPA_03779","FENEHPHI_03544","MAFDEBPG_01869","GEFNPNKI_03270","PBAHMKCA_03717","BJFLHFPA_02792","OMEBOICM_01522","EDHNKBAJ_03340","FKHFPJNE_03684","DCCGOOHM_03878","HIMMJIDH_04095"
"gmm","","GDP-mannose mannosyl hydrolase",581,581,1,1,5776,NA,NA,"",473,473,473,"NNFNPJIH_03073","PDNNBANI_03240","JKCDLFCP_00572","KIGINCLF_01537","MLOHFGPA_00748","FENEHPHI_02980","MAFDEBPG_03366","GEFNPNKI_02683","PBAHMKCA_03067","BJFLHFPA_02356","OMEBOICM_01692","EDHNKBAJ_02527","FKHFPJNE_03294","DCCGOOHM_03415","HIMMJIDH_03598"
"mreC","","Cell shape-determining protein MreC",581,581,1,1,1961,NA,NA,"",1052,1052,1052,"NNFNPJIH_04400","PDNNBANI_04591","JKCDLFCP_03642","KIGINCLF_04097","MLOHFGPA_03932","FENEHPHI_04500","MAFDEBPG_04167","GEFNPNKI_04352","PBAHMKCA_04456","BJFLHFPA_04187","OMEBOICM_04097","EDHNKBAJ_04359","FKHFPJNE_04390","DCCGOOHM_04489","HIMMJIDH_04477"
"mrr","","Mrr restriction system protein",581,581,1,1,6171,NA,NA,"",338,338,338,"NNFNPJIH_03012","PDNNBANI_01362","JKCDLFCP_04651","KIGINCLF_01560","MLOHFGPA_02680","FENEHPHI_00800","MAFDEBPG_04195","GEFNPNKI_02111","PBAHMKCA_01732","BJFLHFPA_01228","OMEBOICM_04659","EDHNKBAJ_02886","FKHFPJNE_01364","DCCGOOHM_01914","HIMMJIDH_02097"
"glpE","","Thiosulfate sulfurtransferase GlpE",581,581,1,1,1688,NA,NA,"",326,326,326,"NNFNPJIH_00916","PDNNBANI_01963","JKCDLFCP_00612","KIGINCLF_00047","MLOHFGPA_03500","FENEHPHI_01597","MAFDEBPG_01329","GEFNPNKI_01153","PBAHMKCA_02153","BJFLHFPA_00079","OMEBOICM_00651","EDHNKBAJ_00575","FKHFPJNE_01801","DCCGOOHM_02514","HIMMJIDH_02488"
"rpnD","","Recombination-promoting nuclease RpnD",581,581,1,1,6162,NA,NA,"",203,203,203,"NNFNPJIH_03021","PDNNBANI_01371","JKCDLFCP_03980","KIGINCLF_01569","MLOHFGPA_02671","FENEHPHI_00809","MAFDEBPG_04204","GEFNPNKI_02102","PBAHMKCA_01723","BJFLHFPA_01237","OMEBOICM_04316","EDHNKBAJ_02895","FKHFPJNE_01373","DCCGOOHM_01923","HIMMJIDH_02106"
"mpaA","","Murein peptide amidase A",581,581,1,1,4923,NA,NA,"",728,728,728,"NNFNPJIH_00443","PDNNBANI_00551","JKCDLFCP_01314","KIGINCLF_02677","MLOHFGPA_00982","FENEHPHI_01305","MAFDEBPG_01416","GEFNPNKI_00882","PBAHMKCA_00193","BJFLHFPA_03023","OMEBOICM_01817","EDHNKBAJ_00186","FKHFPJNE_00554","DCCGOOHM_00746","HIMMJIDH_00737"
"mppA","","Periplasmic murein peptide-binding protein",581,581,1,1,4924,NA,NA,"",1613,1613,1613,"NNFNPJIH_00442","PDNNBANI_00550","JKCDLFCP_01313","KIGINCLF_02678","MLOHFGPA_00981","FENEHPHI_01306","MAFDEBPG_01415","GEFNPNKI_00881","PBAHMKCA_00194","BJFLHFPA_03024","OMEBOICM_01818","EDHNKBAJ_00185","FKHFPJNE_00553","DCCGOOHM_00747","HIMMJIDH_00738"
"group_4720","","hypothetical protein",581,581,1,1,4786,NA,NA,"",137,137,137,"NNFNPJIH_00574","PDNNBANI_00684","JKCDLFCP_02451","KIGINCLF_02484","MLOHFGPA_02162","FENEHPHI_01174","MAFDEBPG_01547","GEFNPNKI_01014","PBAHMKCA_00062","BJFLHFPA_03844","OMEBOICM_03652","EDHNKBAJ_00317","FKHFPJNE_00685","DCCGOOHM_04146","HIMMJIDH_00606"
"pyrF","","Orotidine 5'-phosphate decarboxylase",581,581,1,1,4893,NA,NA,"",737,737,737,"NNFNPJIH_00470","PDNNBANI_00579","JKCDLFCP_01341","KIGINCLF_02650","MLOHFGPA_01009","FENEHPHI_01278","MAFDEBPG_01443","GEFNPNKI_00909","PBAHMKCA_00166","BJFLHFPA_02996","OMEBOICM_01790","EDHNKBAJ_00213","FKHFPJNE_00581","DCCGOOHM_00719","HIMMJIDH_00710"
"gor","","Glutathione reductase",581,581,1,1,1762,NA,NA,"",1352,1352,1352,"NNFNPJIH_00844","PDNNBANI_01891","JKCDLFCP_00684","KIGINCLF_00119","MLOHFGPA_02804","FENEHPHI_01669","MAFDEBPG_01257","GEFNPNKI_01225","PBAHMKCA_02081","BJFLHFPA_00151","OMEBOICM_00579","EDHNKBAJ_00647","FKHFPJNE_01873","DCCGOOHM_02442","HIMMJIDH_02560"
"dgaR_2","","Transcriptional regulatory protein DagR",581,581,1,1,1471,NA,NA,"",2570,2570,2570,"NNFNPJIH_00662","PDNNBANI_01708","JKCDLFCP_03215","KIGINCLF_03797","MLOHFGPA_01506","FENEHPHI_01851","MAFDEBPG_02728","GEFNPNKI_01407","PBAHMKCA_01898","BJFLHFPA_04108","OMEBOICM_03909","EDHNKBAJ_00830","FKHFPJNE_02055","DCCGOOHM_02259","HIMMJIDH_02743"
"citD_1","","Citrate lyase acyl carrier protein",581,581,1,1,2537,NA,NA,"",293,293,293,"NNFNPJIH_02689","PDNNBANI_03900","JKCDLFCP_03619","KIGINCLF_01727","MLOHFGPA_04655","FENEHPHI_03078","MAFDEBPG_01703","GEFNPNKI_02837","PBAHMKCA_03391","BJFLHFPA_02379","OMEBOICM_04043","EDHNKBAJ_03060","FKHFPJNE_03430","DCCGOOHM_03551","HIMMJIDH_03958"
"recC","","RecBCD enzyme subunit RecC",581,581,1,1,2911,NA,NA,"",3371,3371,3371,"NNFNPJIH_03770","PDNNBANI_03679","JKCDLFCP_01615","KIGINCLF_02767","MLOHFGPA_03123","FENEHPHI_00313","MAFDEBPG_02621","GEFNPNKI_00356","PBAHMKCA_01065","BJFLHFPA_03308","OMEBOICM_00485","EDHNKBAJ_00891","FKHFPJNE_02759","DCCGOOHM_00356","HIMMJIDH_01610"
"group_4726","","hypothetical protein",581,581,1,1,4332,NA,NA,"",323,323,323,"NNFNPJIH_01656","PDNNBANI_01102","JKCDLFCP_01977","KIGINCLF_02209","MLOHFGPA_00383","FENEHPHI_02371","MAFDEBPG_04368","GEFNPNKI_03500","PBAHMKCA_04106","BJFLHFPA_03231","OMEBOICM_02068","EDHNKBAJ_01261","FKHFPJNE_01103","DCCGOOHM_01654","HIMMJIDH_00129"
"pduE","","Propanediol dehydratase small subunit",581,581,1,1,5706,NA,NA,"",521,521,521,"NNFNPJIH_04252","PDNNBANI_03306","JKCDLFCP_03051","KIGINCLF_02841","MLOHFGPA_00682","FENEHPHI_03046","MAFDEBPG_03138","GEFNPNKI_03863","PBAHMKCA_03001","BJFLHFPA_03494","OMEBOICM_04408","EDHNKBAJ_04402","FKHFPJNE_03228","DCCGOOHM_03350","HIMMJIDH_03664"
"fruA_2","","PTS system fructose-specific EIIB'BC component",581,581,1,1,1393,NA,NA,"",764,764,764,"NNFNPJIH_03997","PDNNBANI_04359","JKCDLFCP_03167","KIGINCLF_03321","MLOHFGPA_03562","FENEHPHI_04180","MAFDEBPG_03452","GEFNPNKI_04038","PBAHMKCA_04352","BJFLHFPA_03721","OMEBOICM_03425","EDHNKBAJ_03936","FKHFPJNE_04276","DCCGOOHM_04317","HIMMJIDH_04418"
"ycgM","","putative protein YcgM",581,581,1,1,4784,NA,NA,"",659,659,659,"NNFNPJIH_00576","PDNNBANI_00686","JKCDLFCP_02449","KIGINCLF_02486","MLOHFGPA_02160","FENEHPHI_01172","MAFDEBPG_01549","GEFNPNKI_01016","PBAHMKCA_00060","BJFLHFPA_03842","OMEBOICM_03650","EDHNKBAJ_00319","FKHFPJNE_00687","DCCGOOHM_04144","HIMMJIDH_00604"
"group_4730","","hypothetical protein",581,581,1,1,76,NA,NA,"",488,488,488,"NNFNPJIH_02949","PDNNBANI_01299","JKCDLFCP_01909","KIGINCLF_02343","MLOHFGPA_02743","FENEHPHI_00737","MAFDEBPG_02903","GEFNPNKI_03626","PBAHMKCA_01796","BJFLHFPA_01165","OMEBOICM_02340","EDHNKBAJ_02823","FKHFPJNE_01300","DCCGOOHM_01851","HIMMJIDH_02033"
"cbiQ","","Cobalt transport protein CbiQ",581,581,1,1,5680,NA,NA,"",677,677,677,"NNFNPJIH_04230","PDNNBANI_03328","JKCDLFCP_03029","KIGINCLF_02819","MLOHFGPA_04683","FENEHPHI_03068","MAFDEBPG_03160","GEFNPNKI_03885","PBAHMKCA_02979","BJFLHFPA_03472","OMEBOICM_04151","EDHNKBAJ_04424","FKHFPJNE_03206","DCCGOOHM_03328","HIMMJIDH_03686"
"cbiL","","Cobalt-precorrin-2 C(20)-methyltransferase",581,581,1,1,5683,NA,NA,"",713,713,713,"NNFNPJIH_04233","PDNNBANI_03325","JKCDLFCP_03032","KIGINCLF_02822","MLOHFGPA_00663","FENEHPHI_03065","MAFDEBPG_03157","GEFNPNKI_03882","PBAHMKCA_02982","BJFLHFPA_03475","OMEBOICM_04154","EDHNKBAJ_04421","FKHFPJNE_03209","DCCGOOHM_03331","HIMMJIDH_03683"
"yiaM","","2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM",581,581,1,1,1845,NA,NA,"",473,473,473,"NNFNPJIH_00768","PDNNBANI_01814","JKCDLFCP_03314","KIGINCLF_00196","MLOHFGPA_01612","FENEHPHI_01745","MAFDEBPG_03317","GEFNPNKI_01301","PBAHMKCA_02004","BJFLHFPA_00228","OMEBOICM_03264","EDHNKBAJ_00724","FKHFPJNE_01949","DCCGOOHM_02365","HIMMJIDH_02637"
"hisS","","Histidine--tRNA ligase",581,581,1,1,4137,NA,NA,"",1274,1274,1274,"NNFNPJIH_01398","PDNNBANI_02171","JKCDLFCP_03905","KIGINCLF_04009","MLOHFGPA_01802","FENEHPHI_02160","MAFDEBPG_00755","GEFNPNKI_01717","PBAHMKCA_03477","BJFLHFPA_03362","OMEBOICM_02736","EDHNKBAJ_03464","FKHFPJNE_02364","DCCGOOHM_02868","HIMMJIDH_03053"
"group_4735","","hypothetical protein",581,581,1,1,2377,NA,NA,"",449,449,449,"NNFNPJIH_02844","PDNNBANI_03743","JKCDLFCP_02735","KIGINCLF_03533","MLOHFGPA_00511","FENEHPHI_03236","MAFDEBPG_03713","GEFNPNKI_04242","PBAHMKCA_03236","BJFLHFPA_03985","OMEBOICM_03807","EDHNKBAJ_04170","FKHFPJNE_03585","DCCGOOHM_03708","HIMMJIDH_03802"
"yliI","","Aldose sugar dehydrogenase YliI",581,581,1,1,4298,NA,NA,"",173,173,173,"NNFNPJIH_01625","PDNNBANI_01133","JKCDLFCP_02008","KIGINCLF_02178","MLOHFGPA_00352","FENEHPHI_02340","MAFDEBPG_04126","GEFNPNKI_03531","PBAHMKCA_04137","BJFLHFPA_03200","OMEBOICM_02037","EDHNKBAJ_01230","FKHFPJNE_01134","DCCGOOHM_01685","HIMMJIDH_00098"
"aceA","","Isocitrate lyase",581,581,1,1,2007,NA,NA,"",1304,1304,1304,"NNFNPJIH_02163","PDNNBANI_01671","JKCDLFCP_04285","KIGINCLF_04470","MLOHFGPA_03028","FENEHPHI_01108","MAFDEBPG_04556","GEFNPNKI_01803","PBAHMKCA_01424","BJFLHFPA_04610","OMEBOICM_03681","EDHNKBAJ_01504","FKHFPJNE_01672","DCCGOOHM_02222","HIMMJIDH_02406"
"group_4738","","hypothetical protein",581,581,1,1,362,NA,NA,"",263,263,263,"NNFNPJIH_03416","PDNNBANI_04021","JKCDLFCP_02404","KIGINCLF_02073","MLOHFGPA_02511","FENEHPHI_03599","MAFDEBPG_01924","GEFNPNKI_03215","PBAHMKCA_03662","BJFLHFPA_02737","OMEBOICM_01467","EDHNKBAJ_03285","FKHFPJNE_03739","DCCGOOHM_03823","HIMMJIDH_04040"
"ompR","","Transcriptional regulatory protein OmpR",581,581,1,1,1664,NA,NA,"",719,719,719,"NNFNPJIH_00939","PDNNBANI_01986","JKCDLFCP_01848","KIGINCLF_00024","MLOHFGPA_03523","FENEHPHI_01574","MAFDEBPG_01352","GEFNPNKI_01130","PBAHMKCA_02176","BJFLHFPA_00056","OMEBOICM_00674","EDHNKBAJ_00552","FKHFPJNE_01778","DCCGOOHM_02537","HIMMJIDH_02465"
"rodZ","","Cytoskeleton protein RodZ",581,581,1,1,4135,NA,NA,"",1004,1004,1004,"NNFNPJIH_01396","PDNNBANI_02169","JKCDLFCP_03903","KIGINCLF_04007","MLOHFGPA_01804","FENEHPHI_02162","MAFDEBPG_00753","GEFNPNKI_01719","PBAHMKCA_03475","BJFLHFPA_03364","OMEBOICM_02734","EDHNKBAJ_03466","FKHFPJNE_02366","DCCGOOHM_02870","HIMMJIDH_03055"
"ybhL_1","","Inner membrane protein YbhL",581,581,1,1,4234,NA,NA,"",704,704,704,"NNFNPJIH_04162","PDNNBANI_01192","JKCDLFCP_02304","KIGINCLF_03395","MLOHFGPA_00293","FENEHPHI_02281","MAFDEBPG_03606","GEFNPNKI_04107","PBAHMKCA_04196","BJFLHFPA_03790","OMEBOICM_03568","EDHNKBAJ_04101","FKHFPJNE_01193","DCCGOOHM_01744","HIMMJIDH_00039"
"mdtM","","Multidrug resistance protein MdtM",581,581,1,1,6161,NA,NA,"",1241,1241,1241,"NNFNPJIH_03022","PDNNBANI_01372","JKCDLFCP_03981","KIGINCLF_01570","MLOHFGPA_02670","FENEHPHI_00810","MAFDEBPG_04205","GEFNPNKI_02101","PBAHMKCA_01722","BJFLHFPA_01238","OMEBOICM_04315","EDHNKBAJ_02896","FKHFPJNE_01374","DCCGOOHM_01924","HIMMJIDH_02107"
"ccdB_1","","Toxin CcdB",581,581,1,1,6120,NA,NA,"",308,308,308,"NNFNPJIH_01902","PDNNBANI_01409","JKCDLFCP_04249","KIGINCLF_01607","MLOHFGPA_02652","FENEHPHI_00847","MAFDEBPG_04539","GEFNPNKI_02064","PBAHMKCA_01685","BJFLHFPA_01275","OMEBOICM_00982","EDHNKBAJ_04495","FKHFPJNE_01411","DCCGOOHM_01961","HIMMJIDH_02144"
"group_4744","","hypothetical protein",581,581,1,1,1445,NA,NA,"",530,530,530,"NNFNPJIH_00636","PDNNBANI_01682","JKCDLFCP_03189","KIGINCLF_03823","MLOHFGPA_01480","FENEHPHI_01877","MAFDEBPG_02754","GEFNPNKI_01433","PBAHMKCA_01872","BJFLHFPA_04082","OMEBOICM_03935","EDHNKBAJ_00856","FKHFPJNE_02081","DCCGOOHM_02233","HIMMJIDH_02769"
"cbpA","","Curved DNA-binding protein",581,581,1,1,4532,NA,NA,"",920,920,920,"NNFNPJIH_01835","PDNNBANI_00923","JKCDLFCP_03354","KIGINCLF_03091","MLOHFGPA_03432","FENEHPHI_02550","MAFDEBPG_02116","GEFNPNKI_02954","PBAHMKCA_02392","BJFLHFPA_02161","OMEBOICM_02540","EDHNKBAJ_01440","FKHFPJNE_00923","DCCGOOHM_01473","HIMMJIDH_00309"
"crcB","","Putative fluoride ion transporter CrcB",581,581,1,1,368,NA,NA,"",383,383,383,"NNFNPJIH_03422","PDNNBANI_04027","JKCDLFCP_02170","KIGINCLF_02079","MLOHFGPA_02505","FENEHPHI_03605","MAFDEBPG_01930","GEFNPNKI_03209","PBAHMKCA_03656","BJFLHFPA_02731","OMEBOICM_01461","EDHNKBAJ_03279","FKHFPJNE_03745","DCCGOOHM_03817","HIMMJIDH_04034"
"yhdT","","putative membrane protein YhdT",581,581,1,1,1969,NA,NA,"",242,242,242,"NNFNPJIH_04408","PDNNBANI_04599","JKCDLFCP_03650","KIGINCLF_04089","MLOHFGPA_03940","FENEHPHI_04508","MAFDEBPG_04175","GEFNPNKI_04344","PBAHMKCA_04464","BJFLHFPA_04195","OMEBOICM_04105","EDHNKBAJ_04351","FKHFPJNE_04382","DCCGOOHM_04481","HIMMJIDH_04469"
"zntB","","Zinc transport protein ZntB",581,581,1,1,4951,NA,NA,"",983,983,983,"NNFNPJIH_00419","PDNNBANI_00527","JKCDLFCP_01290","KIGINCLF_02701","MLOHFGPA_00958","FENEHPHI_01329","MAFDEBPG_02286","GEFNPNKI_00858","PBAHMKCA_00217","BJFLHFPA_03047","OMEBOICM_01841","EDHNKBAJ_00162","FKHFPJNE_00530","DCCGOOHM_00770","HIMMJIDH_00761"
"rof","","Protein rof",581,581,1,1,2351,NA,NA,"",260,260,260,"NNFNPJIH_02869","PDNNBANI_03718","JKCDLFCP_02760","KIGINCLF_03508","MLOHFGPA_00486","FENEHPHI_03261","MAFDEBPG_03738","GEFNPNKI_04267","PBAHMKCA_03211","BJFLHFPA_03960","OMEBOICM_03832","EDHNKBAJ_04145","FKHFPJNE_03610","DCCGOOHM_03733","HIMMJIDH_03777"
"rpsR","","30S ribosomal protein S18",581,581,1,1,6039,NA,NA,"",227,227,227,"NNFNPJIH_01981","PDNNBANI_01488","JKCDLFCP_01723","KIGINCLF_01686","MLOHFGPA_02573","FENEHPHI_00926","MAFDEBPG_02199","GEFNPNKI_01985","PBAHMKCA_01606","BJFLHFPA_01354","OMEBOICM_00903","EDHNKBAJ_01687","FKHFPJNE_01490","DCCGOOHM_02040","HIMMJIDH_02223"
"iclR","","Transcriptional repressor IclR",581,581,1,1,2010,NA,NA,"",824,824,824,"NNFNPJIH_02160","PDNNBANI_01668","JKCDLFCP_04282","KIGINCLF_04467","MLOHFGPA_03031","FENEHPHI_01105","MAFDEBPG_04553","GEFNPNKI_01806","PBAHMKCA_01427","BJFLHFPA_04607","OMEBOICM_03684","EDHNKBAJ_01507","FKHFPJNE_01669","DCCGOOHM_02219","HIMMJIDH_02403"
"pstA","","Phosphate transport system permease protein PstA",581,581,1,1,1397,NA,NA,"",890,890,890,"NNFNPJIH_04001","PDNNBANI_04355","JKCDLFCP_03163","KIGINCLF_03325","MLOHFGPA_03566","FENEHPHI_04184","MAFDEBPG_03448","GEFNPNKI_04034","PBAHMKCA_04356","BJFLHFPA_03717","OMEBOICM_03421","EDHNKBAJ_03940","FKHFPJNE_04272","DCCGOOHM_04321","HIMMJIDH_04422"
"lsrG","","(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",581,581,1,1,2204,NA,NA,"",329,329,329,"NNFNPJIH_03261","PDNNBANI_04181","JKCDLFCP_03260","KIGINCLF_01918","MLOHFGPA_02262","FENEHPHI_03759","MAFDEBPG_02817","GEFNPNKI_03055","PBAHMKCA_04000","BJFLHFPA_02603","OMEBOICM_01955","EDHNKBAJ_03119","FKHFPJNE_04066","DCCGOOHM_04028","HIMMJIDH_04245"
"proA","","Gamma-glutamyl phosphate reductase",581,581,1,1,805,NA,NA,"",1247,1247,1247,"NNFNPJIH_02400","PDNNBANI_02706","JKCDLFCP_00282","KIGINCLF_00962","MLOHFGPA_04521","FENEHPHI_02775","MAFDEBPG_00071","GEFNPNKI_02186","PBAHMKCA_02641","BJFLHFPA_00579","OMEBOICM_00258","EDHNKBAJ_02598","FKHFPJNE_03045","DCCGOOHM_03021","HIMMJIDH_03206"
"yjjJ","","Toxin YjjJ",581,581,1,1,6223,NA,NA,"",1328,1328,1328,"NNFNPJIH_02962","PDNNBANI_01312","JKCDLFCP_01896","KIGINCLF_02356","MLOHFGPA_02730","FENEHPHI_00750","MAFDEBPG_02890","GEFNPNKI_03639","PBAHMKCA_01783","BJFLHFPA_01178","OMEBOICM_02353","EDHNKBAJ_02836","FKHFPJNE_01313","DCCGOOHM_01864","HIMMJIDH_02046"
"ydjG","","NADH-specific methylglyoxal reductase",581,581,1,1,5358,NA,NA,"",983,983,983,"NNFNPJIH_00056","PDNNBANI_00164","JKCDLFCP_00155","KIGINCLF_01170","MLOHFGPA_01223","FENEHPHI_03440","MAFDEBPG_01110","GEFNPNKI_02376","PBAHMKCA_00582","BJFLHFPA_00752","OMEBOICM_01039","EDHNKBAJ_02143","FKHFPJNE_00167","DCCGOOHM_01132","HIMMJIDH_01124"
"tsaR","","HTH-type transcriptional regulator TsaR",581,581,1,1,2651,NA,NA,"",938,938,938,"NNFNPJIH_01097","PDNNBANI_02880","JKCDLFCP_00832","KIGINCLF_00387","MLOHFGPA_01380","FENEHPHI_00566","MAFDEBPG_00454","GEFNPNKI_00103","PBAHMKCA_01318","BJFLHFPA_01794","OMEBOICM_03025","EDHNKBAJ_01845","FKHFPJNE_03909","DCCGOOHM_00103","HIMMJIDH_01863"
"fklB","","FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase",581,581,1,1,6043,NA,NA,"",662,662,662,"NNFNPJIH_01977","PDNNBANI_01484","JKCDLFCP_01727","KIGINCLF_01682","MLOHFGPA_02577","FENEHPHI_00922","MAFDEBPG_02195","GEFNPNKI_01989","PBAHMKCA_01610","BJFLHFPA_01350","OMEBOICM_00907","EDHNKBAJ_01691","FKHFPJNE_01486","DCCGOOHM_02036","HIMMJIDH_02219"
"yciN","","Protein YciN",581,581,1,1,4883,NA,NA,"",251,251,251,"NNFNPJIH_00480","PDNNBANI_00589","JKCDLFCP_01351","KIGINCLF_02640","MLOHFGPA_01019","FENEHPHI_01268","MAFDEBPG_01453","GEFNPNKI_00919","PBAHMKCA_00156","BJFLHFPA_02986","OMEBOICM_01780","EDHNKBAJ_00223","FKHFPJNE_00591","DCCGOOHM_00709","HIMMJIDH_00700"
"tusD","","Sulfurtransferase TusD",581,581,1,1,1611,NA,NA,"",386,386,386,"NNFNPJIH_00989","PDNNBANI_02036","JKCDLFCP_01798","KIGINCLF_04369","MLOHFGPA_04343","FENEHPHI_01524","MAFDEBPG_01402","GEFNPNKI_01080","PBAHMKCA_02226","BJFLHFPA_00006","OMEBOICM_00724","EDHNKBAJ_00502","FKHFPJNE_01728","DCCGOOHM_02587","HIMMJIDH_02415"
"hisI","","Histidine biosynthesis bifunctional protein HisIE",581,581,1,1,5743,NA,NA,"",611,611,611,"NNFNPJIH_04575","PDNNBANI_03270","JKCDLFCP_04213","KIGINCLF_02877","MLOHFGPA_00718","FENEHPHI_03010","MAFDEBPG_03102","GEFNPNKI_03827","PBAHMKCA_03037","BJFLHFPA_03530","OMEBOICM_04391","EDHNKBAJ_02557","FKHFPJNE_03264","DCCGOOHM_03386","HIMMJIDH_03628"
"phoU","","Phosphate-specific transport system accessory protein PhoU",581,581,1,1,1399,NA,NA,"",725,725,725,"NNFNPJIH_04003","PDNNBANI_04353","JKCDLFCP_03161","KIGINCLF_03327","MLOHFGPA_03568","FENEHPHI_04186","MAFDEBPG_03446","GEFNPNKI_04032","PBAHMKCA_04358","BJFLHFPA_03715","OMEBOICM_03419","EDHNKBAJ_03942","FKHFPJNE_04270","DCCGOOHM_04323","HIMMJIDH_04424"
"sbcB","","Exodeoxyribonuclease I",581,581,1,1,5732,NA,NA,"",1430,1430,1430,"NNFNPJIH_04586","PDNNBANI_03281","JKCDLFCP_04224","KIGINCLF_02866","MLOHFGPA_00707","FENEHPHI_03021","MAFDEBPG_03113","GEFNPNKI_03838","PBAHMKCA_03026","BJFLHFPA_03519","OMEBOICM_04402","EDHNKBAJ_02568","FKHFPJNE_03253","DCCGOOHM_03375","HIMMJIDH_03639"
"cpoB","","Cell division coordinator CpoB",581,581,1,1,265,NA,NA,"",788,788,788,"NNFNPJIH_04291","PDNNBANI_03919","JKCDLFCP_04358","KIGINCLF_03846","MLOHFGPA_04754","FENEHPHI_03497","MAFDEBPG_04084","GEFNPNKI_04313","PBAHMKCA_03764","BJFLHFPA_04156","OMEBOICM_04466","EDHNKBAJ_04205","FKHFPJNE_03637","DCCGOOHM_03925","HIMMJIDH_04142"
"group_4765","","hypothetical protein",581,581,1,1,2745,NA,NA,"",404,404,404,"NNFNPJIH_01188","PDNNBANI_02971","JKCDLFCP_02624","KIGINCLF_00478","MLOHFGPA_01471","FENEHPHI_00475","MAFDEBPG_00545","GEFNPNKI_00194","PBAHMKCA_01227","BJFLHFPA_02814","OMEBOICM_00323","EDHNKBAJ_01936","FKHFPJNE_03818","DCCGOOHM_00194","HIMMJIDH_01772"
"pgtP","","Phosphoglycerate transporter protein",581,581,1,1,3969,NA,NA,"",1391,1391,1391,"NNFNPJIH_01524","PDNNBANI_02297","JKCDLFCP_01130","KIGINCLF_00670","MLOHFGPA_03849","FENEHPHI_02033","MAFDEBPG_00881","GEFNPNKI_01590","PBAHMKCA_03928","BJFLHFPA_01040","OMEBOICM_01320","EDHNKBAJ_02320","FKHFPJNE_02238","DCCGOOHM_02742","HIMMJIDH_02926"
"group_4767","","hypothetical protein",581,581,1,1,4156,NA,NA,"",233,233,233,"NNFNPJIH_01414","PDNNBANI_02187","JKCDLFCP_04549","KIGINCLF_00560","MLOHFGPA_01785","FENEHPHI_02143","MAFDEBPG_00771","GEFNPNKI_01700","PBAHMKCA_03493","BJFLHFPA_00930","OMEBOICM_02752","EDHNKBAJ_02210","FKHFPJNE_02348","DCCGOOHM_02852","HIMMJIDH_03036"
"sodB","","Superoxide dismutase [Fe]",581,581,1,1,5207,NA,NA,"",581,581,581,"NNFNPJIH_00198","PDNNBANI_00306","JKCDLFCP_03866","KIGINCLF_01027","MLOHFGPA_02418","FENEHPHI_03914","MAFDEBPG_03894","GEFNPNKI_02518","PBAHMKCA_00439","BJFLHFPA_04043","OMEBOICM_01180","EDHNKBAJ_02001","FKHFPJNE_00309","DCCGOOHM_00990","HIMMJIDH_00982"
"deoD","","Purine nucleoside phosphorylase DeoD-type",581,581,1,1,6222,NA,NA,"",719,719,719,"NNFNPJIH_02963","PDNNBANI_01313","JKCDLFCP_01895","KIGINCLF_02357","MLOHFGPA_02729","FENEHPHI_00751","MAFDEBPG_02889","GEFNPNKI_03640","PBAHMKCA_01782","BJFLHFPA_01179","OMEBOICM_02354","EDHNKBAJ_02837","FKHFPJNE_01314","DCCGOOHM_01865","HIMMJIDH_02047"
"group_4770","","hypothetical protein",581,581,1,1,5275,NA,NA,"",188,188,188,"NNFNPJIH_00132","PDNNBANI_00240","JKCDLFCP_00230","KIGINCLF_01094","MLOHFGPA_03372","FENEHPHI_03848","MAFDEBPG_01185","GEFNPNKI_02452","PBAHMKCA_00505","BJFLHFPA_00677","OMEBOICM_01114","EDHNKBAJ_02067","FKHFPJNE_00243","DCCGOOHM_01056","HIMMJIDH_01048"
