"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28323381","SRR8280066","SRR14766395","SRR14766367","NDSU17","SRR14766454","SRR14766374","SRR11101171","SRR7011986","SRR5000227","SRR27714918","SRR5000221","SRR2096623","SRR2994394","NDSU13"
"group_5379","","hypothetical protein",581,581,1,1,1493,NA,NA,"",497,497,497,"AAOAKINP_02394","FLNDLMAF_00551","HEGDAGBG_00500","OOJFKJFD_00975","OMAFMDHC_01912","DHLDAANJ_01749","OGNHHAPP_01161","EPILMDOP_02178","OJOAJMDO_04168","FKHFPJNE_02033","JDGPEFCB_02314","EKBIAHBP_02386","GEOHAANM_03160","NNGIMOCL_03944","GBFFMACB_02636"
"pckA","","Phosphoenolpyruvate carboxykinase (ATP)",581,581,1,1,1661,NA,NA,"",206,1619,1614,"AAOAKINP_02652","FLNDLMAF_00809","HEGDAGBG_00758","OOJFKJFD_01232","OMAFMDHC_01655","DHLDAANJ_00022","OGNHHAPP_00904","EPILMDOP_01319","OJOAJMDO_00902","FKHFPJNE_01776","JDGPEFCB_02057","EKBIAHBP_02644","GEOHAANM_00634","NNGIMOCL_01557","GBFFMACB_01649"
"fliT","","Flagellar protein FliT",581,581,1,1,4633,NA,NA,"",368,368,368,"AAOAKINP_01809","FLNDLMAF_04097","HEGDAGBG_01593","OOJFKJFD_00400","OMAFMDHC_00757","DHLDAANJ_02701","OGNHHAPP_03770","EPILMDOP_02674","OJOAJMDO_03048","FKHFPJNE_00831","JDGPEFCB_01067","EKBIAHBP_01487","GEOHAANM_02901","NNGIMOCL_01887","GBFFMACB_02263"
"oxyR_3","","Hydrogen peroxide-inducible genes activator",581,581,1,1,2151,NA,NA,"",917,917,917,"AAOAKINP_04097","FLNDLMAF_03915","HEGDAGBG_03925","OOJFKJFD_04171","OMAFMDHC_04155","DHLDAANJ_03108","OGNHHAPP_03576","EPILMDOP_02240","OJOAJMDO_02493","FKHFPJNE_04017","JDGPEFCB_04094","EKBIAHBP_04085","GEOHAANM_03436","NNGIMOCL_03288","GBFFMACB_02355"
"yjiG","","Inner membrane protein YjiG",581,581,1,1,6157,NA,NA,"",461,461,461,"AAOAKINP_02040","FLNDLMAF_03590","HEGDAGBG_00299","OOJFKJFD_04009","OMAFMDHC_01303","DHLDAANJ_04207","OGNHHAPP_00299","EPILMDOP_04297","OJOAJMDO_04313","FKHFPJNE_01378","JDGPEFCB_01298","EKBIAHBP_02186","GEOHAANM_01456","NNGIMOCL_02835","GBFFMACB_03430"
"yohK_2","","Inner membrane protein YohK",581,581,1,1,5906,NA,NA,"",695,695,695,"AAOAKINP_03449","FLNDLMAF_02902","HEGDAGBG_03335","OOJFKJFD_02640","OMAFMDHC_03454","DHLDAANJ_01882","OGNHHAPP_03072","EPILMDOP_03058","OJOAJMDO_04393","FKHFPJNE_03371","JDGPEFCB_03452","EKBIAHBP_03442","GEOHAANM_02480","NNGIMOCL_02957","GBFFMACB_02975"
"nrdH","","Glutaredoxin-like protein NrdH",581,581,1,1,3137,NA,NA,"",245,245,245,"AAOAKINP_01295","FLNDLMAF_00381","HEGDAGBG_02269","OOJFKJFD_02952","OMAFMDHC_00554","DHLDAANJ_00723","OGNHHAPP_01442","EPILMDOP_01508","OJOAJMDO_02296","FKHFPJNE_02561","JDGPEFCB_00553","EKBIAHBP_00849","GEOHAANM_01704","NNGIMOCL_00115","GBFFMACB_02851"
"mug","","G/U mismatch-specific DNA glycosylase",581,581,1,1,2685,NA,NA,"",506,506,506,"AAOAKINP_00878","FLNDLMAF_03872","HEGDAGBG_02520","OOJFKJFD_00622","OMAFMDHC_00136","DHLDAANJ_03891","OGNHHAPP_02033","EPILMDOP_04469","OJOAJMDO_00574","FKHFPJNE_03875","JDGPEFCB_00136","EKBIAHBP_01265","GEOHAANM_00136","NNGIMOCL_00532","GBFFMACB_00596"
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ",581,581,1,1,5361,NA,NA,"",1043,1043,1043,"AAOAKINP_00160","FLNDLMAF_02532","HEGDAGBG_02856","OOJFKJFD_02135","OMAFMDHC_02905","DHLDAANJ_03694","OGNHHAPP_01733","EPILMDOP_00177","OJOAJMDO_01765","FKHFPJNE_00164","JDGPEFCB_03220","EKBIAHBP_00583","GEOHAANM_01896","NNGIMOCL_01174","GBFFMACB_03483"
"glnA","","Glutamine synthetase",581,581,1,1,2221,NA,NA,"",1409,1409,1409,"AAOAKINP_04219","FLNDLMAF_04037","HEGDAGBG_04047","OOJFKJFD_04049","OMAFMDHC_04033","DHLDAANJ_02242","OGNHHAPP_03454","EPILMDOP_02362","OJOAJMDO_02615","FKHFPJNE_04139","JDGPEFCB_04216","EKBIAHBP_03963","GEOHAANM_04049","NNGIMOCL_03166","GBFFMACB_04227"
"hemE","","Uroporphyrinogen decarboxylase",581,581,1,1,1530,NA,NA,"",1064,1064,1064,"AAOAKINP_04581","FLNDLMAF_04623","HEGDAGBG_04616","OOJFKJFD_04565","OMAFMDHC_04551","DHLDAANJ_04193","OGNHHAPP_04470","EPILMDOP_04560","OJOAJMDO_04558","FKHFPJNE_04471","JDGPEFCB_04590","EKBIAHBP_04574","GEOHAANM_04552","NNGIMOCL_04537","GBFFMACB_04144"
"lpxL","","Lipid A biosynthesis lauroyltransferase",581,581,1,1,5505,NA,NA,"",920,920,920,"AAOAKINP_00021","FLNDLMAF_02671","HEGDAGBG_02717","OOJFKJFD_01996","OMAFMDHC_03044","DHLDAANJ_02084","OGNHHAPP_01872","EPILMDOP_00316","OJOAJMDO_03242","FKHFPJNE_00025","JDGPEFCB_03081","EKBIAHBP_00722","GEOHAANM_03011","NNGIMOCL_01313","GBFFMACB_02008"
"atpC","","ATP synthase epsilon chain",581,581,1,1,1386,NA,NA,"",419,419,419,"AAOAKINP_04362","FLNDLMAF_04294","HEGDAGBG_04173","OOJFKJFD_04219","OMAFMDHC_04283","DHLDAANJ_01542","OGNHHAPP_04119","EPILMDOP_03616","OJOAJMDO_03633","FKHFPJNE_04282","JDGPEFCB_04342","EKBIAHBP_04220","GEOHAANM_03619","NNGIMOCL_04201","GBFFMACB_03136"
"apaG","","Protein ApaG",581,581,1,1,2512,NA,NA,"",377,377,377,"AAOAKINP_03866","FLNDLMAF_03366","HEGDAGBG_03694","OOJFKJFD_03233","OMAFMDHC_03794","DHLDAANJ_02861","OGNHHAPP_03838","EPILMDOP_02868","OJOAJMDO_02376","FKHFPJNE_03455","JDGPEFCB_03863","EKBIAHBP_03838","GEOHAANM_02760","NNGIMOCL_03123","GBFFMACB_02455"
"casE","","CRISPR system Cascade subunit CasE",581,581,1,1,2975,NA,NA,"",650,650,650,"AAOAKINP_01162","FLNDLMAF_00248","HEGDAGBG_02136","OOJFKJFD_00906","OMAFMDHC_00421","DHLDAANJ_02566","OGNHHAPP_01309","EPILMDOP_01639","OJOAJMDO_02163","FKHFPJNE_02694","JDGPEFCB_00420","EKBIAHBP_00980","GEOHAANM_01837","NNGIMOCL_00248","GBFFMACB_02176"
"rluA","","Dual-specificity RNA pseudouridine synthase RluA",581,581,1,1,2506,NA,NA,"",659,659,659,"AAOAKINP_03860","FLNDLMAF_03360","HEGDAGBG_03688","OOJFKJFD_03227","OMAFMDHC_03788","DHLDAANJ_02867","OGNHHAPP_03844","EPILMDOP_02874","OJOAJMDO_02382","FKHFPJNE_03461","JDGPEFCB_03857","EKBIAHBP_03844","GEOHAANM_02766","NNGIMOCL_03117","GBFFMACB_02461"
"dam_2","","DNA adenine methylase",581,581,1,1,1644,NA,NA,"",836,836,836,"AAOAKINP_02668","FLNDLMAF_00825","HEGDAGBG_00774","OOJFKJFD_01248","OMAFMDHC_01639","DHLDAANJ_00006","OGNHHAPP_00888","EPILMDOP_01335","OJOAJMDO_00918","FKHFPJNE_01760","JDGPEFCB_02041","EKBIAHBP_02660","GEOHAANM_00650","NNGIMOCL_01573","GBFFMACB_01633"
"gmhA","","Phosphoheptose isomerase",581,581,1,1,819,NA,NA,"",578,578,578,"AAOAKINP_03122","FLNDLMAF_02086","HEGDAGBG_03091","OOJFKJFD_01913","OMAFMDHC_03127","DHLDAANJ_01370","OGNHHAPP_02957","EPILMDOP_00953","OJOAJMDO_03508","FKHFPJNE_03057","JDGPEFCB_02786","EKBIAHBP_03115","GEOHAANM_00793","NNGIMOCL_00727","GBFFMACB_04296"
"alaC","","Glutamate-pyruvate aminotransferase AlaC",581,581,1,1,3973,NA,NA,"",1238,1238,1238,"AAOAKINP_02910","FLNDLMAF_01520","HEGDAGBG_01832","OOJFKJFD_01490","OMAFMDHC_02172","DHLDAANJ_01003","OGNHHAPP_02371","EPILMDOP_00489","OJOAJMDO_01489","FKHFPJNE_02242","JDGPEFCB_02574","EKBIAHBP_02902","GEOHAANM_01192","NNGIMOCL_02068","GBFFMACB_01169"
"alx","","Putative membrane-bound redox modulator Alx",581,581,1,1,2674,NA,NA,"",968,968,968,"AAOAKINP_00866","FLNDLMAF_03860","HEGDAGBG_02508","OOJFKJFD_00610","OMAFMDHC_00124","DHLDAANJ_00411","OGNHHAPP_02021","EPILMDOP_03211","OJOAJMDO_00586","FKHFPJNE_03887","JDGPEFCB_00124","EKBIAHBP_01277","GEOHAANM_00124","NNGIMOCL_00544","GBFFMACB_00608"
"group_5398","","hypothetical protein",581,581,1,1,3045,NA,NA,"",515,515,515,"AAOAKINP_01373","FLNDLMAF_00459","HEGDAGBG_02347","OOJFKJFD_03030","OMAFMDHC_00632","DHLDAANJ_03637","OGNHHAPP_01520","EPILMDOP_01430","OJOAJMDO_03757","FKHFPJNE_02483","JDGPEFCB_00631","EKBIAHBP_00771","GEOHAANM_01626","NNGIMOCL_00037","GBFFMACB_03263"
"ydjH_1","","putative sugar kinase YdjH",581,581,1,1,5359,NA,NA,"",947,947,947,"AAOAKINP_00162","FLNDLMAF_02530","HEGDAGBG_02858","OOJFKJFD_02137","OMAFMDHC_02903","DHLDAANJ_03692","OGNHHAPP_01731","EPILMDOP_00175","OJOAJMDO_01767","FKHFPJNE_00166","JDGPEFCB_03222","EKBIAHBP_00581","GEOHAANM_01898","NNGIMOCL_01172","GBFFMACB_03481"
"greB","","Transcription elongation factor GreB",581,581,1,1,1665,NA,NA,"",473,473,473,"AAOAKINP_02649","FLNDLMAF_00806","HEGDAGBG_00755","OOJFKJFD_01229","OMAFMDHC_01658","DHLDAANJ_00025","OGNHHAPP_00907","EPILMDOP_01316","OJOAJMDO_00899","FKHFPJNE_01779","JDGPEFCB_02060","EKBIAHBP_02641","GEOHAANM_00631","NNGIMOCL_01554","GBFFMACB_01652"
"group_5401","","Ferredoxin--NADP reductase",581,581,1,1,4184,NA,NA,"",1961,1961,1961,"AAOAKINP_02832","FLNDLMAF_01442","HEGDAGBG_01910","OOJFKJFD_01412","OMAFMDHC_02094","DHLDAANJ_00925","OGNHHAPP_02449","EPILMDOP_00567","OJOAJMDO_01411","FKHFPJNE_02320","JDGPEFCB_02496","EKBIAHBP_02824","GEOHAANM_01270","NNGIMOCL_02146","GBFFMACB_01091"
"group_5402","","hypothetical protein",581,581,1,1,1490,NA,NA,"",1037,1037,1037,"AAOAKINP_02391","FLNDLMAF_00548","HEGDAGBG_00497","OOJFKJFD_00972","OMAFMDHC_01915","DHLDAANJ_01752","OGNHHAPP_01164","EPILMDOP_02181","OJOAJMDO_04171","FKHFPJNE_02036","JDGPEFCB_02317","EKBIAHBP_02383","GEOHAANM_03157","NNGIMOCL_03941","GBFFMACB_02639"
"rfbG","","CDP-glucose 4,6-dehydratase",581,581,1,1,5760,NA,NA,"",1079,1079,1079,"AAOAKINP_03542","FLNDLMAF_02809","HEGDAGBG_03428","OOJFKJFD_02733","OMAFMDHC_03547","DHLDAANJ_03440","OGNHHAPP_03165","EPILMDOP_02965","OJOAJMDO_03525","FKHFPJNE_03278","JDGPEFCB_03545","EKBIAHBP_03535","GEOHAANM_02573","NNGIMOCL_02864","GBFFMACB_04105"
"cbiN","","Cobalt transport protein CbiN",581,581,1,1,5681,NA,NA,"",281,281,281,"AAOAKINP_03613","FLNDLMAF_02738","HEGDAGBG_03499","OOJFKJFD_02804","OMAFMDHC_03618","DHLDAANJ_02390","OGNHHAPP_03236","EPILMDOP_03935","OJOAJMDO_03415","FKHFPJNE_03207","JDGPEFCB_03616","EKBIAHBP_03606","GEOHAANM_03508","NNGIMOCL_04092","GBFFMACB_04614"
"cobD_1","","Cobalamin biosynthesis protein CobD",581,581,1,1,5694,NA,NA,"",959,959,959,"AAOAKINP_03601","FLNDLMAF_02750","HEGDAGBG_03487","OOJFKJFD_02792","OMAFMDHC_03606","DHLDAANJ_02402","OGNHHAPP_03224","EPILMDOP_03923","OJOAJMDO_03403","FKHFPJNE_03219","JDGPEFCB_03604","EKBIAHBP_03594","GEOHAANM_03496","NNGIMOCL_04104","GBFFMACB_03878"
"group_5406","","hypothetical protein",581,581,1,1,4655,NA,NA,"",239,239,239,"AAOAKINP_01832","FLNDLMAF_04120","HEGDAGBG_01616","OOJFKJFD_00423","OMAFMDHC_00731","DHLDAANJ_02678","OGNHHAPP_03747","EPILMDOP_02651","OJOAJMDO_03071","FKHFPJNE_00808","JDGPEFCB_01090","EKBIAHBP_01464","GEOHAANM_02924","NNGIMOCL_01910","GBFFMACB_02286"
"yqcC","","putative protein YqcC",581,581,1,1,2940,NA,NA,"",329,329,329,"AAOAKINP_01128","FLNDLMAF_00214","HEGDAGBG_02102","OOJFKJFD_00872","OMAFMDHC_00387","DHLDAANJ_01169","OGNHHAPP_01275","EPILMDOP_02046","OJOAJMDO_03332","FKHFPJNE_02728","JDGPEFCB_00386","EKBIAHBP_01014","GEOHAANM_00386","NNGIMOCL_00282","GBFFMACB_02142"
"lptB_1","","Lipopolysaccharide export system ATP-binding protein LptB",581,581,1,1,2578,NA,NA,"",725,725,725,"AAOAKINP_00775","FLNDLMAF_03769","HEGDAGBG_02417","OOJFKJFD_00519","OMAFMDHC_00033","DHLDAANJ_00502","OGNHHAPP_01929","EPILMDOP_03120","OJOAJMDO_00677","FKHFPJNE_03978","JDGPEFCB_00033","EKBIAHBP_01368","GEOHAANM_00033","NNGIMOCL_00635","GBFFMACB_00699"
"lspA","","Lipoprotein signal peptidase",581,581,1,1,14,NA,NA,"",500,500,500,"AAOAKINP_01902","FLNDLMAF_03728","HEGDAGBG_00437","OOJFKJFD_03871","OMAFMDHC_01164","DHLDAANJ_03734","OGNHHAPP_00437","EPILMDOP_04411","OJOAJMDO_02777","FKHFPJNE_01239","JDGPEFCB_01160","EKBIAHBP_02323","GEOHAANM_01318","NNGIMOCL_02697","GBFFMACB_03592"
"ubiX","","Flavin prenyltransferase UbiX",581,581,1,1,3913,NA,NA,"",569,569,569,"AAOAKINP_02963","FLNDLMAF_01573","HEGDAGBG_01779","OOJFKJFD_01543","OMAFMDHC_02225","DHLDAANJ_01964","OGNHHAPP_02318","EPILMDOP_00437","OJOAJMDO_02977","FKHFPJNE_02189","JDGPEFCB_02627","EKBIAHBP_02955","GEOHAANM_01139","NNGIMOCL_02015","GBFFMACB_01822"
"group_5411","","hypothetical protein",581,581,1,1,3648,NA,NA,"",749,749,749,"AAOAKINP_04554","FLNDLMAF_04454","HEGDAGBG_04495","OOJFKJFD_04477","OMAFMDHC_04457","DHLDAANJ_03009","OGNHHAPP_04426","EPILMDOP_02549","OJOAJMDO_04093","FKHFPJNE_04444","JDGPEFCB_04536","EKBIAHBP_04520","GEOHAANM_04233","NNGIMOCL_03704","GBFFMACB_03679"
"dadX","","Alanine racemase, catabolic",581,581,1,1,4794,NA,NA,"",1070,1070,1070,"AAOAKINP_00673","FLNDLMAF_00979","HEGDAGBG_01195","OOJFKJFD_03331","OMAFMDHC_02395","DHLDAANJ_02600","OGNHHAPP_00514","EPILMDOP_03874","OJOAJMDO_00053","FKHFPJNE_00677","JDGPEFCB_01935","EKBIAHBP_00070","GEOHAANM_03875","NNGIMOCL_03510","GBFFMACB_01527"
"ppa","","Inorganic pyrophosphatase",581,581,1,1,6064,NA,NA,"",530,530,530,"AAOAKINP_02129","FLNDLMAF_03167","HEGDAGBG_00210","OOJFKJFD_02375","OMAFMDHC_01392","DHLDAANJ_00574","OGNHHAPP_00210","EPILMDOP_02473","OJOAJMDO_01567","FKHFPJNE_01467","JDGPEFCB_01387","EKBIAHBP_02097","GEOHAANM_01545","NNGIMOCL_02481","GBFFMACB_01232"
"group_5414","","hypothetical protein",581,581,1,1,1946,NA,NA,"",629,629,629,"AAOAKINP_04515","FLNDLMAF_04432","HEGDAGBG_04517","OOJFKJFD_04438","OMAFMDHC_04435","DHLDAANJ_02875","OGNHHAPP_04372","EPILMDOP_04267","OJOAJMDO_04221","FKHFPJNE_04405","JDGPEFCB_04514","EKBIAHBP_04498","GEOHAANM_04328","NNGIMOCL_04428","GBFFMACB_03659"
"citE_2","","Citrate lyase subunit beta",581,581,1,1,377,NA,NA,"",908,908,908,"AAOAKINP_03959","FLNDLMAF_03459","HEGDAGBG_03854","OOJFKJFD_03732","OMAFMDHC_03887","DHLDAANJ_01086","OGNHHAPP_03375","EPILMDOP_02758","OJOAJMDO_02688","FKHFPJNE_03753","JDGPEFCB_04023","EKBIAHBP_03745","GEOHAANM_02131","NNGIMOCL_03359","GBFFMACB_00132"
"nirD","","Nitrite reductase (NADH) small subunit",581,581,1,1,1635,NA,NA,"",326,326,326,"AAOAKINP_02676","FLNDLMAF_00833","HEGDAGBG_00782","OOJFKJFD_01256","OMAFMDHC_01631","DHLDAANJ_03624","OGNHHAPP_00880","EPILMDOP_01343","OJOAJMDO_00926","FKHFPJNE_01752","JDGPEFCB_02033","EKBIAHBP_02668","GEOHAANM_00658","NNGIMOCL_01581","GBFFMACB_01625"
"fliE","","Flagellar hook-basal body complex protein FliE",581,581,1,1,4627,NA,NA,"",314,314,314,"AAOAKINP_01803","FLNDLMAF_04091","HEGDAGBG_01587","OOJFKJFD_00394","OMAFMDHC_00763","DHLDAANJ_02707","OGNHHAPP_03776","EPILMDOP_02680","OJOAJMDO_03042","FKHFPJNE_00837","JDGPEFCB_01061","EKBIAHBP_01493","GEOHAANM_02895","NNGIMOCL_01881","GBFFMACB_02257"
"fumD","","Fumarase D",581,581,1,1,5252,NA,NA,"",212,212,212,"AAOAKINP_00260","FLNDLMAF_02432","HEGDAGBG_02956","OOJFKJFD_02235","OMAFMDHC_02805","DHLDAANJ_00325","OGNHHAPP_01633","EPILMDOP_00077","OJOAJMDO_01866","FKHFPJNE_00264","JDGPEFCB_03320","EKBIAHBP_00483","GEOHAANM_01996","NNGIMOCL_01074","GBFFMACB_02819"
"group_5419","","hypothetical protein",581,581,1,1,2746,NA,NA,"",410,410,410,"AAOAKINP_00936","FLNDLMAF_00022","HEGDAGBG_02578","OOJFKJFD_00680","OMAFMDHC_00194","DHLDAANJ_03283","OGNHHAPP_02091","EPILMDOP_04141","OJOAJMDO_00516","FKHFPJNE_03817","JDGPEFCB_00194","EKBIAHBP_01207","GEOHAANM_00194","NNGIMOCL_00474","GBFFMACB_00538"
"group_5420","","hypothetical protein",581,581,1,1,3090,NA,NA,"",632,632,632,"AAOAKINP_01337","FLNDLMAF_00423","HEGDAGBG_02311","OOJFKJFD_02994","OMAFMDHC_00596","DHLDAANJ_00765","OGNHHAPP_01484","EPILMDOP_01466","OJOAJMDO_02339","FKHFPJNE_02519","JDGPEFCB_00595","EKBIAHBP_00807","GEOHAANM_01662","NNGIMOCL_00073","GBFFMACB_04702"
"lplT","","Lysophospholipid transporter LplT",581,581,1,1,2898,NA,NA,"",1202,1202,1202,"AAOAKINP_01084","FLNDLMAF_00170","HEGDAGBG_02058","OOJFKJFD_00828","OMAFMDHC_00342","DHLDAANJ_01125","OGNHHAPP_01231","EPILMDOP_02002","OJOAJMDO_03288","FKHFPJNE_02772","JDGPEFCB_00342","EKBIAHBP_01059","GEOHAANM_00342","NNGIMOCL_00326","GBFFMACB_02098"
"group_5422","","hypothetical protein",581,581,1,1,3040,NA,NA,"",1100,1100,1100,"AAOAKINP_01377","FLNDLMAF_00463","HEGDAGBG_02351","OOJFKJFD_03034","OMAFMDHC_00636","DHLDAANJ_03633","OGNHHAPP_01524","EPILMDOP_01426","OJOAJMDO_03761","FKHFPJNE_02479","JDGPEFCB_00635","EKBIAHBP_00767","GEOHAANM_01622","NNGIMOCL_00033","GBFFMACB_03259"
"group_5423","","hypothetical protein",581,581,1,1,4534,NA,NA,"",362,362,362,"AAOAKINP_01718","FLNDLMAF_01982","HEGDAGBG_01502","OOJFKJFD_00309","OMAFMDHC_00848","DHLDAANJ_01678","OGNHHAPP_02533","EPILMDOP_00845","OJOAJMDO_01240","FKHFPJNE_00922","JDGPEFCB_00976","EKBIAHBP_01578","GEOHAANM_04193","NNGIMOCL_01796","GBFFMACB_03775"
"group_5424","","hypothetical protein",581,581,1,1,3066,NA,NA,"",215,215,215,"AAOAKINP_01359","FLNDLMAF_00445","HEGDAGBG_02333","OOJFKJFD_03016","OMAFMDHC_00618","DHLDAANJ_00787","OGNHHAPP_01506","EPILMDOP_01444","OJOAJMDO_03743","FKHFPJNE_02497","JDGPEFCB_00617","EKBIAHBP_00785","GEOHAANM_01640","NNGIMOCL_00051","GBFFMACB_03277"
"zraP","","Zinc resistance-associated protein",581,581,1,1,1525,NA,NA,"",455,455,455,"AAOAKINP_04576","FLNDLMAF_04618","HEGDAGBG_04611","OOJFKJFD_04570","OMAFMDHC_04556","DHLDAANJ_04188","OGNHHAPP_04465","EPILMDOP_04555","OJOAJMDO_04563","FKHFPJNE_04466","JDGPEFCB_04595","EKBIAHBP_04579","GEOHAANM_04547","NNGIMOCL_04532","GBFFMACB_04139"
"trpR","","Trp operon repressor",581,581,1,1,80,NA,NA,"",326,326,326,"AAOAKINP_01968","FLNDLMAF_03662","HEGDAGBG_00371","OOJFKJFD_03937","OMAFMDHC_01230","DHLDAANJ_02039","OGNHHAPP_00371","EPILMDOP_03277","OJOAJMDO_02843","FKHFPJNE_01305","JDGPEFCB_01226","EKBIAHBP_02257","GEOHAANM_01384","NNGIMOCL_02763","GBFFMACB_03973"
"yjhH","","putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH",581,581,1,1,1695,NA,NA,"",905,905,905,"AAOAKINP_02620","FLNDLMAF_00777","HEGDAGBG_00726","OOJFKJFD_01200","OMAFMDHC_01687","DHLDAANJ_00054","OGNHHAPP_00936","EPILMDOP_01287","OJOAJMDO_00870","FKHFPJNE_01808","JDGPEFCB_02089","EKBIAHBP_02612","GEOHAANM_00602","NNGIMOCL_01525","GBFFMACB_01681"
"lepB","","Signal peptidase I",581,581,1,1,4073,NA,NA,"",974,974,974,"AAOAKINP_02726","FLNDLMAF_01336","HEGDAGBG_02016","OOJFKJFD_01306","OMAFMDHC_01988","DHLDAANJ_03063","OGNHHAPP_03923","EPILMDOP_03451","OJOAJMDO_01305","FKHFPJNE_02426","JDGPEFCB_02390","EKBIAHBP_02718","GEOHAANM_03218","NNGIMOCL_03822","GBFFMACB_00985"
"group_5429","","hypothetical protein",581,581,1,1,763,NA,NA,"",131,131,131,"AAOAKINP_03175","FLNDLMAF_02139","HEGDAGBG_03144","OOJFKJFD_01860","OMAFMDHC_03180","DHLDAANJ_01423","OGNHHAPP_02904","EPILMDOP_01006","OJOAJMDO_03455","FKHFPJNE_03004","JDGPEFCB_02839","EKBIAHBP_03168","GEOHAANM_00846","NNGIMOCL_00780","GBFFMACB_00455"
"ybgI","","GTP cyclohydrolase 1 type 2 ",581,581,1,1,291,NA,NA,"",743,743,743,"AAOAKINP_04049","FLNDLMAF_03549","HEGDAGBG_03764","OOJFKJFD_03822","OMAFMDHC_03977","DHLDAANJ_03653","OGNHHAPP_03285","EPILMDOP_04187","OJOAJMDO_04414","FKHFPJNE_03663","JDGPEFCB_03933","EKBIAHBP_03655","GEOHAANM_02221","NNGIMOCL_04382","GBFFMACB_00042"
"ulaE_1","","L-ribulose-5-phosphate 3-epimerase UlaE",581,581,1,1,6034,NA,NA,"",854,854,854,"AAOAKINP_02157","FLNDLMAF_03139","HEGDAGBG_00182","OOJFKJFD_02403","OMAFMDHC_01420","DHLDAANJ_00602","OGNHHAPP_00182","EPILMDOP_02445","OJOAJMDO_01595","FKHFPJNE_01495","JDGPEFCB_01415","EKBIAHBP_02068","GEOHAANM_01573","NNGIMOCL_02509","GBFFMACB_01260"
"nadA","","Quinolinate synthase A",581,581,1,1,264,NA,NA,"",1043,1043,1043,"AAOAKINP_04080","FLNDLMAF_04603","HEGDAGBG_03733","OOJFKJFD_03853","OMAFMDHC_04008","DHLDAANJ_04252","OGNHHAPP_03254","EPILMDOP_04218","OJOAJMDO_04537","FKHFPJNE_03632","JDGPEFCB_03902","EKBIAHBP_03624","GEOHAANM_02252","NNGIMOCL_04413","GBFFMACB_00011"
"rpsP","","30S ribosomal protein S16",581,581,1,1,3021,NA,NA,"",248,248,248,"AAOAKINP_01395","FLNDLMAF_00481","HEGDAGBG_02369","OOJFKJFD_03052","OMAFMDHC_00654","DHLDAANJ_04033","OGNHHAPP_01542","EPILMDOP_04501","OJOAJMDO_03779","FKHFPJNE_02461","JDGPEFCB_00653","EKBIAHBP_00749","GEOHAANM_01604","NNGIMOCL_00015","GBFFMACB_03241"
"ypjD","","Inner membrane protein YpjD",581,581,1,1,3023,NA,NA,"",791,791,791,"AAOAKINP_01393","FLNDLMAF_00479","HEGDAGBG_02367","OOJFKJFD_03050","OMAFMDHC_00652","DHLDAANJ_04031","OGNHHAPP_01540","EPILMDOP_04499","OJOAJMDO_03777","FKHFPJNE_02463","JDGPEFCB_00651","EKBIAHBP_00751","GEOHAANM_01606","NNGIMOCL_00017","GBFFMACB_03243"
"lldD","","L-lactate dehydrogenase",581,581,1,1,1869,NA,NA,"",1190,1190,1190,"AAOAKINP_02455","FLNDLMAF_00612","HEGDAGBG_00561","OOJFKJFD_01036","OMAFMDHC_01851","DHLDAANJ_00218","OGNHHAPP_01100","EPILMDOP_02117","OJOAJMDO_04343","FKHFPJNE_01972","JDGPEFCB_02253","EKBIAHBP_02447","GEOHAANM_00437","NNGIMOCL_01361","GBFFMACB_02575"
"ulaR","","HTH-type transcriptional regulator UlaR",581,581,1,1,6027,NA,NA,"",755,755,755,"AAOAKINP_02163","FLNDLMAF_03133","HEGDAGBG_00176","OOJFKJFD_02409","OMAFMDHC_01426","DHLDAANJ_00608","OGNHHAPP_00176","EPILMDOP_02439","OJOAJMDO_01601","FKHFPJNE_01501","JDGPEFCB_01421","EKBIAHBP_02062","GEOHAANM_01579","NNGIMOCL_02515","GBFFMACB_01266"
"lsrC","","Autoinducer 2 import system permease protein LsrC",581,581,1,1,2295,NA,NA,"",1043,1043,1043,"AAOAKINP_04150","FLNDLMAF_03968","HEGDAGBG_03978","OOJFKJFD_04118","OMAFMDHC_04102","DHLDAANJ_02756","OGNHHAPP_03523","EPILMDOP_02293","OJOAJMDO_02546","FKHFPJNE_04070","JDGPEFCB_04147","EKBIAHBP_04032","GEOHAANM_03383","NNGIMOCL_03235","GBFFMACB_02408"
"yidZ_2","","HTH-type transcriptional regulator YidZ",581,581,1,1,1404,NA,NA,"",959,959,959,"AAOAKINP_04345","FLNDLMAF_04311","HEGDAGBG_04190","OOJFKJFD_04202","OMAFMDHC_04266","DHLDAANJ_01559","OGNHHAPP_04102","EPILMDOP_03633","OJOAJMDO_03616","FKHFPJNE_04265","JDGPEFCB_04359","EKBIAHBP_04203","GEOHAANM_03636","NNGIMOCL_04184","GBFFMACB_03119"
