"sra_accession"	"location"	"HHS_region"	"date"	"agency_submitter"	"clin_env"	"sample_type_std"	"host_assoc"	"bioproject"	"biosample"	"year_uploaded"	"ST"	"source"
"555"	"SRR14200992"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18687470"	2021	"10"	"humall"
"556"	"SRR1422648"	"USA:MN"	"5"	2002	"CFSAN"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA215333"	"SAMN02699470"	2014	"10"	"bovclin"
"557"	"SRR14240258"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Urine"	"human"	"PRJNA230403"	"SAMN18743591"	2021	"10"	"humall"
"558"	"SRR14245655"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18750856"	2021	"10"	"humall"
"559"	"SRR14245656"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18750867"	2021	"10"	"humall"
"560"	"SRR14270321"	"USA"	"3"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18794828"	2021	"10"	"humall"
"561"	"SRR14272153"	"USA:MI"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA675624"	"SAMN18795803"	2021	"10"	"bovclin"
"562"	"SRR14272154"	"USA:MI"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA675624"	"SAMN18795805"	2021	"10"	"bovclin"
"563"	"SRR14272156"	"USA:MI"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA675624"	"SAMN18795802"	2021	"10"	"bovclin"
"564"	"SRR14272159"	"USA:MI"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA675624"	"SAMN18795808"	2021	"10"	"bovclin"
"565"	"SRR14276910"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18803134"	2021	"10"	"humall"
"566"	"SRR14286873"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18811806"	2021	"10"	"humall"
"567"	"SRR14300124"	"USA"	"6"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18831245"	2021	"10"	"humall"
"568"	"SRR14300311"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18834832"	2021	"10"	"humall"
"569"	"SRR14306311"	"USA:CA"	"9"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN18836823"	2021	"10"	"bovenv"
"570"	"SRR14308533"	"USA"	"3"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18839288"	2021	"10"	"humall"
"571"	"SRR14308540"	"USA"	"3"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18839292"	2021	"10"	"humall"
"572"	"SRR14310547"	"USA"	"2"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18848976"	2021	"10"	"humall"
"573"	"SRR14323278"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN18870540"	2021	"10"	"humall"
"574"	"SRR14326413"	"USA:CA"	"9"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN18872395"	2021	"10"	"bovenv"
"575"	"SRR14326414"	"USA:CA"	"9"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN18872398"	2021	"10"	"bovenv"
"576"	"SRR14333435"	"USA"	"6"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18879979"	2021	"10"	"humall"
"577"	"SRR14334186"	"USA:TX"	"6"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN18880459"	2021	"10"	"bovenv"
"578"	"SRR14334187"	"USA:TX"	"6"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN18880460"	2021	"10"	"bovenv"
"579"	"SRR14334188"	"USA:TX"	"6"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN18880461"	2021	"10"	"bovenv"
"580"	"SRR14343525"	"USA"	"4"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18905906"	2021	"10"	"humall"
"581"	"SRR14344206"	"USA:TX"	"6"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN18912773"	2021	"10"	"bovenv"
"582"	"SRR14345228"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN18907418"	2021	"10"	"humall"
"583"	"SRR14420542"	"USA"	"6"	2022	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19011760"	2021	"10"	"humall"
"584"	"SRR14435530"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19026075"	2021	"10"	"humall"
"585"	"SRR14439268"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19026534"	2021	"10"	"humall"
"586"	"SRR14498227"	"USA"	"4"	2021	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN19108921"	2021	"7796"	"humall"
"587"	"SRR14511768"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19108865"	2021	"10"	"humall"
"588"	"SRR14525658"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19160413"	2021	"10"	"humall"
"589"	"SRR14547574"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19190421"	2021	"10"	"humall"
"590"	"SRR14552116"	"USA:GA"	"4"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN19195817"	2021	"10"	"bovenv"
"591"	"SRR14554336"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19222192"	2021	"10"	"humall"
"592"	"SRR14565486"	"USA:MI"	"5"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN19230001"	2021	"10"	"bovenv"
"593"	"SRR14573511"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19235163"	2021	"10"	"humall"
"594"	"SRR14582107"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19245931"	2021	"10"	"humall"
"595"	"SRR1461785"	"USA:WI"	"5"	2002	"CFSAN"	"clinical/host-associated"	"Spleen"	"bovine"	"PRJNA215333"	"SAMN02699514"	2014	"10"	"bovclin"
"596"	"SRR14634656"	"USA"	"Not Specified"	2015	"EDLB-CDC"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA543815"	"SAMN19316940"	2021	"10"	"humall"
"597"	"SRR14634883"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19319780"	2021	"10"	"humall"
"598"	"SRR14664065"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19364932"	2021	"10"	"humall"
"599"	"SRR14705830"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19490045"	2021	"10"	"humall"
"600"	"SRR14707920"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19490647"	2021	"10"	"humall"
"601"	"SRR14711885"	"USA"	"3"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19494319"	2021	"10"	"humall"
"602"	"SRR14712573"	"USA"	"2"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19514106"	2021	"10"	"humall"
"603"	"SRR14718963"	"USA"	"6"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19515344"	2021	"10"	"humall"
"604"	"SRR14727711"	"USA:CO"	"8"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN19549425"	2021	"10"	"bovenv"
"605"	"SRR14736578"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19572875"	2021	"10"	"humall"
"606"	"SRR14738801"	"USA"	"2"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19573031"	2021	"10"	"humall"
"746"	"SRR14767694"	"USA:OH"	"5"	2020	"VET-LIRN-SD"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA316457"	"SAMN19641914"	2021	"10"	"bovclin"
"747"	"SRR14767695"	"USA:MI"	"5"	2020	"VET-LIRN-SD"	"clinical/host-associated"	"Intestine"	"bovine"	"PRJNA316457"	"SAMN19641913"	2021	"10"	"bovclin"
"748"	"SRR14767703"	"USA:OH"	"5"	2020	"VET-LIRN-SD"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA316457"	"SAMN19641907"	2021	"-"	"bovclin"
"749"	"SRR14792117"	"USA:MN"	"5"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN19672987"	2021	"10"	"bovenv"
"750"	"SRR14807104"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19694006"	2021	"10"	"humall"
"751"	"SRR14821643"	"USA"	"2"	2021	"EDLB-CDC"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19713264"	2021	"10"	"humall"
"752"	"SRR14832437"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19731424"	2021	"10"	"humall"
"753"	"SRR14872306"	"USA"	"3"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19796976"	2021	"10"	"humall"
"754"	"SRR14875557"	"USA"	"6"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19801331"	2021	"10"	"humall"
"755"	"SRR14883317"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19817411"	2021	"10"	"humall"
"756"	"SRR14883374"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19817444"	2021	"10"	"humall"
"757"	"SRR14916433"	"USA:CO"	"8"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN19960798"	2021	"10"	"bovenv"
"758"	"SRR14934385"	"USA"	"1"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19918451"	2021	"10"	"humall"
"759"	"SRR14965943"	"USA"	"7"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19926112"	2021	"10"	"humall"
"760"	"SRR14970081"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19924447"	2021	"10"	"humall"
"761"	"SRR14977889"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19924441"	2021	"10"	"humall"
"762"	"SRR14995692"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19945799"	2021	"10"	"humall"
"763"	"SRR14996301"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19954446"	2021	"10"	"humall"
"764"	"SRR14996303"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN19954465"	2021	"10"	"humall"
"765"	"SRR1501457"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA186035"	"SAMN02849793"	2014	"10"	"bovclin"
"766"	"SRR1501493"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA186035"	"SAMN02849799"	2014	"10"	"bovclin"
"767"	"SRR1501496"	"USA:ID"	"10"	2007	"CFSAN"	"env/food/other"	"Bovine"	"bovine"	"PRJNA186035"	"SAMN02849758"	2014	"10"	"bovenv"
"768"	"SRR1501621"	"USA:ID"	"10"	2007	"CFSAN"	"env/food/other"	"Not Specified"	"bovine"	"PRJNA186035"	"SAMN02849759"	2014	"10"	"bovenv"
"769"	"SRR1501633"	"USA:ID"	"10"	2007	"CFSAN"	"env/food/other"	"Not Specified"	"bovine"	"PRJNA186035"	"SAMN02849761"	2014	"10"	"bovenv"
"770"	"SRR1501663"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA186035"	"SAMN02849825"	2014	"10"	"bovclin"
"771"	"SRR1501666"	"USA:WA"	"10"	2007	"CFSAN"	"env/food/other"	"Not Specified"	"bovine"	"PRJNA186035"	"SAMN02849764"	2014	"10"	"bovenv"
"772"	"SRR1501680"	"USA:ID"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA186035"	"SAMN02849791"	2014	"10"	"bovclin"
"773"	"SRR1501685"	"USA:ID"	"10"	2007	"CFSAN"	"env/food/other"	"Not Specified"	"bovine"	"PRJNA186035"	"SAMN02849771"	2014	"10"	"bovenv"
"774"	"SRR15027079"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20006428"	2021	"10"	"humall"
"775"	"SRR15031017"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20013934"	2021	"10"	"humall"
"776"	"SRR15048033"	"USA:TX"	"6"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20066121"	2021	"10"	"bovenv"
"777"	"SRR15050559"	"USA"	"2"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20080876"	2021	"10"	"humall"
"778"	"SRR15050579"	"USA"	"2"	2021	"PULSENET"	"clinical/host-associated"	"Feces"	"human"	"PRJNA230403"	"SAMN20080891"	2021	"10"	"humall"
"779"	"SRR15050788"	"USA:KS"	"7"	2021	"LOUISIANA ANIMAL DISEASE DIAGNOSTIC LABORATORY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA324575"	"SAMN20079288"	2021	"10"	"bovclin"
"780"	"SRR15064717"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20109501"	2021	"10"	"humall"
"781"	"SRR15093396"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20156363"	2021	"10"	"humall"
"782"	"SRR15096241"	"USA:GA"	"4"	2020	"VET-LIRN-NY"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA324570"	"SAMN20163946"	2021	"10"	"bovclin"
"783"	"SRR15096242"	"USA:GA"	"4"	2020	"VET-LIRN-NY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA324570"	"SAMN20163945"	2021	"10"	"bovclin"
"784"	"SRR15108082"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20177189"	2021	"10"	"humall"
"785"	"SRR15108090"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20177199"	2021	"10"	"humall"
"786"	"SRR1511527"	"USA:OR"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA186035"	"SAMN02849893"	2014	"10"	"bovclin"
"787"	"SRR1511542"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Intestine"	"bovine"	"PRJNA186035"	"SAMN02849914"	2014	"10"	"bovclin"
"788"	"SRR1511548"	"USA:UT"	"8"	2007	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA186035"	"SAMN02849876"	2014	"10"	"bovclin"
"789"	"SRR1511549"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA186035"	"SAMN02849883"	2014	"10"	"bovclin"
"790"	"SRR1511568"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Blood"	"bovine"	"PRJNA186035"	"SAMN02849867"	2014	"10"	"bovclin"
"791"	"SRR1511581"	"USA:ID"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA186035"	"SAMN02849887"	2014	"10"	"bovclin"
"792"	"SRR15128288"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20203547"	2021	"10"	"humall"
"793"	"SRR15139295"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20218606"	2021	"10"	"humall"
"794"	"SRR15139300"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20218613"	2021	"10"	"humall"
"795"	"SRR15146530"	"USA:WA"	"10"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA316452"	"SAMN20219159"	2021	"10"	"bovclin"
"796"	"SRR15146531"	"USA:OR"	"10"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA316452"	"SAMN20219158"	2021	"10"	"bovclin"
"797"	"SRR15146532"	"USA:WA"	"10"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA316452"	"SAMN20219157"	2021	"10"	"bovclin"
"798"	"SRR15146533"	"USA:OR"	"10"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA316452"	"SAMN20219156"	2021	"10"	"bovclin"
"799"	"SRR15146537"	"USA:UT"	"8"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA316452"	"SAMN20219153"	2021	"10"	"bovclin"
"800"	"SRR15146542"	"USA:PA"	"3"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA316452"	"SAMN20219148"	2021	"10"	"bovclin"
"801"	"SRR15146546"	"USA:PA"	"3"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA316452"	"SAMN20219144"	2021	"10"	"bovclin"
"802"	"SRR15146548"	"USA:PA"	"3"	2020	"VET-LIRN-OH"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA316452"	"SAMN20219143"	2021	"10"	"bovclin"
"803"	"SRR1514770"	"USA:OR"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA186035"	"SAMN02849916"	2014	"-"	"bovclin"
"804"	"SRR1515020"	"USA:WA"	"10"	2009	"CFSAN"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA186035"	"SAMN02849940"	2014	"10"	"bovclin"
"805"	"SRR1515023"	"USA:ID"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA186035"	"SAMN02849943"	2014	"10"	"bovclin"
"806"	"SRR1515953"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA186035"	"SAMN02849968"	2014	"10"	"bovclin"
"807"	"SRR1515961"	"USA:WA"	"10"	2009	"CFSAN"	"env/food/other"	"Environmental"	"bovine"	"PRJNA186035"	"SAMN02849953"	2014	"10"	"bovenv"
"808"	"SRR1515962"	"USA:WA"	"10"	2007	"CFSAN"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA186035"	"SAMN02849954"	2014	"10"	"bovclin"
"809"	"SRR15178486"	"USA"	"1"	2021	"EDLB-CDC"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20286224"	2021	"10"	"humall"
"810"	"SRR15178488"	"USA"	"1"	2021	"EDLB-CDC"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20286227"	2021	"10"	"humall"
"811"	"SRR15201973"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20330947"	2021	"10"	"humall"
"812"	"SRR15202857"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20332782"	2021	"10"	"humall"
"813"	"SRR15204295"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20335813"	2021	"10"	"humall"
"814"	"SRR15217993"	"USA:KY"	"4"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20351616"	2021	"10"	"bovenv"
"815"	"SRR15238030"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20370544"	2021	"10"	"humall"
"816"	"SRR15248551"	"USA:CA"	"9"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20398912"	2021	"10"	"bovenv"
"817"	"SRR15307652"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20505780"	2021	"10"	"humall"
"818"	"SRR15307660"	"USA"	"2"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20505681"	2021	"10"	"humall"
"819"	"SRR15326500"	"USA"	"6"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20521820"	2021	"10"	"humall"
"820"	"SRR15327792"	"USA"	"4"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20521993"	2021	"10"	"humall"
"821"	"SRR15328418"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20523542"	2021	"10"	"humall"
"822"	"SRR15342164"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20558638"	2021	"10"	"humall"
"823"	"SRR15356087"	"USA"	"8"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20593695"	2021	"10"	"humall"
"824"	"SRR15357266"	"USA:FL"	"4"	2020	"VET-LIRN-NY"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA324570"	"SAMN20585111"	2021	"10"	"bovclin"
"825"	"SRR15357283"	"USA:FL"	"4"	2020	"VET-LIRN-NY"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA324570"	"SAMN20585114"	2021	"10"	"bovclin"
"826"	"SRR15361698"	"USA"	"5"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20603114"	2021	"10"	"humall"
"827"	"SRR15361793"	"USA"	"7"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20522427"	2021	"-"	"humall"
"828"	"SRR15373531"	"USA"	"4"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20669807"	2021	"10"	"humall"
"829"	"SRR15406747"	"USA"	"4"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20698065"	2021	"10"	"humall"
"830"	"SRR15406749"	"USA"	"4"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20698059"	2021	"10"	"humall"
"831"	"SRR15419037"	"USA"	"9"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20716570"	2021	"10"	"humall"
"832"	"SRR15465832"	"USA:WA"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20834770"	2021	"10"	"bovenv"
"833"	"SRR15466004"	"USA"	"6"	2021	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN20835051"	2021	"10"	"humall"
"834"	"SRR1548423"	"USA:PA"	"3"	2012	"CFSAN"	"env/food/other"	"Beef"	"bovine"	"PRJNA186035"	"SAMN02645790"	2014	"10"	"bovenv"
"835"	"SRR15539430"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887895"	2021	"10"	"bovenv"
"836"	"SRR15539446"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887883"	2021	"10"	"bovenv"
"837"	"SRR15539451"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887890"	2021	"10"	"bovenv"
"838"	"SRR15539457"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887912"	2021	"10"	"bovenv"
"839"	"SRR15539462"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887892"	2021	"10"	"bovenv"
"840"	"SRR15539644"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887885"	2021	"10"	"bovenv"
"841"	"SRR15539651"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887887"	2021	"10"	"bovenv"
"842"	"SRR15539655"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887899"	2021	"10"	"bovenv"
"843"	"SRR15539657"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887894"	2021	"10"	"bovenv"
"844"	"SRR15539663"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887917"	2021	"10"	"bovenv"
"845"	"SRR15539666"	"USA:ID"	"10"	2021	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN20887914"	2021	"10"	"bovenv"
