Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR1302845	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1302845_seqsero	SRR1302845_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13107635	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13107635_seqsero	SRR13107635_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13107636	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13107636_seqsero	SRR13107636_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13111143	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13111143_seqsero	SRR13111143_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13111144	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13111144_seqsero	SRR13111144_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13111146	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13111146_seqsero	SRR13111146_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13111172	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13111172_seqsero	SRR13111172_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13111176	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13111176_seqsero	SRR13111176_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13111177	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13111177_seqsero	SRR13111177_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13112132	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13112132_seqsero	SRR13112132_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13112133	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13112133_seqsero	SRR13112133_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13112134	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13112134_seqsero	SRR13112134_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13112135	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13112135_seqsero	SRR13112135_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13112138	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13112138_seqsero	SRR13112138_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13112139	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13112139_seqsero	SRR13112139_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13112143	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13112143_seqsero	SRR13112143_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13114563	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13114563_seqsero	SRR13114563_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13132352	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13132352_seqsero	SRR13132352_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13142427	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13142427_seqsero	SRR13142427_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13187405	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13187405_seqsero	SRR13187405_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13187407	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13187407_seqsero	SRR13187407_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13187408	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13187408_seqsero	SRR13187408_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13193898	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13193898_seqsero	SRR13193898_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13208408	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13208408_seqsero	SRR13208408_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13245352	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13245352_seqsero	SRR13245352_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13246050	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13246050_seqsero	SRR13246050_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13246829	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13246829_seqsero	SRR13246829_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13246850	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13246850_seqsero	SRR13246850_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13246906	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13246906_seqsero	SRR13246906_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13271374	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13271374_seqsero	SRR13271374_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13277420	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13277420_seqsero	SRR13277420_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13282187	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13282187_seqsero	SRR13282187_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13282232	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13282232_seqsero	SRR13282232_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13284906	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13284906_seqsero	SRR13284906_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13292757	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13292757_seqsero	SRR13292757_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13292778	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13292778_seqsero	SRR13292778_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13295007	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13295007_seqsero	SRR13295007_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13295282	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13295282_seqsero	SRR13295282_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13297812	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13297812_seqsero	SRR13297812_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13320523	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13320523_seqsero	SRR13320523_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13332084	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332084_seqsero	SRR13332084_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13332085	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332085_seqsero	SRR13332085_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13332087	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332087_seqsero	SRR13332087_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13332088	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332088_seqsero	SRR13332088_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13332090	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332090_seqsero	SRR13332090_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13332091	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332091_seqsero	SRR13332091_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13332093	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332093_seqsero	SRR13332093_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13332094	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332094_seqsero	SRR13332094_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13332097	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332097_seqsero	SRR13332097_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13332102	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13332102_seqsero	SRR13332102_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13336700	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13336700_seqsero	SRR13336700_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13336701	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13336701_seqsero	SRR13336701_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13338128	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13338128_seqsero	SRR13338128_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1333867	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1333867_seqsero	SRR1333867_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1333873	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1333873_seqsero	SRR1333873_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1334125	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1334125_seqsero	SRR1334125_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1334226	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1334226_seqsero	SRR1334226_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1334561	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1334561_seqsero	SRR1334561_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13347705	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13347705_seqsero	SRR13347705_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR1334790	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1334790_seqsero	SRR1334790_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13370966	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13370966_seqsero	SRR13370966_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13377887	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13377887_seqsero	SRR13377887_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13377889	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13377889_seqsero	SRR13377889_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13389372	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13389372_seqsero	SRR13389372_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13389652	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13389652_seqsero	SRR13389652_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13389664	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13389664_seqsero	SRR13389664_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13394393	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13394393_seqsero	SRR13394393_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13403874	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13403874_seqsero	SRR13403874_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13417578	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13417578_seqsero	SRR13417578_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13421831	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13421831_seqsero	SRR13421831_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13422657	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13422657_seqsero	SRR13422657_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13425874	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13425874_seqsero	SRR13425874_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13430969	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13430969_seqsero	SRR13430969_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13433412	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13433412_seqsero	SRR13433412_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13440523	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13440523_seqsero	SRR13440523_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13455266	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13455266_seqsero	SRR13455266_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13483608	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13483608_seqsero	SRR13483608_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13491552	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13491552_seqsero	SRR13491552_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13491585	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13491585_seqsero	SRR13491585_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13491589	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13491589_seqsero	SRR13491589_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13491591	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13491591_seqsero	SRR13491591_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13492876	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13492876_seqsero	SRR13492876_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13498978	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13498978_seqsero	SRR13498978_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13498980	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13498980_seqsero	SRR13498980_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13498988	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13498988_seqsero	SRR13498988_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13500279	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13500279_seqsero	SRR13500279_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13500281	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13500281_seqsero	SRR13500281_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13508651	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13508651_seqsero	SRR13508651_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13523220	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13523220_seqsero	SRR13523220_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR13531662	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13531662_seqsero	SRR13531662_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13535245	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13535245_seqsero	SRR13535245_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13562685	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13562685_seqsero	SRR13562685_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13571388	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13571388_seqsero	SRR13571388_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13572408	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13572408_seqsero	SRR13572408_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13572410	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13572410_seqsero	SRR13572410_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13573601	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13573601_seqsero	SRR13573601_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13575014	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13575014_seqsero	SRR13575014_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13577417	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13577417_seqsero	SRR13577417_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13588058	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13588058_seqsero	SRR13588058_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13602812	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13602812_seqsero	SRR13602812_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13605720	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13605720_seqsero	SRR13605720_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13624799	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13624799_seqsero	SRR13624799_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1363292	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1363292_seqsero	SRR1363292_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1363299	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1363299_seqsero	SRR1363299_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1363333	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1363333_seqsero	SRR1363333_assembly.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	Detected a deletion in gene oafA that causes O5- variant of Typhimurium. 
SRR13635063	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13635063_seqsero	SRR13635063_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13641927	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13641927_seqsero	SRR13641927_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13641955	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13641955_seqsero	SRR13641955_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13643325	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13643325_seqsero	SRR13643325_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR13643354	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR13643354_seqsero	SRR13643354_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
